player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Heurelho Gomes,Goalkeeper,1981-02-15,24,Brazil,PSV Eindhoven,Eredivisie,2005/2006,2005
Edwin Zoetebier,Goalkeeper,1970-05-07,35,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Nathan Coe,Goalkeeper,1984-06-01,21,Australia,PSV Eindhoven,Eredivisie,2005/2006,2005
Alex,Centre-Back,1982-06-17,23,Brazil,PSV Eindhoven,Eredivisie,2005/2006,2005
André Ooijer,Centre-Back,1974-07-11,30,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Eric Addo,Centre-Back,1978-11-12,26,Ghana,PSV Eindhoven,Eredivisie,2005/2006,2005
Wilfred Bouma,Left-Back,1978-06-15,27,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Michael Ball,Left-Back,1979-10-02,25,England,PSV Eindhoven,Eredivisie,2005/2006,2005
Yeong-pyo Lee,Left-Back,1977-04-23,28,"Korea, South",PSV Eindhoven,Eredivisie,2005/2006,2005
DaMarcus Beasley,Left-Back,1982-05-24,23,United States,PSV Eindhoven,Eredivisie,2005/2006,2005
Pepe Plá,Left-Back,1987-01-25,18,Spain,PSV Eindhoven,Eredivisie,2005/2006,2005
Michael Reiziger,Right-Back,1973-05-03,32,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Michael Lamey,Right-Back,1979-11-29,25,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Mark van Bommel,Defensive Midfield,1977-04-22,28,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Timmy Simons,Defensive Midfield,1976-12-11,28,Belgium,PSV Eindhoven,Eredivisie,2005/2006,2005
Johann Vogel,Defensive Midfield,1977-03-08,28,Switzerland,PSV Eindhoven,Eredivisie,2005/2006,2005
Phillip Cocu,Defensive Midfield,1970-10-29,34,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Csaba Fehér,Defensive Midfield,1975-09-02,29,Hungary,PSV Eindhoven,Eredivisie,2005/2006,2005
Theo Lucius,Defensive Midfield,1976-12-19,28,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Mika Väyrynen,Central Midfield,1981-12-28,23,Finland,PSV Eindhoven,Eredivisie,2005/2006,2005
Jason Culina,Central Midfield,1980-08-05,24,Australia,PSV Eindhoven,Eredivisie,2005/2006,2005
Guy Dufour,Central Midfield,1987-03-14,18,Belgium,PSV Eindhoven,Eredivisie,2005/2006,2005
Johan Vonlanthen,Left Midfield,1986-02-01,19,Switzerland,PSV Eindhoven,Eredivisie,2005/2006,2005
Lindsay Wilson,Left Midfield,1979-05-04,26,Australia,PSV Eindhoven,Eredivisie,2005/2006,2005
Ibrahim Afellay,Left Midfield,1986-04-02,19,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Ji-sung Park,Attacking Midfield,1981-02-25,24,"Korea, South",PSV Eindhoven,Eredivisie,2005/2006,2005
Osmar Ferreyra,Attacking Midfield,1983-01-09,22,Argentina,PSV Eindhoven,Eredivisie,2005/2006,2005
John de Jong,Attacking Midfield,1977-03-08,28,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Ismail Aissati,Attacking Midfield,1988-08-16,16,Morocco,PSV Eindhoven,Eredivisie,2005/2006,2005
Lee Nguyen,Attacking Midfield,1986-10-07,18,United States,PSV Eindhoven,Eredivisie,2005/2006,2005
Jefferson Farfán,Right Winger,1984-10-26,20,Peru,PSV Eindhoven,Eredivisie,2005/2006,2005
Roy Beerens,Right Winger,1987-12-22,17,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Jan Vennegoor of Hesselink,Centre-Forward,1978-11-07,26,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Arouna Koné,Centre-Forward,1983-11-11,21,Cote d'Ivoire,PSV Eindhoven,Eredivisie,2005/2006,2005
Robert,Centre-Forward,1981-02-27,24,Brazil,PSV Eindhoven,Eredivisie,2005/2006,2005
Gerald Sibon,Centre-Forward,1974-04-19,31,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Archie Thompson,Centre-Forward,1978-10-23,26,Australia,PSV Eindhoven,Eredivisie,2005/2006,2005
Tim Janssen,Centre-Forward,1986-03-06,19,Netherlands,PSV Eindhoven,Eredivisie,2005/2006,2005
Maarten Stekelenburg,Goalkeeper,1982-09-22,22,Netherlands,Ajax Amsterdam,Eredivisie,2005/2006,2005
Hans Vonk,Goalkeeper,1970-01-30,35,South Africa,Ajax Amsterdam,Eredivisie,2005/2006,2005
Bogdan Lobont,Goalkeeper,1978-01-18,27,Romania,Ajax Amsterdam,Eredivisie,2005/2006,2005
Kenneth Vermeer,Goalkeeper,1986-01-10,19,Netherlands,Ajax Amsterdam,Eredivisie,2005/2006,2005
Johnny Heitinga,Centre-Back,1983-11-15,21,Netherlands,Ajax Amsterdam,Eredivisie,2005/2006,2005
Julien Escudé,Centre-Back,1979-08-17,25,France,Ajax Amsterdam,Eredivisie,2005/2006,2005
Thomas Vermaelen,Centre-Back,1985-11-14,19,Belgium,Ajax Amsterdam,Eredivisie,2005/2006,2005
Robbert Schilder,Centre-Back,1986-04-18,19,Netherlands,Ajax Amsterdam,Eredivisie,2005/2006,2005
Maxwell,Left-Back,1981-08-27,23,Brazil,Ajax Amsterdam,Eredivisie,2005/2006,2005
Juanfran,Left-Back,1976-07-15,28,Spain,Ajax Amsterdam,Eredivisie,2005/2006,2005
Hatem Trabelsi,Right-Back,1977-01-25,28,Tunisia,Ajax Amsterdam,Eredivisie,2005/2006,2005
Zdenek Grygera,Right-Back,1980-05-14,25,Czech Republic,Ajax Amsterdam,Eredivisie,2005/2006,2005
Emmanuel Boakye,Right-Back,1985-03-25,20,Ghana,Ajax Amsterdam,Eredivisie,2005/2006,2005
Michael Timisela,Right-Back,1986-05-05,19,Netherlands,Ajax Amsterdam,Eredivisie,2005/2006,2005
Nigel de Jong,Defensive Midfield,1984-11-30,20,Netherlands,Ajax Amsterdam,Eredivisie,2005/2006,2005
Hedwiges Maduro,Defensive Midfield,1985-02-13,20,Netherlands,Ajax Amsterdam,Eredivisie,2005/2006,2005
Tomás Galásek,Defensive Midfield,1973-01-15,32,Czech Republic,Ajax Amsterdam,Eredivisie,2005/2006,2005
Olaf Lindenbergh,Defensive Midfield,1974-02-06,31,Netherlands,Ajax Amsterdam,Eredivisie,2005/2006,2005
Vurnon Anita,Defensive Midfield,1989-04-04,16,Netherlands,Ajax Amsterdam,Eredivisie,2005/2006,2005
Urby Emanuelson,Central Midfield,1986-06-16,19,Netherlands,Ajax Amsterdam,Eredivisie,2005/2006,2005
