player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Milos Krstic,Attacking Midfield,1987-03-07,21,Serbia,Olympique Marseille,Ligue 1,2008/2009,2008
Mathieu Valbuena,Left Winger,1984-09-28,23,France,Olympique Marseille,Ligue 1,2008/2009,2008
Boudewijn Zenden,Left Winger,1976-08-15,31,Netherlands,Olympique Marseille,Ligue 1,2008/2009,2008
Bakari Koné,Right Winger,1981-09-17,26,Cote d'Ivoire,Olympique Marseille,Ligue 1,2008/2009,2008
Elliot Grandin,Right Winger,1987-10-17,20,France,Olympique Marseille,Ligue 1,2008/2009,2008
Sylvain Wiltord,Second Striker,1974-05-10,34,France,Olympique Marseille,Ligue 1,2008/2009,2008
Mamadou Niang,Centre-Forward,1979-10-13,28,Senegal,Olympique Marseille,Ligue 1,2008/2009,2008
Djibril Cissé,Centre-Forward,1981-08-12,26,France,Olympique Marseille,Ligue 1,2008/2009,2008
Brandão,Centre-Forward,1980-06-16,28,Brazil,Olympique Marseille,Ligue 1,2008/2009,2008
Mamadou Samassa,Centre-Forward,1986-05-01,22,Mali,Olympique Marseille,Ligue 1,2008/2009,2008
Guy Gnabouyou,Centre-Forward,1989-12-01,18,France,Olympique Marseille,Ligue 1,2008/2009,2008
Ulrich Ramé,Goalkeeper,1972-09-19,35,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Mathieu Valverde,Goalkeeper,1983-05-14,25,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Kévin Olimpa,Goalkeeper,1988-03-10,20,Martinique,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Gilles Meslien,Goalkeeper,1989-06-17,19,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Marc Planus,Centre-Back,1982-03-07,26,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Souleymane Diawara,Centre-Back,1978-12-24,29,Senegal,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Henrique,Centre-Back,1983-05-02,25,Brazil,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Lamine Sané,Centre-Back,1987-03-22,21,Senegal,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Franck Jurietti,Left-Back,1975-03-30,33,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Benoît Trémoulinas,Left-Back,1985-12-28,22,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Diego Placente,Left-Back,1977-04-24,31,Argentina,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
