player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Petr Cech,Goalkeeper,1982-05-20,26,Czech Republic,Chelsea FC,Premier League,2008/2009,2008
Carlo Cudicini,Goalkeeper,1973-09-06,34,Italy,Chelsea FC,Premier League,2008/2009,2008
Henrique Hilário,Goalkeeper,1975-10-21,32,Portugal,Chelsea FC,Premier League,2008/2009,2008
Rhys Taylor,Goalkeeper,1990-04-07,18,Wales,Chelsea FC,Premier League,2008/2009,2008
John Terry,Centre-Back,1980-12-07,27,England,Chelsea FC,Premier League,2008/2009,2008
Ricardo Carvalho,Centre-Back,1978-05-18,30,Portugal,Chelsea FC,Premier League,2008/2009,2008
Branislav Ivanovic,Centre-Back,1984-02-22,24,Serbia,Chelsea FC,Premier League,2008/2009,2008
Alex,Centre-Back,1982-06-17,26,Brazil,Chelsea FC,Premier League,2008/2009,2008
Michael Mancienne,Centre-Back,1988-01-08,20,England,Chelsea FC,Premier League,2008/2009,2008
Ashley Cole,Left-Back,1980-12-20,27,England,Chelsea FC,Premier League,2008/2009,2008
Wayne Bridge,Left-Back,1980-08-05,27,England,Chelsea FC,Premier League,2008/2009,2008
Bosingwa,Right-Back,1982-08-24,25,Portugal,Chelsea FC,Premier League,2008/2009,2008
Paulo Ferreira,Right-Back,1979-01-18,29,Portugal,Chelsea FC,Premier League,2008/2009,2008
Juliano Belletti,Right-Back,1976-06-20,32,Brazil,Chelsea FC,Premier League,2008/2009,2008
Michael Essien,Defensive Midfield,1982-12-03,25,Ghana,Chelsea FC,Premier League,2008/2009,2008
John Mikel Obi,Defensive Midfield,1987-04-22,21,Nigeria,Chelsea FC,Premier League,2008/2009,2008
Mineiro,Defensive Midfield,NA,32,Brazil,Chelsea FC,Premier League,2008/2009,2008
Frank Lampard,Central Midfield,1978-06-20,30,England,Chelsea FC,Premier League,2008/2009,2008
Michael Ballack,Central Midfield,1976-09-26,31,Germany,Chelsea FC,Premier League,2008/2009,2008
Michael Woods,Central Midfield,1990-04-06,18,England,Chelsea FC,Premier League,2008/2009,2008
Lee Sawyer,Central Midfield,1989-09-10,18,England,Chelsea FC,Premier League,2008/2009,2008
Scott Sinclair,Left Midfield,1989-03-25,19,England,Chelsea FC,Premier League,2008/2009,2008
Deco,Attacking Midfield,1977-08-27,30,Portugal,Chelsea FC,Premier League,2008/2009,2008
Joe Cole,Attacking Midfield,1981-11-08,26,England,Chelsea FC,Premier League,2008/2009,2008
Florent Malouda,Left Winger,1980-06-13,28,French Guiana,Chelsea FC,Premier League,2008/2009,2008
Salomon Kalou,Left Winger,1985-08-05,22,Cote d'Ivoire,Chelsea FC,Premier League,2008/2009,2008
Gaël Kakuta,Left Winger,1991-06-21,17,DR Congo,Chelsea FC,Premier League,2008/2009,2008
Miroslav Stoch,Left Winger,1989-10-19,18,Slovakia,Chelsea FC,Premier League,2008/2009,2008
Ricardo Quaresma,Right Winger,1983-09-26,24,Portugal,Chelsea FC,Premier League,2008/2009,2008
Shaun Wright-Phillips,Right Winger,1981-10-25,26,England,Chelsea FC,Premier League,2008/2009,2008
Didier Drogba,Centre-Forward,1978-03-11,30,Cote d'Ivoire,Chelsea FC,Premier League,2008/2009,2008
Nicolas Anelka,Centre-Forward,1979-03-14,29,France,Chelsea FC,Premier League,2008/2009,2008
Franco Di Santo,Centre-Forward,1989-04-07,19,Argentina,Chelsea FC,Premier League,2008/2009,2008
Edwin van der Sar,Goalkeeper,1970-10-29,37,Netherlands,Manchester United,Premier League,2008/2009,2008
