shirt_number,position,player_name,date_of_birth,age,nationality,club_name,league_name,season,year
1,Goalkeeper,"Jan 14, 1982 (26)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
13,Goalkeeper,"Nov 8, 1975 (32)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
25,Goalkeeper,"Mar 3, 1979 (29)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
41,Goalkeeper,"Sep 14, 1989 (18)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
5,Centre-Back,"Apr 13, 1978 (30)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
18,Centre-Back,"Sep 7, 1980 (27)",NA,NA,Argentina,FC Barcelona,LaLiga,2008/2009,2008
4,Centre-Back,"Feb 13, 1979 (29)",NA,NA,Mexico,FC Barcelona,LaLiga,2008/2009,2008
2,Centre-Back,"Apr 7, 1987 (21)",NA,NA,Uruguay,FC Barcelona,LaLiga,2008/2009,2008
3,Centre-Back,"Feb 2, 1987 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
36,Centre-Back,"Jan 27, 1989 (19)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
NA,Centre-Back,"Mar 27, 1992 (16)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
38,Centre-Back,"Nov 14, 1989 (18)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
22,Left-Back,"Sep 11, 1979 (28)",NA,NA,France,FC Barcelona,LaLiga,2008/2009,2008
16,Left-Back,"Apr 12, 1974 (34)",NA,NA,Brazil,FC Barcelona,LaLiga,2008/2009,2008
20,Right-Back,"May 6, 1983 (25)",NA,NA,Brazil,FC Barcelona,LaLiga,2008/2009,2008
28,Defensive Midfield,"Jul 16, 1988 (19)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
8,Central Midfield,"May 11, 1984 (24)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
6,Central Midfield,"Jan 25, 1980 (28)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
24,Central Midfield,"May 13, 1983 (25)",NA,NA,Cote d'Ivoire,FC Barcelona,LaLiga,2008/2009,2008
15,Central Midfield,"Jan 16, 1980 (28)",NA,NA,Mali,FC Barcelona,LaLiga,2008/2009,2008
29,Central Midfield,"Sep 8, 1987 (20)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
NA,Central Midfield,"Apr 11, 1991 (17)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
34,Central Midfield,"Nov 21, 1986 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
35,Central Midfield,"Jul 16, 1985 (22)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
21,Attacking Midfield,"May 1, 1981 (27)",NA,NA,Belarus,FC Barcelona,LaLiga,2008/2009,2008
30,Attacking Midfield,"Jan 20, 1987 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
36,Left Winger,"Oct 15, 1986 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
10,Right Winger,"Jun 24, 1987 (21)",NA,NA,Argentina,FC Barcelona,LaLiga,2008/2009,2008
27,Right Winger,"Jul 28, 1987 (20)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
31,Right Winger,"Jan 20, 1988 (20)",NA,NA,Venezuela,FC Barcelona,LaLiga,2008/2009,2008
11,Second Striker,"Aug 28, 1990 (17)",NA,NA,Spain,FC Barcelona,LaLiga,2008/2009,2008
9,Centre-Forward,"Mar 10, 1981 (27)",NA,NA,Cameroon,FC Barcelona,LaLiga,2008/2009,2008
14,Centre-Forward,"Aug 17, 1977 (30)",NA,NA,France,FC Barcelona,LaLiga,2008/2009,2008
7,Centre-Forward,"Sep 15, 1978 (29)",NA,NA,Iceland,FC Barcelona,LaLiga,2008/2009,2008
1,Goalkeeper,"May 20, 1981 (27)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
25,Goalkeeper,"Mar 23, 1973 (35)",NA,NA,Poland,Real Madrid,LaLiga,2008/2009,2008
13,Goalkeeper,"Apr 27, 1982 (26)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
4,Centre-Back,"Mar 30, 1986 (22)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
3,Centre-Back,"Feb 26, 1983 (25)",NA,NA,Portugal,Real Madrid,LaLiga,2008/2009,2008
5,Centre-Back,"Sep 13, 1973 (34)",NA,NA,Italy,Real Madrid,LaLiga,2008/2009,2008
16,Centre-Back,"Apr 19, 1978 (30)",NA,NA,Argentina,Real Madrid,LaLiga,2008/2009,2008
21,Centre-Back,"Nov 5, 1980 (27)",NA,NA,Germany,Real Madrid,LaLiga,2008/2009,2008
NA,Centre-Back,"May 3, 1985 (23)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
NA,Centre-Back,"Apr 21, 1988 (20)",NA,NA,Uruguay,Real Madrid,LaLiga,2008/2009,2008
NA,Centre-Back,"Mar 19, 1989 (19)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
12,Left-Back,"May 12, 1988 (20)",NA,NA,Brazil,Real Madrid,LaLiga,2008/2009,2008
22,Right-Back,"Jan 28, 1986 (22)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
2,Right-Back,"Oct 22, 1975 (32)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
NA,Right-Back,"Apr 6, 1987 (21)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
39,Defensive Midfield,"May 18, 1981 (27)",NA,NA,Mali,Real Madrid,LaLiga,2008/2009,2008
8,Defensive Midfield,"Apr 10, 1986 (22)",NA,NA,Argentina,Real Madrid,LaLiga,2008/2009,2008
18,Defensive Midfield,"Aug 1, 1983 (24)",NA,NA,Martinique,Real Madrid,LaLiga,2008/2009,2008
6,Defensive Midfield,"Mar 10, 1985 (23)",NA,NA,France,Real Madrid,LaLiga,2008/2009,2008
24,Defensive Midfield,"Feb 8, 1987 (21)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
NA,Defensive Midfield,"Feb 7, 1986 (22)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
14,Central Midfield,"Oct 31, 1976 (31)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
38,Central Midfield,"Jun 5, 1985 (23)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
17,Central Midfield,"Apr 16, 1989 (19)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
15,Left Midfield,"Apr 8, 1987 (21)",NA,NA,Netherlands,Real Madrid,LaLiga,2008/2009,2008
10,Attacking Midfield,"Jun 9, 1984 (24)",NA,NA,Netherlands,Real Madrid,LaLiga,2008/2009,2008
23,Attacking Midfield,"Feb 11, 1983 (25)",NA,NA,Netherlands,Real Madrid,LaLiga,2008/2009,2008
NA,Left Winger,"Dec 18, 1987 (20)",NA,NA,Spain,Real Madrid,LaLiga,2008/2009,2008
