player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Yuri Lodygin,Goalkeeper,1990-05-26,27,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Andrey Lunev,Goalkeeper,1991-11-13,25,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Mikhail Kerzhakov,Goalkeeper,1987-01-28,30,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Egor Baburin,Goalkeeper,1993-08-09,23,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Nikita Goylo,Goalkeeper,1998-08-10,18,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Emanuel Mammana,Centre-Back,1996-02-10,21,Argentina,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Branislav Ivanovic,Centre-Back,1984-02-22,33,Serbia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Miha Mevlja,Centre-Back,1990-06-12,27,Slovenia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Luís Neto,Centre-Back,1988-05-26,29,Portugal,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Ivan Novoseltsev,Centre-Back,1991-08-25,25,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Ilya Skrobotov,Centre-Back,2000-07-06,16,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Maksim Karpov,Centre-Back,1995-03-17,22,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Nikita Kakkoev,Centre-Back,1999-08-22,17,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Domenico Criscito,Left-Back,1986-12-30,30,Italy,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Elmir Nabiullin,Left-Back,1995-03-08,22,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Igor Smolnikov,Right-Back,1988-08-08,28,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Ibragim Tsallagov,Right-Back,1990-12-12,26,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Denis Terentjev,Right-Back,1992-08-13,24,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Dmitri Bogaev,Right-Back,1994-01-24,23,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Aleksandr Anyukov,Right-Back,1982-09-28,34,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Leandro Paredes,Defensive Midfield,1994-06-29,23,Argentina,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Javi García,Defensive Midfield,1987-02-08,30,Spain,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Matías Kranevitter,Defensive Midfield,1993-05-21,24,Argentina,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Hernani,Defensive Midfield,1994-03-27,23,Brazil,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Maurício,Defensive Midfield,1988-10-21,28,Brazil,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Kirill Kaplenko,Defensive Midfield,1999-06-15,18,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Christian Noboa,Central Midfield,1985-04-09,32,Ecuador,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Daler Kuzyaev,Central Midfield,1993-01-15,24,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Magomed Ozdoev,Central Midfield,1992-11-05,24,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Viktor Faizulin,Central Midfield,1986-04-22,31,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Oleg Shatov,Left Midfield,1990-07-29,26,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Yuri Zhirkov,Left Midfield,1983-08-20,33,Russia,Zenit St. Petersburg,Premier Liga,2017/2018,2017
Giuliano,Attacking Midfield,1990-05-31,27,Brazil,Zenit St. Petersburg,Premier Liga,2017/2018,2017
