shirt_number,position,player_name,date_of_birth,age,nationality,club_name,league_name,season,year
1,Goalkeeper,"Jan 14, 1982 (30)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
31,Goalkeeper,"Sep 14, 1989 (22)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
32,Goalkeeper,"Jan 3, 1989 (23)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
13,Goalkeeper,"Nov 8, 1975 (36)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
3,Centre-Back,"Feb 2, 1987 (25)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
5,Centre-Back,"Apr 13, 1978 (34)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
15,Centre-Back,"Jan 15, 1991 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
NA,Centre-Back,"Mar 28, 1992 (20)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
21,Left-Back,"Oct 26, 1984 (27)",NA,NA,Brazil,FC Barcelona,LaLiga,2012/2013,2012
18,Left-Back,"Mar 21, 1989 (23)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
22,Left-Back,"Sep 11, 1979 (32)",NA,NA,France,FC Barcelona,LaLiga,2012/2013,2012
29,Left-Back,"Mar 4, 1991 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
2,Right-Back,"May 6, 1983 (29)",NA,NA,Brazil,FC Barcelona,LaLiga,2012/2013,2012
19,Right-Back,"Apr 14, 1991 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
28,Right-Back,"Feb 7, 1992 (20)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
16,Defensive Midfield,"Jul 16, 1988 (23)",NA,NA,Spain,FC Barcelona,LaLiga,2012/2013,2012
14,Defensive Midfield,"Jun 8, 1984 (28)",NA,NA,Argentina,FC Barcelona,LaLiga,2012/2013,2012
