player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Joe Hart,Goalkeeper,1987-04-19,25,England,Manchester City,Premier League,2012/2013,2012
Costel Pantilimon,Goalkeeper,1987-02-01,25,Romania,Manchester City,Premier League,2012/2013,2012
Richard Wright,Goalkeeper,1977-11-05,34,England,Manchester City,Premier League,2012/2013,2012
Eirik Johansen,Goalkeeper,1992-07-12,19,Norway,Manchester City,Premier League,2012/2013,2012
Vincent Kompany,Centre-Back,1986-04-10,26,Belgium,Manchester City,Premier League,2012/2013,2012
Joleon Lescott,Centre-Back,1982-08-16,29,England,Manchester City,Premier League,2012/2013,2012
Stefan Savic,Centre-Back,1991-01-08,21,Montenegro,Manchester City,Premier League,2012/2013,2012
Kolo Touré,Centre-Back,1981-03-19,31,Cote d'Ivoire,Manchester City,Premier League,2012/2013,2012
Matija Nastasic,Centre-Back,1993-03-28,19,Serbia,Manchester City,Premier League,2012/2013,2012
Dedryck Boyata,Centre-Back,1990-11-28,21,Belgium,Manchester City,Premier League,2012/2013,2012
Karim Rekik,Centre-Back,1994-12-02,17,Netherlands,Manchester City,Premier League,2012/2013,2012
Courtney Meppen-Walter,Centre-Back,1994-08-02,17,England,Manchester City,Premier League,2012/2013,2012
Gaël Clichy,Left-Back,1985-07-26,26,France,Manchester City,Premier League,2012/2013,2012
Aleksandar Kolarov,Left-Back,1985-11-10,26,Serbia,Manchester City,Premier League,2012/2013,2012
Wayne Bridge,Left-Back,1980-08-05,31,England,Manchester City,Premier League,2012/2013,2012
Micah Richards,Right-Back,1988-06-24,24,England,Manchester City,Premier League,2012/2013,2012
Maicon,Right-Back,1981-07-26,30,Brazil,Manchester City,Premier League,2012/2013,2012
Pablo Zabaleta,Right-Back,1985-01-16,27,Argentina,Manchester City,Premier League,2012/2013,2012
Jack Rodwell,Defensive Midfield,1991-03-11,21,England,Manchester City,Premier League,2012/2013,2012
Nigel de Jong,Defensive Midfield,1984-11-30,27,Netherlands,Manchester City,Premier League,2012/2013,2012
Javi García,Defensive Midfield,1987-02-08,25,Spain,Manchester City,Premier League,2012/2013,2012
Gareth Barry,Defensive Midfield,1981-02-23,31,England,Manchester City,Premier League,2012/2013,2012
George Evans,Defensive Midfield,1994-12-13,17,England,Manchester City,Premier League,2012/2013,2012
Yaya Touré,Central Midfield,1983-05-13,29,Cote d'Ivoire,Manchester City,Premier League,2012/2013,2012
James Milner,Central Midfield,1986-01-04,26,England,Manchester City,Premier League,2012/2013,2012
Abdisalam Ibrahim,Central Midfield,1991-05-04,21,Norway,Manchester City,Premier League,2012/2013,2012
Denis Suárez,Central Midfield,1994-01-06,18,Spain,Manchester City,Premier League,2012/2013,2012
Abdul Razak,Central Midfield,1992-11-11,19,Cote d'Ivoire,Manchester City,Premier League,2012/2013,2012
Scott Sinclair,Left Midfield,1989-03-25,23,England,Manchester City,Premier League,2012/2013,2012
Jérémy Hélan,Left Midfield,1992-05-09,20,France,Manchester City,Premier League,2012/2013,2012
David Silva,Attacking Midfield,1986-01-08,26,Spain,Manchester City,Premier League,2012/2013,2012
Samir Nasri,Attacking Midfield,1987-06-26,25,France,Manchester City,Premier League,2012/2013,2012
Luca Scapuzzi,Left Winger,1991-04-15,21,Italy,Manchester City,Premier League,2012/2013,2012
Adam Johnson,Right Winger,1987-07-14,24,England,Manchester City,Premier League,2012/2013,2012
Rony Lopes,Right Winger,1995-12-28,16,Portugal,Manchester City,Premier League,2012/2013,2012
Carlos Tévez,Second Striker,1984-02-05,28,Argentina,Manchester City,Premier League,2012/2013,2012
Sergio Agüero,Centre-Forward,1988-06-02,24,Argentina,Manchester City,Premier League,2012/2013,2012
Mario Balotelli,Centre-Forward,1990-08-12,21,Italy,Manchester City,Premier League,2012/2013,2012
Edin Dzeko,Centre-Forward,1986-03-17,26,Bosnia-Herzegovina,Manchester City,Premier League,2012/2013,2012
John Guidetti,Centre-Forward,1992-04-15,20,Sweden,Manchester City,Premier League,2012/2013,2012
Alex Nimely,Centre-Forward,1991-05-11,21,England,Manchester City,Premier League,2012/2013,2012
David de Gea,Goalkeeper,1990-11-07,21,Spain,Manchester United,Premier League,2012/2013,2012
Anders Lindegaard,Goalkeeper,1984-04-13,28,Denmark,Manchester United,Premier League,2012/2013,2012
Ben Amos,Goalkeeper,1990-04-10,22,England,Manchester United,Premier League,2012/2013,2012
Sam Johnstone,Goalkeeper,1993-03-25,19,England,Manchester United,Premier League,2012/2013,2012
Nemanja Vidic‎,Centre-Back,1981-10-21,30,Serbia,Manchester United,Premier League,2012/2013,2012
Phil Jones,Centre-Back,1992-02-21,20,England,Manchester United,Premier League,2012/2013,2012
Chris Smalling,Centre-Back,1989-11-22,22,England,Manchester United,Premier League,2012/2013,2012
Jonny Evans,Centre-Back,1988-01-03,24,Northern Ireland,Manchester United,Premier League,2012/2013,2012
Rio Ferdinand,Centre-Back,1978-11-07,33,England,Manchester United,Premier League,2012/2013,2012
Michael Keane,Centre-Back,1993-01-11,19,England,Manchester United,Premier League,2012/2013,2012
Scott Wootton,Centre-Back,1991-09-12,20,England,Manchester United,Premier League,2012/2013,2012
Ashley Young,Left-Back,1985-07-09,26,England,Manchester United,Premier League,2012/2013,2012
Patrice Evra,Left-Back,1981-05-15,31,France,Manchester United,Premier League,2012/2013,2012
Alexander Büttner,Left-Back,1989-02-11,23,Netherlands,Manchester United,Premier League,2012/2013,2012
Antonio Valencia,Right-Back,1985-08-04,26,Ecuador,Manchester United,Premier League,2012/2013,2012
Rafael,Right-Back,1990-07-09,21,Brazil,Manchester United,Premier League,2012/2013,2012
Fábio,Right-Back,1990-07-09,21,Brazil,Manchester United,Premier League,2012/2013,2012
Marnick Vermijl,Right-Back,1992-01-13,20,Belgium,Manchester United,Premier League,2012/2013,2012
Michael Carrick,Defensive Midfield,1981-07-28,30,England,Manchester United,Premier League,2012/2013,2012
Anderson,Central Midfield,1988-04-13,24,Brazil,Manchester United,Premier League,2012/2013,2012
Darren Fletcher,Central Midfield,1984-02-01,28,Scotland,Manchester United,Premier League,2012/2013,2012
Tom Cleverley,Central Midfield,1989-08-12,22,England,Manchester United,Premier League,2012/2013,2012
Paul Scholes,Central Midfield,1974-11-16,37,England,Manchester United,Premier League,2012/2013,2012
Ryan Tunnicliffe,Central Midfield,1992-12-30,19,England,Manchester United,Premier League,2012/2013,2012
Larnell Cole,Right Midfield,1993-03-09,19,England,Manchester United,Premier League,2012/2013,2012
Ryan Giggs,Left Midfield,1973-11-29,38,Wales,Manchester United,Premier League,2012/2013,2012
Robbie Brady,Left Midfield,1992-01-14,20,Ireland,Manchester United,Premier League,2012/2013,2012
Shinji Kagawa,Attacking Midfield,1989-03-17,23,Japan,Manchester United,Premier League,2012/2013,2012
Nick Powell,Attacking Midfield,1994-03-23,18,England,Manchester United,Premier League,2012/2013,2012
Nani,Left Winger,1986-11-17,25,Portugal,Manchester United,Premier League,2012/2013,2012
Wilfried Zaha,Right Winger,1992-11-10,19,Cote d'Ivoire,Manchester United,Premier League,2012/2013,2012
Jesse Lingard,Right Winger,1992-12-15,19,England,Manchester United,Premier League,2012/2013,2012
Adnan Januzaj,Right Winger,1995-02-05,17,Belgium,Manchester United,Premier League,2012/2013,2012
Joshua King,Second Striker,1992-01-15,20,Norway,Manchester United,Premier League,2012/2013,2012
Wayne Rooney,Centre-Forward,1985-10-24,26,England,Manchester United,Premier League,2012/2013,2012
Robin van Persie,Centre-Forward,1983-08-06,28,Netherlands,Manchester United,Premier League,2012/2013,2012
Chicharito,Centre-Forward,1988-06-01,24,Mexico,Manchester United,Premier League,2012/2013,2012
Danny Welbeck,Centre-Forward,1990-11-26,21,England,Manchester United,Premier League,2012/2013,2012
Dimitar Berbatov,Centre-Forward,1981-01-30,31,Bulgaria,Manchester United,Premier League,2012/2013,2012
Federico Macheda,Centre-Forward,1991-08-22,20,Italy,Manchester United,Premier League,2012/2013,2012
Ángelo Henríquez,Centre-Forward,1994-04-13,18,Chile,Manchester United,Premier League,2012/2013,2012
Petr Cech,Goalkeeper,1982-05-20,30,Czech Republic,Chelsea FC,Premier League,2012/2013,2012
Ross Turnbull,Goalkeeper,1985-01-04,27,England,Chelsea FC,Premier League,2012/2013,2012
Henrique Hilário,Goalkeeper,1975-10-21,36,Portugal,Chelsea FC,Premier League,2012/2013,2012
