player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Helton,Goalkeeper,1978-05-18,34,Brazil,FC Porto,Liga NOS,2012/2013,2012
Fabiano,Goalkeeper,1988-02-29,24,Brazil,FC Porto,Liga NOS,2012/2013,2012
Kadú,Goalkeeper,1994-11-30,17,Angola,FC Porto,Liga NOS,2012/2013,2012
Rolando,Centre-Back,1985-08-31,26,Portugal,FC Porto,Liga NOS,2012/2013,2012
Nicolás Otamendi,Centre-Back,1988-02-12,24,Argentina,FC Porto,Liga NOS,2012/2013,2012
Maicon,Centre-Back,1988-09-14,23,Brazil,FC Porto,Liga NOS,2012/2013,2012
Eliaquim Mangala,Centre-Back,1991-02-13,21,France,FC Porto,Liga NOS,2012/2013,2012
Abdoulaye Ba,Centre-Back,1991-01-01,21,Senegal,FC Porto,Liga NOS,2012/2013,2012
Alex Sandro,Left-Back,1991-01-26,21,Brazil,FC Porto,Liga NOS,2012/2013,2012
Héctor Quiñónes,Left-Back,1992-03-17,20,Colombia,FC Porto,Liga NOS,2012/2013,2012
Danilo,Right-Back,1991-07-15,20,Brazil,FC Porto,Liga NOS,2012/2013,2012
Jorge Fucile,Right-Back,1984-11-19,27,Uruguay,FC Porto,Liga NOS,2012/2013,2012
Miguel Lopes,Right-Back,1986-12-19,25,Portugal,FC Porto,Liga NOS,2012/2013,2012
Fernando,Defensive Midfield,1987-07-25,24,Brazil,FC Porto,Liga NOS,2012/2013,2012
João Moutinho,Central Midfield,1986-09-08,25,Portugal,FC Porto,Liga NOS,2012/2013,2012
Steven Defour,Central Midfield,1988-04-15,24,Belgium,FC Porto,Liga NOS,2012/2013,2012
Lucho González,Central Midfield,1981-01-19,31,Argentina,FC Porto,Liga NOS,2012/2013,2012
Marat Izmailov,Central Midfield,1982-09-21,29,Russia,FC Porto,Liga NOS,2012/2013,2012
André Castro,Central Midfield,1988-04-02,24,Portugal,FC Porto,Liga NOS,2012/2013,2012
James Rodríguez,Attacking Midfield,1991-07-12,20,Colombia,FC Porto,Liga NOS,2012/2013,2012
Tozé,Attacking Midfield,1993-01-14,19,Portugal,FC Porto,Liga NOS,2012/2013,2012
Silvestre Varela,Left Winger,1985-02-02,27,Portugal,FC Porto,Liga NOS,2012/2013,2012
Christian Atsu,Left Winger,1992-01-10,20,Ghana,FC Porto,Liga NOS,2012/2013,2012
Sebá,Left Winger,1992-06-08,20,Brazil,FC Porto,Liga NOS,2012/2013,2012
Hulk,Right Winger,1986-07-25,25,Brazil,FC Porto,Liga NOS,2012/2013,2012
Djalma,Right Winger,1987-05-30,25,Angola,FC Porto,Liga NOS,2012/2013,2012
Juan Iturbe,Right Winger,1993-06-04,19,Paraguay,FC Porto,Liga NOS,2012/2013,2012
Kelvin,Right Winger,1993-06-01,19,Brazil,FC Porto,Liga NOS,2012/2013,2012
Jackson Martínez,Centre-Forward,1986-10-03,25,Colombia,FC Porto,Liga NOS,2012/2013,2012
Kléber,Centre-Forward,1990-05-02,22,Brazil,FC Porto,Liga NOS,2012/2013,2012
Liedson,Centre-Forward,1977-12-17,34,Portugal,FC Porto,Liga NOS,2012/2013,2012
Dellatorre,Centre-Forward,1992-05-01,20,Brazil,FC Porto,Liga NOS,2012/2013,2012
Artur Moraes,Goalkeeper,1981-01-25,31,Brazil,SL Benfica,Liga NOS,2012/2013,2012
Mika,Goalkeeper,1991-03-08,21,Portugal,SL Benfica,Liga NOS,2012/2013,2012
Júlio César,Goalkeeper,1986-09-02,25,Brazil,SL Benfica,Liga NOS,2012/2013,2012
Paulo Lopes,Goalkeeper,1978-06-29,34,Portugal,SL Benfica,Liga NOS,2012/2013,2012
Ezequiel Garay,Centre-Back,1986-10-10,25,Argentina,SL Benfica,Liga NOS,2012/2013,2012
Luisão,Centre-Back,1981-02-13,31,Brazil,SL Benfica,Liga NOS,2012/2013,2012
Jardel,Centre-Back,1986-03-29,26,Brazil,SL Benfica,Liga NOS,2012/2013,2012
Sidnei,Centre-Back,1989-08-23,22,Brazil,SL Benfica,Liga NOS,2012/2013,2012
Miguel Vítor,Centre-Back,1989-06-30,23,Portugal,SL Benfica,Liga NOS,2012/2013,2012
Roderick Miranda,Centre-Back,1991-03-30,21,Portugal,SL Benfica,Liga NOS,2012/2013,2012
Fábio Cardoso,Centre-Back,1994-04-19,18,Portugal,SL Benfica,Liga NOS,2012/2013,2012
Luís Martins,Left-Back,1992-06-10,20,Portugal,SL Benfica,Liga NOS,2012/2013,2012
Luisinho,Left-Back,1985-05-05,27,Portugal,SL Benfica,Liga NOS,2012/2013,2012
Maxi Pereira,Right-Back,1984-06-08,28,Uruguay,SL Benfica,Liga NOS,2012/2013,2012
André Almeida,Right-Back,1990-09-10,21,Portugal,SL Benfica,Liga NOS,2012/2013,2012
João Cancelo,Right-Back,1994-05-27,18,Portugal,SL Benfica,Liga NOS,2012/2013,2012
Axel Witsel,Defensive Midfield,1989-01-12,23,Belgium,SL Benfica,Liga NOS,2012/2013,2012
Javi García,Defensive Midfield,1987-02-08,25,Spain,SL Benfica,Liga NOS,2012/2013,2012
Nemanja Matic,Defensive Midfield,1988-08-01,23,Serbia,SL Benfica,Liga NOS,2012/2013,2012
Enzo Pérez,Central Midfield,1986-02-22,26,Argentina,SL Benfica,Liga NOS,2012/2013,2012
André Gomes,Central Midfield,1993-07-30,18,Portugal,SL Benfica,Liga NOS,2012/2013,2012
Bruno César,Left Midfield,1988-11-03,23,Brazil,SL Benfica,Liga NOS,2012/2013,2012
Pablo Aimar,Attacking Midfield,1979-11-03,32,Argentina,SL Benfica,Liga NOS,2012/2013,2012
Carlos Martins,Attacking Midfield,1982-04-29,30,Portugal,SL Benfica,Liga NOS,2012/2013,2012
Miguel Rosa,Attacking Midfield,1989-01-13,23,Portugal,SL Benfica,Liga NOS,2012/2013,2012
Felipe Menezes,Attacking Midfield,1988-01-20,24,Brazil,SL Benfica,Liga NOS,2012/2013,2012
Nico Gaitán,Left Winger,1988-02-23,24,Argentina,SL Benfica,Liga NOS,2012/2013,2012
Nolito,Left Winger,1986-10-15,25,Spain,SL Benfica,Liga NOS,2012/2013,2012
Ola John,Left Winger,1992-05-19,20,Netherlands,SL Benfica,Liga NOS,2012/2013,2012
Lorenzo Melgarejo,Left Winger,1990-08-10,21,Paraguay,SL Benfica,Liga NOS,2012/2013,2012
Eduardo Salvio,Right Winger,1990-07-13,21,Argentina,SL Benfica,Liga NOS,2012/2013,2012
Jonathan Urretaviscaya,Right Winger,1990-03-19,22,Uruguay,SL Benfica,Liga NOS,2012/2013,2012
Javier Saviola,Second Striker,1981-12-11,30,Argentina,SL Benfica,Liga NOS,2012/2013,2012
Óscar Cardozo,Centre-Forward,1983-05-20,29,Paraguay,SL Benfica,Liga NOS,2012/2013,2012
Rodrigo,Centre-Forward,1991-03-06,21,Spain,SL Benfica,Liga NOS,2012/2013,2012
Lima,Centre-Forward,1983-05-11,29,Brazil,SL Benfica,Liga NOS,2012/2013,2012
Alan Kardec,Centre-Forward,1989-01-12,23,Brazil,SL Benfica,Liga NOS,2012/2013,2012
Rui Patrício,Goalkeeper,1988-02-15,24,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Marcelo Boeck,Goalkeeper,1984-11-28,27,Brazil,Sporting CP,Liga NOS,2012/2013,2012
Hugo Ventura,Goalkeeper,1988-01-14,24,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Victor Golas,Goalkeeper,1990-12-27,21,Brazil,Sporting CP,Liga NOS,2012/2013,2012
Daniel Carriço,Centre-Back,1988-08-04,23,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Khalid Boulahrouz,Centre-Back,1981-12-28,30,Netherlands,Sporting CP,Liga NOS,2012/2013,2012
Xandão,Centre-Back,1988-02-23,24,Brazil,Sporting CP,Liga NOS,2012/2013,2012
Marcos Rojo,Centre-Back,1990-03-20,22,Argentina,Sporting CP,Liga NOS,2012/2013,2012
Pedro Mendes,Centre-Back,1990-10-01,21,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Tiago Ilori,Centre-Back,1993-02-26,19,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Emiliano Insúa,Left-Back,1989-01-07,23,Argentina,Sporting CP,Liga NOS,2012/2013,2012
Danijel Pranjic,Left-Back,1981-12-02,30,Croatia,Sporting CP,Liga NOS,2012/2013,2012
Joãozinho,Left-Back,1989-07-02,22,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Miguel Lopes,Right-Back,1986-12-19,25,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Cédric Soares,Right-Back,1991-08-31,20,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Santiago Arias,Right-Back,1992-01-13,20,Colombia,Sporting CP,Liga NOS,2012/2013,2012
Stijn Schaars,Defensive Midfield,1984-01-11,28,Netherlands,Sporting CP,Liga NOS,2012/2013,2012
Fabián Rinaudo,Defensive Midfield,1987-05-08,25,Argentina,Sporting CP,Liga NOS,2012/2013,2012
Gelson Fernandes,Defensive Midfield,1986-09-02,25,Switzerland,Sporting CP,Liga NOS,2012/2013,2012
Eric Dier,Defensive Midfield,1994-01-15,18,England,Sporting CP,Liga NOS,2012/2013,2012
Fabrice Fokobo,Defensive Midfield,1994-01-25,18,Cameroon,Sporting CP,Liga NOS,2012/2013,2012
Elias,Central Midfield,1985-05-16,27,Brazil,Sporting CP,Liga NOS,2012/2013,2012
Marat Izmailov,Central Midfield,1982-09-21,29,Russia,Sporting CP,Liga NOS,2012/2013,2012
Adrien Silva,Central Midfield,1989-03-15,23,Portugal,Sporting CP,Liga NOS,2012/2013,2012
André Martins,Central Midfield,1990-01-21,22,Portugal,Sporting CP,Liga NOS,2012/2013,2012
João Mário,Central Midfield,1993-01-19,19,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Bruno Pereirinha,Right Midfield,1988-03-02,24,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Ricardo Esgaio,Right Midfield,1993-05-16,19,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Zakaria Labyad,Attacking Midfield,1993-03-09,19,Morocco,Sporting CP,Liga NOS,2012/2013,2012
Zezinho,Attacking Midfield,1992-09-23,19,Guinea-Bissau,Sporting CP,Liga NOS,2012/2013,2012
Diego Capel,Left Winger,1988-02-16,24,Spain,Sporting CP,Liga NOS,2012/2013,2012
Valentín Viola,Left Winger,1991-08-28,20,Argentina,Sporting CP,Liga NOS,2012/2013,2012
Bruma,Left Winger,1994-10-24,17,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Nii Plange,Left Winger,1989-06-26,23,Burkina Faso,Sporting CP,Liga NOS,2012/2013,2012
Jeffren,Right Winger,1988-01-20,24,Venezuela,Sporting CP,Liga NOS,2012/2013,2012
André Carrillo,Right Winger,1991-06-14,21,Peru,Sporting CP,Liga NOS,2012/2013,2012
Ricky van Wolfswinkel,Centre-Forward,1989-01-27,23,Netherlands,Sporting CP,Liga NOS,2012/2013,2012
Diego Rubio,Centre-Forward,1993-05-15,19,Chile,Sporting CP,Liga NOS,2012/2013,2012
Betinho,Centre-Forward,1987-05-13,25,Brazil,Sporting CP,Liga NOS,2012/2013,2012
Betinho,Centre-Forward,1993-07-21,18,Portugal,Sporting CP,Liga NOS,2012/2013,2012
Gael Etock,Centre-Forward,1993-07-05,18,Cameroon,Sporting CP,Liga NOS,2012/2013,2012
Beto,Goalkeeper,1982-05-01,30,Portugal,SC Braga,Liga NOS,2012/2013,2012
Quim,Goalkeeper,1975-11-13,36,Portugal,SC Braga,Liga NOS,2012/2013,2012
Cristiano,Goalkeeper,1990-11-29,21,Portugal,SC Braga,Liga NOS,2012/2013,2012
Stanislav Kritsyuk,Goalkeeper,1990-12-01,21,Russia,SC Braga,Liga NOS,2012/2013,2012
Pedro Cavadas,Goalkeeper,1992-03-06,20,Portugal,SC Braga,Liga NOS,2012/2013,2012
Douglão,Centre-Back,1986-05-18,26,Brazil,SC Braga,Liga NOS,2012/2013,2012
Paulo Vinícius,Centre-Back,1984-08-12,27,Brazil,SC Braga,Liga NOS,2012/2013,2012
Nuno André Coelho,Centre-Back,1986-01-07,26,Portugal,SC Braga,Liga NOS,2012/2013,2012
Gonçalo Silva,Centre-Back,1991-06-04,21,Portugal,SC Braga,Liga NOS,2012/2013,2012
Aderllan Santos,Centre-Back,1989-04-09,23,Brazil,SC Braga,Liga NOS,2012/2013,2012
Maximilian Haas,Centre-Back,1985-12-07,26,Germany,SC Braga,Liga NOS,2012/2013,2012
Aníbal Capela,Centre-Back,1991-05-08,21,Portugal,SC Braga,Liga NOS,2012/2013,2012
Palmeira,Centre-Back,1989-09-24,22,Portugal,SC Braga,Liga NOS,2012/2013,2012
Vincent Sasso,Centre-Back,1991-02-16,21,France,SC Braga,Liga NOS,2012/2013,2012
Elderson,Left-Back,1988-01-20,24,Nigeria,SC Braga,Liga NOS,2012/2013,2012
Emídio Rafael,Left-Back,1986-01-24,26,Portugal,SC Braga,Liga NOS,2012/2013,2012
Ismaily,Left-Back,1990-01-11,22,Brazil,SC Braga,Liga NOS,2012/2013,2012
Leandro Salino,Right-Back,1985-04-22,27,Brazil,SC Braga,Liga NOS,2012/2013,2012
Baiano,Right-Back,1987-02-23,25,Brazil,SC Braga,Liga NOS,2012/2013,2012
João Pedro,Right-Back,1986-05-04,26,Portugal,SC Braga,Liga NOS,2012/2013,2012
Djamal,Defensive Midfield,1983-04-26,29,Libya,SC Braga,Liga NOS,2012/2013,2012
Custódio,Defensive Midfield,1983-05-24,29,Portugal,SC Braga,Liga NOS,2012/2013,2012
Mauro,Defensive Midfield,1990-10-31,21,Brazil,SC Braga,Liga NOS,2012/2013,2012
Victor Nikiema,Defensive Midfield,1993-09-23,18,Burkina Faso,SC Braga,Liga NOS,2012/2013,2012
Hugo Viana,Central Midfield,1983-01-15,29,Portugal,SC Braga,Liga NOS,2012/2013,2012
Rúben Amorim,Central Midfield,1985-01-27,27,Portugal,SC Braga,Liga NOS,2012/2013,2012
Rúben Micael,Attacking Midfield,1986-08-19,25,Portugal,SC Braga,Liga NOS,2012/2013,2012
Márcio Mossoró,Attacking Midfield,1983-07-04,28,Brazil,SC Braga,Liga NOS,2012/2013,2012
Guilherme,Attacking Midfield,1991-05-21,21,Brazil,SC Braga,Liga NOS,2012/2013,2012
Hélder Barbosa,Left Winger,1987-05-25,25,Portugal,SC Braga,Liga NOS,2012/2013,2012
Carlos Eduardo,Left Winger,1993-01-04,19,Brazil,SC Braga,Liga NOS,2012/2013,2012
