shirt_number,position,player_name,date_of_birth,age,nationality,club_name,league_name,season,year
1,Goalkeeper,"May 20, 1982 (28)",NA,NA,Czech Republic,Chelsea FC,Premier League,2010/2011,2010
22,Goalkeeper,"Jan 4, 1985 (25)",NA,NA,England,Chelsea FC,Premier League,2010/2011,2010
40,Goalkeeper,"Oct 21, 1975 (34)",NA,NA,Portugal,Chelsea FC,Premier League,2010/2011,2010
26,Centre-Back,"Dec 7, 1980 (29)",NA,NA,England,Chelsea FC,Premier League,2010/2011,2010
2,Centre-Back,"Feb 22, 1984 (26)",NA,NA,Serbia,Chelsea FC,Premier League,2010/2011,2010
33,Centre-Back,"Jun 17, 1982 (28)",NA,NA,Brazil,Chelsea FC,Premier League,2010/2011,2010
4,Centre-Back,"Apr 22, 1987 (23)",NA,NA,Brazil,Chelsea FC,Premier League,2010/2011,2010
42,Centre-Back,"Jan 8, 1988 (22)",NA,NA,England,Chelsea FC,Premier League,2010/2011,2010
43,Centre-Back,"Nov 13, 1991 (18)",NA,NA,Netherlands,Chelsea FC,Premier League,2010/2011,2010
3,Left-Back,"Dec 20, 1980 (29)",NA,NA,England,Chelsea FC,Premier League,2010/2011,2010
34,Left-Back,"Aug 5, 1989 (20)",NA,NA,England,Chelsea FC,Premier League,2010/2011,2010
38,Left-Back,"Aug 29, 1990 (19)",NA,NA,Netherlands,Chelsea FC,Premier League,2010/2011,2010
17,Right-Back,"Aug 24, 1982 (27)",NA,NA,Portugal,Chelsea FC,Premier League,2010/2011,2010
19,Right-Back,"Jan 18, 1979 (31)",NA,NA,Portugal,Chelsea FC,Premier League,2010/2011,2010
NA,Right-Back,"Dec 5, 1991 (18)",NA,NA,Italy,Chelsea FC,Premier League,2010/2011,2010
5,Defensive Midfield,"Dec 3, 1982 (27)",NA,NA,Ghana,Chelsea FC,Premier League,2010/2011,2010
12,Defensive Midfield,"Apr 22, 1987 (23)",NA,NA,Nigeria,Chelsea FC,Premier League,2010/2011,2010
NA,Defensive Midfield,"Dec 12, 1994 (15)",NA,NA,England,Chelsea FC,Premier League,2010/2011,2010
8,Central Midfield,"Jun 20, 1978 (32)",NA,NA,England,Chelsea FC,Premier League,2010/2011,2010
7,Central Midfield,"Mar 24, 1987 (23)",NA,NA,Brazil,Chelsea FC,Premier League,2010/2011,2010
NA,Central Midfield,"Jan 8, 1991 (19)",NA,NA,England,Chelsea FC,Premier League,2010/2011,2010
NA,Central Midfield,"Oct 18, 1992 (17)",NA,NA,England,Chelsea FC,Premier League,2010/2011,2010
46,Central Midfield,"Mar 1, 1993 (17)",NA,NA,England,Chelsea FC,Premier League,2010/2011,2010
18,Left Midfield,"Aug 20, 1983 (26)",NA,NA,Russia,Chelsea FC,Premier League,2010/2011,2010
15,Left Winger,"Jun 13, 1980 (30)",NA,NA,French Guiana,Chelsea FC,Premier League,2010/2011,2010
21,Left Winger,"Aug 5, 1985 (24)",NA,NA,Cote d'Ivoire,Chelsea FC,Premier League,2010/2011,2010
44,Left Winger,"Jun 21, 1991 (19)",NA,NA,DR Congo,Chelsea FC,Premier League,2010/2011,2010
NA,Left Winger,"Mar 29, 1991 (19)",NA,NA,Italy,Chelsea FC,Premier League,2010/2011,2010
10,Right Winger,"May 5, 1980 (30)",NA,NA,Israel,Chelsea FC,Premier League,2010/2011,2010
9,Centre-Forward,"Mar 20, 1984 (26)",NA,NA,Spain,Chelsea FC,Premier League,2010/2011,2010
11,Centre-Forward,"Mar 11, 1978 (32)",NA,NA,Cote d'Ivoire,Chelsea FC,Premier League,2010/2011,2010
39,Centre-Forward,"Mar 14, 1979 (31)",NA,NA,France,Chelsea FC,Premier League,2010/2011,2010
23,Centre-Forward,"Sep 1, 1989 (20)",NA,NA,England,Chelsea FC,Premier League,2010/2011,2010
1,Goalkeeper,"Oct 29, 1970 (39)",NA,NA,Netherlands,Manchester United,Premier League,2010/2011,2010
29,Goalkeeper,"Mar 20, 1982 (28)",NA,NA,Poland,Manchester United,Premier League,2010/2011,2010
34,Goalkeeper,"Apr 13, 1984 (26)",NA,NA,Denmark,Manchester United,Premier League,2010/2011,2010
40,Goalkeeper,"Apr 10, 1990 (20)",NA,NA,England,Manchester United,Premier League,2010/2011,2010
15,Centre-Back,"Oct 21, 1981 (28)",NA,NA,Serbia,Manchester United,Premier League,2010/2011,2010
5,Centre-Back,"Nov 7, 1978 (31)",NA,NA,England,Manchester United,Premier League,2010/2011,2010
23,Centre-Back,"Jan 3, 1988 (22)",NA,NA,Northern Ireland,Manchester United,Premier League,2010/2011,2010
6,Centre-Back,"Oct 13, 1979 (30)",NA,NA,England,Manchester United,Premier League,2010/2011,2010
22,Centre-Back,"Apr 30, 1981 (29)",NA,NA,Ireland,Manchester United,Premier League,2010/2011,2010
12,Centre-Back,"Nov 22, 1989 (20)",NA,NA,England,Manchester United,Premier League,2010/2011,2010
45,Centre-Back,"Sep 15, 1990 (19)",NA,NA,England,Manchester United,Premier League,2010/2011,2010
3,Left-Back,"May 15, 1981 (29)",NA,NA,France,Manchester United,Premier League,2010/2011,2010
25,Right-Back,"Aug 4, 1985 (24)",NA,NA,Ecuador,Manchester United,Premier League,2010/2011,2010
21,Right-Back,"Jul 9, 1990 (19)",NA,NA,Brazil,Manchester United,Premier League,2010/2011,2010
2,Right-Back,"Feb 18, 1975 (35)",NA,NA,England,Manchester United,Premier League,2010/2011,2010
20,Right-Back,"Jul 9, 1990 (19)",NA,NA,Brazil,Manchester United,Premier League,2010/2011,2010
30,Right-Back,"Nov 28, 1988 (21)",NA,NA,Belgium,Manchester United,Premier League,2010/2011,2010
16,Defensive Midfield,"Jul 28, 1981 (28)",NA,NA,England,Manchester United,Premier League,2010/2011,2010
4,Defensive Midfield,"Jan 20, 1981 (29)",NA,NA,England,Manchester United,Premier League,2010/2011,2010
8,Central Midfield,"Apr 13, 1988 (22)",NA,NA,Brazil,Manchester United,Premier League,2010/2011,2010
24,Central Midfield,"Feb 1, 1984 (26)",NA,NA,Scotland,Manchester United,Premier League,2010/2011,2010
18,Central Midfield,"Nov 16, 1974 (35)",NA,NA,England,Manchester United,Premier League,2010/2011,2010
28,Central Midfield,"Oct 25, 1987 (22)",NA,NA,Ireland,Manchester United,Premier League,2010/2011,2010
35,Central Midfield,"Aug 12, 1989 (20)",NA,NA,England,Manchester United,Premier League,2010/2011,2010
