player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Vyacheslav Malafeev,Goalkeeper,1979-03-04,31,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Yuri Zhevnov,Goalkeeper,1981-04-17,29,Belarus,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Dmitri Borodin,Goalkeeper,1977-10-08,32,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Andrey Zajtsev,Goalkeeper,1991-01-14,19,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Bruno Alves,Centre-Back,1981-11-27,28,Portugal,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Nicolas Lombaerts,Centre-Back,1985-03-20,25,Belgium,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Aleksandar Lukovic,Centre-Back,1982-10-23,27,Serbia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Sébastien Puygrenier,Centre-Back,1982-01-28,28,France,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Fernando Meira,Centre-Back,1978-06-05,32,Portugal,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Ivica Krizanac,Centre-Back,1979-04-13,31,Croatia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Tomas Hubocan,Centre-Back,1985-09-17,24,Slovakia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Igor Cheminava,Centre-Back,1991-03-23,19,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Domenico Criscito,Left-Back,1986-12-30,23,Italy,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Michael Lumb,Left-Back,1988-01-09,22,Denmark,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Nicolás Peñailillo,Left-Back,1991-06-13,19,Chile,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Aleksandr Anyukov,Right-Back,1982-09-28,27,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Sergey Petrov,Right-Back,1991-01-02,19,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Dmitri Telegin,Right-Back,1992-02-02,18,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Denis Terentjev,Right-Back,1992-08-13,17,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Igor Denisov,Defensive Midfield,1984-05-17,26,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Konstantin Zyryanov,Central Midfield,1977-10-05,32,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Roman Shirokov,Central Midfield,1981-07-06,28,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Szabolcs Huszti,Central Midfield,1983-04-18,27,Hungary,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Sergey Semak,Central Midfield,1976-02-27,34,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Viktor Faizulin,Central Midfield,1986-04-22,24,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Evgeni Bashkirov,Central Midfield,1991-07-06,18,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Vladimir Bystrov,Right Midfield,1984-01-31,26,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Roland Gigolaev,Left Midfield,1990-01-04,20,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Danny,Attacking Midfield,1983-08-07,26,Portugal,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Aleksey Ionov,Right Winger,1989-02-18,21,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Stanislav Matyash,Right Winger,1991-04-23,19,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Nikita Bocharov,Right Winger,1992-06-12,18,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Stanislav Murikhin,Right Winger,1992-01-21,18,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Andrey Arshavin,Second Striker,1981-05-29,29,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Danko Lazovic,Second Striker,1983-05-17,27,Serbia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Alessandro Rosina,Second Striker,1984-01-31,26,Italy,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Aleksandr Bukharov,Centre-Forward,1985-03-12,25,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Aleksandr Kerzhakov,Centre-Forward,1982-11-27,27,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Sergey Kornilenko,Centre-Forward,1983-06-14,27,Belarus,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Maksim Kanunnikov,Centre-Forward,1991-07-14,18,Russia,Zenit St. Petersburg,Premier Liga,2010/2011,2010
Igor Akinfeev,Goalkeeper,1986-04-08,24,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Vladimir Gabulov,Goalkeeper,1983-10-19,26,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Sergey Chepchugov,Goalkeeper,1985-07-15,24,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Vyacheslav Isupov,Goalkeeper,1993-01-16,17,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Sergey Revyakin,Goalkeeper,1995-04-02,15,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Ilya Pomazun,Goalkeeper,1996-08-16,13,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Sergey Ignashevich,Centre-Back,1979-07-14,30,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Vasili Berezutski,Centre-Back,1982-06-20,28,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Aleksey Berezutski,Centre-Back,1982-06-20,28,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Uroš Ćosić,Centre-Back,1992-10-24,17,Serbia,CSKA Moscow,Premier Liga,2010/2011,2010
Viktor Vasin,Centre-Back,1988-10-06,21,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Georgi Schennikov,Left-Back,1991-04-27,19,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Petr Ten,Left-Back,1992-07-12,17,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Kirill Nababkin,Right-Back,1986-09-08,23,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Chidi Odiah,Right-Back,1983-12-17,26,Nigeria,CSKA Moscow,Premier Liga,2010/2011,2010
Evgeni Aldonin,Defensive Midfield,1980-01-22,30,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Deividas Semberas,Defensive Midfield,1978-08-02,31,Lithuania,CSKA Moscow,Premier Liga,2010/2011,2010
Pontus Wernbloom,Defensive Midfield,1986-06-25,24,Sweden,CSKA Moscow,Premier Liga,2010/2011,2010
Elvir Rahimic,Defensive Midfield,1976-04-04,34,Bosnia-Herzegovina,CSKA Moscow,Premier Liga,2010/2011,2010
Aleksandrs Cauna,Defensive Midfield,1988-01-19,22,Latvia,CSKA Moscow,Premier Liga,2010/2011,2010
Semen Fedotov,Defensive Midfield,1992-03-02,18,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Milos Krasic,Central Midfield,1984-11-01,25,Serbia,CSKA Moscow,Premier Liga,2010/2011,2010
Alan Dzagoev,Central Midfield,1990-06-17,20,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Pavel Mamaev,Central Midfield,1988-09-17,21,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Egor Ivanov,Central Midfield,1992-06-19,18,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
Keisuke Honda,Right Midfield,1986-06-13,24,Japan,CSKA Moscow,Premier Liga,2010/2011,2010
Nika Piliev,Left Midfield,1991-03-21,19,Russia,CSKA Moscow,Premier Liga,2010/2011,2010
