player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Claudio Bravo,Goalkeeper,1983-04-13,33,Chile,FC Barcelona,LaLiga,2016/2017,2016
Marc-André ter Stegen,Goalkeeper,1992-04-30,24,Germany,FC Barcelona,LaLiga,2016/2017,2016
Jasper Cillessen,Goalkeeper,1989-04-22,27,Netherlands,FC Barcelona,LaLiga,2016/2017,2016
Jordi Masip,Goalkeeper,1989-01-03,27,Spain,FC Barcelona,LaLiga,2016/2017,2016
Adrián Ortolá,Goalkeeper,1993-08-20,22,Spain,FC Barcelona,LaLiga,2016/2017,2016
Gerard Piqué,Centre-Back,1987-02-02,29,Spain,FC Barcelona,LaLiga,2016/2017,2016
Samuel Umtiti,Centre-Back,1993-11-14,22,France,FC Barcelona,LaLiga,2016/2017,2016
Jérémy Mathieu,Centre-Back,1983-10-29,32,France,FC Barcelona,LaLiga,2016/2017,2016
Marlon,Centre-Back,1995-09-07,20,Brazil,FC Barcelona,LaLiga,2016/2017,2016
Thomas Vermaelen,Centre-Back,1985-11-14,30,Belgium,FC Barcelona,LaLiga,2016/2017,2016
Borja López,Centre-Back,1994-02-02,22,Spain,FC Barcelona,LaLiga,2016/2017,2016
Jordi Alba,Left-Back,1989-03-21,27,Spain,FC Barcelona,LaLiga,2016/2017,2016
Lucas Digne,Left-Back,1993-07-20,22,France,FC Barcelona,LaLiga,2016/2017,2016
Sergi Roberto,Right-Back,1992-02-07,24,Spain,FC Barcelona,LaLiga,2016/2017,2016
Douglas,Right-Back,1990-08-06,25,Brazil,FC Barcelona,LaLiga,2016/2017,2016
Sergio Busquets,Defensive Midfield,1988-07-16,27,Spain,FC Barcelona,LaLiga,2016/2017,2016
Javier Mascherano,Defensive Midfield,1984-06-08,32,Argentina,FC Barcelona,LaLiga,2016/2017,2016
Sergi Samper,Defensive Midfield,1995-01-20,21,Spain,FC Barcelona,LaLiga,2016/2017,2016
Ivan Rakitic,Central Midfield,1988-03-10,28,Croatia,FC Barcelona,LaLiga,2016/2017,2016
Andrés Iniesta,Central Midfield,1984-05-11,32,Spain,FC Barcelona,LaLiga,2016/2017,2016
André Gomes,Central Midfield,1993-07-30,22,Portugal,FC Barcelona,LaLiga,2016/2017,2016
Denis Suárez,Central Midfield,1994-01-06,22,Spain,FC Barcelona,LaLiga,2016/2017,2016
Rafinha,Central Midfield,1993-02-12,23,Brazil,FC Barcelona,LaLiga,2016/2017,2016
Wilfrid Kaptoum,Central Midfield,1996-07-07,19,Cameroon,FC Barcelona,LaLiga,2016/2017,2016
Àlex Carbonell,Central Midfield,1997-09-15,18,Spain,FC Barcelona,LaLiga,2016/2017,2016
Carles Aleñà,Central Midfield,1998-01-05,18,Spain,FC Barcelona,LaLiga,2016/2017,2016
Aleix Vidal,Right Midfield,1989-08-21,26,Spain,FC Barcelona,LaLiga,2016/2017,2016
Francisco Nili,Attacking Midfield,1994-02-18,22,Spain,FC Barcelona,LaLiga,2016/2017,2016
Neymar,Left Winger,1992-02-05,24,Brazil,FC Barcelona,LaLiga,2016/2017,2016
Arda Turan,Left Winger,1987-01-30,29,Turkey,FC Barcelona,LaLiga,2016/2017,2016
Cristian Tello,Left Winger,1991-08-11,24,Spain,FC Barcelona,LaLiga,2016/2017,2016
Juan Cámara,Left Winger,1994-02-13,22,Spain,FC Barcelona,LaLiga,2016/2017,2016
Lionel Messi,Right Winger,1987-06-24,29,Argentina,FC Barcelona,LaLiga,2016/2017,2016
Luis Suárez,Centre-Forward,1987-01-24,29,Uruguay,FC Barcelona,LaLiga,2016/2017,2016
Paco Alcácer,Centre-Forward,1993-08-30,22,Spain,FC Barcelona,LaLiga,2016/2017,2016
Munir El Haddadi,Centre-Forward,1995-09-01,20,Spain,FC Barcelona,LaLiga,2016/2017,2016
Marc Cardona,Centre-Forward,1995-07-08,20,Spain,FC Barcelona,LaLiga,2016/2017,2016
Keylor Navas,Goalkeeper,1986-12-15,29,Costa Rica,Real Madrid,LaLiga,2016/2017,2016
Kiko Casilla,Goalkeeper,1986-10-02,29,Spain,Real Madrid,LaLiga,2016/2017,2016
Rubén Yáñez,Goalkeeper,1993-10-12,22,Spain,Real Madrid,LaLiga,2016/2017,2016
Sergio Ramos,Centre-Back,1986-03-30,30,Spain,Real Madrid,LaLiga,2016/2017,2016
Raphaël Varane,Centre-Back,1993-04-25,23,France,Real Madrid,LaLiga,2016/2017,2016
Pepe,Centre-Back,1983-02-26,33,Portugal,Real Madrid,LaLiga,2016/2017,2016
Nacho,Centre-Back,1990-01-18,26,Spain,Real Madrid,LaLiga,2016/2017,2016
Diego Llorente,Centre-Back,1993-08-16,22,Spain,Real Madrid,LaLiga,2016/2017,2016
