player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Rui Patrício,Goalkeeper,1988-02-15,21,Portugal,Sporting CP,Liga NOS,2009/2010,2009
Vladimir Stojkovic,Goalkeeper,1983-07-28,25,Serbia,Sporting CP,Liga NOS,2009/2010,2009
Tiago Ferreira,Goalkeeper,1975-04-16,34,Portugal,Sporting CP,Liga NOS,2009/2010,2009
Ricardo Batista,Goalkeeper,1986-11-19,22,Portugal,Sporting CP,Liga NOS,2009/2010,2009
Ruben Luís,Goalkeeper,1991-06-27,18,Portugal,Sporting CP,Liga NOS,2009/2010,2009
Polga,Centre-Back,1979-02-09,30,Brazil,Sporting CP,Liga NOS,2009/2010,2009
Tonel,Centre-Back,1980-04-13,29,Portugal,Sporting CP,Liga NOS,2009/2010,2009
Marco Caneira,Centre-Back,1979-02-09,30,Portugal,Sporting CP,Liga NOS,2009/2010,2009
Daniel Carriço,Centre-Back,1988-08-04,20,Portugal,Sporting CP,Liga NOS,2009/2010,2009
Mexer,Centre-Back,1988-09-08,20,Mozambique,Sporting CP,Liga NOS,2009/2010,2009
Leandro Grimi,Left-Back,1985-02-09,24,Argentina,Sporting CP,Liga NOS,2009/2010,2009
André Marques,Left-Back,1987-08-01,21,Portugal,Sporting CP,Liga NOS,2009/2010,2009
João Pereira,Right-Back,1984-02-25,25,Portugal,Sporting CP,Liga NOS,2009/2010,2009
Abel Ferreira,Right-Back,1978-12-22,30,Portugal,Sporting CP,Liga NOS,2009/2010,2009
Pedro Silva,Right-Back,1981-04-25,28,Brazil,Sporting CP,Liga NOS,2009/2010,2009
Miguel Veloso,Defensive Midfield,1986-05-11,23,Portugal,Sporting CP,Liga NOS,2009/2010,2009
Pedro Mendes,Defensive Midfield,1979-02-26,30,Portugal,Sporting CP,Liga NOS,2009/2010,2009
Renato Neto,Defensive Midfield,1991-09-27,17,Brazil,Sporting CP,Liga NOS,2009/2010,2009
João Moutinho,Central Midfield,1986-09-08,22,Portugal,Sporting CP,Liga NOS,2009/2010,2009
Marat Izmailov,Central Midfield,1982-09-21,26,Russia,Sporting CP,Liga NOS,2009/2010,2009
Fábio Rochemback,Central Midfield,1981-12-10,27,Brazil,Sporting CP,Liga NOS,2009/2010,2009
