player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Júlio César,Goalkeeper,1979-09-03,29,Brazil,FC Internazionale,Serie A,2009/2010,2009
Francesco Toldo,Goalkeeper,1971-12-02,37,Italy,FC Internazionale,Serie A,2009/2010,2009
Paolo Orlandoni,Goalkeeper,1972-08-12,36,Italy,FC Internazionale,Serie A,2009/2010,2009
Vid Belec,Goalkeeper,1990-06-06,19,Slovenia,FC Internazionale,Serie A,2009/2010,2009
Cristian Chivu,Centre-Back,1980-10-26,28,Romania,FC Internazionale,Serie A,2009/2010,2009
Lúcio,Centre-Back,1978-05-08,31,Brazil,FC Internazionale,Serie A,2009/2010,2009
Wálter Samuel,Centre-Back,1978-03-23,31,Argentina,FC Internazionale,Serie A,2009/2010,2009
Iván Córdoba,Centre-Back,1976-08-11,32,Colombia,FC Internazionale,Serie A,2009/2010,2009
Nicolás Burdisso,Centre-Back,1981-04-12,28,Argentina,FC Internazionale,Serie A,2009/2010,2009
Marco Materazzi,Centre-Back,1973-08-19,35,Italy,FC Internazionale,Serie A,2009/2010,2009
Nelson Rivas,Centre-Back,1983-03-25,26,Colombia,FC Internazionale,Serie A,2009/2010,2009
Luca Caldirola,Centre-Back,1991-02-01,18,Italy,FC Internazionale,Serie A,2009/2010,2009
Marek Kysela,Centre-Back,1992-07-10,16,Czech Republic,FC Internazionale,Serie A,2009/2010,2009
Davide Santon,Left-Back,1991-01-02,18,Italy,FC Internazionale,Serie A,2009/2010,2009
Maicon,Right-Back,1981-07-26,27,Brazil,FC Internazionale,Serie A,2009/2010,2009
Javier Zanetti,Right-Back,1973-08-10,35,Argentina,FC Internazionale,Serie A,2009/2010,2009
Giulio Donati,Right-Back,1990-02-05,19,Italy,FC Internazionale,Serie A,2009/2010,2009
Esteban Cambiasso,Defensive Midfield,1980-08-18,28,Argentina,FC Internazionale,Serie A,2009/2010,2009
Patrick Vieira,Defensive Midfield,1976-06-23,33,France,FC Internazionale,Serie A,2009/2010,2009
Thiago Motta,Defensive Midfield,1982-08-28,26,Italy,FC Internazionale,Serie A,2009/2010,2009
McDonald Mariga,Defensive Midfield,1987-04-04,22,Kenya,FC Internazionale,Serie A,2009/2010,2009
Cristian Daminuta,Defensive Midfield,1990-02-15,19,Romania,FC Internazionale,Serie A,2009/2010,2009
