shirt_number,position,player_name,date_of_birth,age,nationality,club_name,league_name,season,year
1,Goalkeeper,"May 20, 1981 (28)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
13,Goalkeeper,"Mar 23, 1973 (36)",NA,NA,Poland,Real Madrid,LaLiga,2009/2010,2009
25,Goalkeeper,"May 13, 1987 (22)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
4,Centre-Back,"Mar 30, 1986 (23)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
3,Centre-Back,"Feb 26, 1983 (26)",NA,NA,Portugal,Real Madrid,LaLiga,2009/2010,2009
19,Centre-Back,"Oct 10, 1986 (22)",NA,NA,Argentina,Real Madrid,LaLiga,2009/2010,2009
18,Centre-Back,"Sep 4, 1985 (23)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
21,Centre-Back,"Nov 5, 1980 (28)",NA,NA,Germany,Real Madrid,LaLiga,2009/2010,2009
NA,Centre-Back,"Apr 22, 1987 (22)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
12,Left-Back,"May 12, 1988 (21)",NA,NA,Brazil,Real Madrid,LaLiga,2009/2010,2009
28,Left-Back,"Dec 28, 1990 (18)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
2,Right-Back,"Jan 17, 1983 (26)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
34,Right-Back,"Mar 25, 1990 (19)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
36,Right-Back,"Sep 11, 1988 (20)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
22,Defensive Midfield,"Nov 25, 1981 (27)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
5,Defensive Midfield,"Apr 10, 1986 (23)",NA,NA,Argentina,Real Madrid,LaLiga,2009/2010,2009
6,Defensive Midfield,"May 18, 1981 (28)",NA,NA,Mali,Real Madrid,LaLiga,2009/2010,2009
10,Defensive Midfield,"Mar 10, 1985 (24)",NA,NA,France,Real Madrid,LaLiga,2009/2010,2009
14,Central Midfield,"Oct 31, 1976 (32)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
NA,Central Midfield,"Jun 5, 1985 (24)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
24,Central Midfield,"Jul 2, 1987 (21)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
30,Central Midfield,"Apr 21, 1988 (21)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
15,Left Midfield,"Apr 8, 1987 (22)",NA,NA,Netherlands,Real Madrid,LaLiga,2009/2010,2009
8,Attacking Midfield,"Apr 22, 1982 (27)",NA,NA,Brazil,Real Madrid,LaLiga,2009/2010,2009
23,Attacking Midfield,"Feb 11, 1983 (26)",NA,NA,Netherlands,Real Madrid,LaLiga,2009/2010,2009
9,Left Winger,"Feb 5, 1985 (24)",NA,NA,Portugal,Real Madrid,LaLiga,2009/2010,2009
7,Second Striker,"Jun 27, 1977 (32)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
11,Centre-Forward,"Dec 19, 1987 (21)",NA,NA,France,Real Madrid,LaLiga,2009/2010,2009
17,Centre-Forward,"Jul 1, 1976 (33)",NA,NA,Netherlands,Real Madrid,LaLiga,2009/2010,2009
20,Centre-Forward,"Dec 10, 1987 (21)",NA,NA,Argentina,Real Madrid,LaLiga,2009/2010,2009
27,Centre-Forward,"Jun 23, 1988 (21)",NA,NA,Paraguay,Real Madrid,LaLiga,2009/2010,2009
33,Centre-Forward,"Mar 6, 1991 (18)",NA,NA,Spain,Real Madrid,LaLiga,2009/2010,2009
1,Goalkeeper,"Jan 14, 1982 (27)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
13,Goalkeeper,"Nov 8, 1975 (33)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
30,Goalkeeper,"Jan 18, 1989 (20)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
5,Centre-Back,"Apr 13, 1978 (31)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
18,Centre-Back,"Sep 7, 1980 (28)",NA,NA,Argentina,FC Barcelona,LaLiga,2009/2010,2009
4,Centre-Back,"Feb 13, 1979 (30)",NA,NA,Mexico,FC Barcelona,LaLiga,2009/2010,2009
3,Centre-Back,"Feb 2, 1987 (22)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
21,Centre-Back,"Nov 7, 1986 (22)",NA,NA,Ukraine,FC Barcelona,LaLiga,2009/2010,2009
32,Centre-Back,"Nov 14, 1989 (19)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
33,Centre-Back,"Mar 27, 1992 (17)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
40,Centre-Back,"Jan 15, 1991 (18)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
22,Left-Back,"Sep 11, 1979 (29)",NA,NA,France,FC Barcelona,LaLiga,2009/2010,2009
19,Left-Back,"Aug 27, 1981 (27)",NA,NA,Brazil,FC Barcelona,LaLiga,2009/2010,2009
2,Right-Back,"May 6, 1983 (26)",NA,NA,Brazil,FC Barcelona,LaLiga,2009/2010,2009
16,Defensive Midfield,"Jul 16, 1988 (20)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
6,Central Midfield,"Jan 25, 1980 (29)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
8,Central Midfield,"May 11, 1984 (25)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
24,Central Midfield,"May 13, 1983 (26)",NA,NA,Cote d'Ivoire,FC Barcelona,LaLiga,2009/2010,2009
15,Central Midfield,"Jan 16, 1980 (29)",NA,NA,Mali,FC Barcelona,LaLiga,2009/2010,2009
38,Central Midfield,"Sep 8, 1987 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
34,Central Midfield,"Apr 11, 1991 (18)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
28,Central Midfield,"Apr 26, 1990 (19)",NA,NA,Mexico,FC Barcelona,LaLiga,2009/2010,2009
31,Left Winger,"Apr 9, 1991 (18)",NA,NA,Israel,FC Barcelona,LaLiga,2009/2010,2009
10,Right Winger,"Jun 24, 1987 (22)",NA,NA,Argentina,FC Barcelona,LaLiga,2009/2010,2009
17,Right Winger,"Jul 28, 1987 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
20,Right Winger,"Jan 20, 1988 (21)",NA,NA,Venezuela,FC Barcelona,LaLiga,2009/2010,2009
11,Second Striker,"Aug 28, 1990 (18)",NA,NA,Spain,FC Barcelona,LaLiga,2009/2010,2009
9,Centre-Forward,"Oct 3, 1981 (27)",NA,NA,Sweden,FC Barcelona,LaLiga,2009/2010,2009
14,Centre-Forward,"Aug 17, 1977 (31)",NA,NA,France,FC Barcelona,LaLiga,2009/2010,2009
7,Centre-Forward,"Sep 15, 1978 (30)",NA,NA,Iceland,FC Barcelona,LaLiga,2009/2010,2009
