player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Andrey Lunev,Goalkeeper,1991-11-13,27,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Mikhail Kerzhakov,Goalkeeper,1987-01-28,32,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Emanuel Mammana,Centre-Back,1996-02-10,23,Argentina,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Yaroslav Rakytskyi,Centre-Back,1989-08-03,29,Ukraine,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Luís Neto,Centre-Back,1988-05-26,31,Portugal,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Branislav Ivanovic,Centre-Back,1984-02-22,35,Serbia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Ilya Skrobotov,Centre-Back,2000-07-06,18,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Elmir Nabiullin,Left-Back,1995-03-08,24,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Igor Smolnikov,Right-Back,1988-08-08,30,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Denis Terentjev,Right-Back,1992-08-13,26,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Aleksandr Anyukov,Right-Back,1982-09-28,36,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Wilmar Barrios,Defensive Midfield,1993-10-16,25,Colombia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Matías Kranevitter,Defensive Midfield,1993-05-21,26,Argentina,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Hernani,Defensive Midfield,1994-03-27,25,Brazil,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Leon Musaev,Defensive Midfield,1999-01-25,20,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Daler Kuzyaev,Central Midfield,1993-01-15,26,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Claudio Marchisio,Central Midfield,1986-01-19,33,Italy,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Magomed Ozdoev,Central Midfield,1992-11-05,26,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Christian Noboa,Central Midfield,1985-04-09,34,Ecuador,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Oleg Shatov,Left Midfield,1990-07-29,28,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Yuri Zhirkov,Left Midfield,1983-08-20,35,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Aleksandr Erokhin,Attacking Midfield,1989-10-13,29,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Sebastián Driussi,Left Winger,1996-02-09,23,Argentina,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Emiliano Rigoni,Right Winger,1993-02-04,26,Argentina,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Robert Mak,Right Winger,1991-03-08,28,Slovakia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Sardar Azmoun,Centre-Forward,1995-01-01,24,Iran,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Artem Dzyuba,Centre-Forward,1988-08-22,30,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Aleksandr Kokorin,Centre-Forward,1991-03-19,28,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Anton Zabolotny,Centre-Forward,1991-06-13,28,Russia,Zenit St. Petersburg,Premier Liga,2011/2012,2011
Igor Akinfeev,Goalkeeper,1986-04-08,33,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Ilya Pomazun,Goalkeeper,1996-08-16,22,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Georgiy Kyrnats,Goalkeeper,1998-06-22,20,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Rodrigo Becão,Centre-Back,1996-01-19,23,Brazil,CSKA Moscow,Premier Liga,2011/2012,2011
Hördur Magnússon,Centre-Back,1993-02-11,26,Iceland,CSKA Moscow,Premier Liga,2011/2012,2011
Nikita Chernov,Centre-Back,1996-01-14,23,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Viktor Vasin,Centre-Back,1988-10-06,30,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Igor Diveev,Centre-Back,1999-09-27,19,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Georgi Schennikov,Left-Back,1991-04-27,28,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Nayair Tiknizyan,Left-Back,1999-05-12,20,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Mário Fernandes,Right-Back,1990-09-19,28,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Kirill Nababkin,Right-Back,1986-09-08,32,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Kristijan Bistrovic,Defensive Midfield,1998-04-09,21,Croatia,CSKA Moscow,Premier Liga,2011/2012,2011
Jaka Bijol,Defensive Midfield,1999-02-05,20,Slovenia,CSKA Moscow,Premier Liga,2011/2012,2011
Alan Dzagoev,Central Midfield,1990-06-17,28,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Ilzat Akhmetov,Central Midfield,1997-12-31,21,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Ivan Oblyakov,Central Midfield,1998-07-05,20,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Dmitri Efremov,Left Midfield,1995-04-01,24,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Nikola Vlasic,Attacking Midfield,1997-10-04,21,Croatia,CSKA Moscow,Premier Liga,2011/2012,2011
Arnór Sigurdsson,Attacking Midfield,1999-05-15,20,Iceland,CSKA Moscow,Premier Liga,2011/2012,2011
Konstantin Kuchaev,Attacking Midfield,1998-03-18,21,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Takuma Nishimura,Second Striker,1996-10-22,22,Japan,CSKA Moscow,Premier Liga,2011/2012,2011
Fedor Chalov,Centre-Forward,1998-04-10,21,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Abel Hernández,Centre-Forward,1990-08-08,28,Uruguay,CSKA Moscow,Premier Liga,2011/2012,2011
Vitali Zhironkin,Centre-Forward,2000-03-10,19,Russia,CSKA Moscow,Premier Liga,2011/2012,2011
Lassana N'Diaye,Centre-Forward,2000-10-03,18,Mali,CSKA Moscow,Premier Liga,2011/2012,2011
Guilherme,Goalkeeper,1985-12-12,33,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Anton Kochenkov,Goalkeeper,1987-04-02,32,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Nikita Medvedev,Goalkeeper,1994-12-17,24,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Solomon Kvirkvelia,Centre-Back,1992-02-06,27,Georgia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Benedikt Höwedes,Centre-Back,1988-02-29,31,Germany,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Vedran Corluka,Centre-Back,1986-02-05,33,Croatia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Taras Mykhalyk,Centre-Back,1983-10-28,35,Ukraine,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Maciej Rybus,Left-Back,1989-08-19,29,Poland,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Mikhail Lysov,Left-Back,1998-01-29,21,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Vladislav Ignatjev,Right-Back,1987-01-20,32,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Bryan Idowu,Right-Back,1992-05-18,27,Nigeria,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Boris Rotenberg,Right-Back,1986-05-19,33,Finland,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Grzegorz Krychowiak,Defensive Midfield,1990-01-29,29,Poland,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Dmitri Barinov,Defensive Midfield,1996-09-11,22,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Dmitri Tarasov,Defensive Midfield,1987-03-18,32,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Igor Denisov,Defensive Midfield,1984-05-17,35,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Aleksandr Kolomeytsev,Central Midfield,1989-02-21,30,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Aleksey Miranchuk,Attacking Midfield,1995-10-17,23,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Anton Miranchuk,Attacking Midfield,1995-10-17,23,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Manuel Fernandes,Attacking Midfield,1986-02-05,33,Portugal,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Roman Tugarev,Left Winger,1998-07-22,20,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Khvicha Kvaratskhelia,Left Winger,2001-02-12,18,Georgia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Jefferson Farfán,Right Winger,1984-10-26,34,Peru,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Rifat Zhemaletdinov,Right Winger,1996-09-20,22,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Fedor Smolov,Centre-Forward,1990-02-09,29,Russia,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Éder,Centre-Forward,1987-12-22,31,Portugal,Lokomotiv Moscow,Premier Liga,2011/2012,2011
Aleksandr Selikhov,Goalkeeper,1994-04-07,25,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Aleksandr Maksimenko,Goalkeeper,1998-03-19,21,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Artem Rebrov,Goalkeeper,1984-03-04,35,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Samuel Gigot,Centre-Back,1993-10-12,25,France,Spartak Moscow,Premier Liga,2011/2012,2011
Georgiy Dzhikiya,Centre-Back,1993-11-21,25,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Ilya Kutepov,Centre-Back,1993-07-29,25,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Salvatore Bocchetti,Centre-Back,1986-11-30,32,Italy,Spartak Moscow,Premier Liga,2011/2012,2011
Ilya Gaponov,Centre-Back,1997-10-25,21,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Ayrton Lucas,Left-Back,1997-06-19,21,Brazil,Spartak Moscow,Premier Liga,2011/2012,2011
Dmitri Kombarov,Left-Back,1987-01-22,32,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Nikolay Rasskazov,Right-Back,1998-01-04,21,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Andrey Eshchenko,Right-Back,1984-02-09,35,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Fernando,Defensive Midfield,1992-03-03,27,Brazil,Spartak Moscow,Premier Liga,2011/2012,2011
Nail Umyarov,Defensive Midfield,2000-06-27,18,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Roman Zobnin,Central Midfield,1994-02-11,25,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Denis Glushakov,Central Midfield,1987-01-27,32,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Ayaz Guliev,Central Midfield,1996-11-27,22,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Sofiane Hanni,Attacking Midfield,1990-12-29,28,Algeria,Spartak Moscow,Premier Liga,2011/2012,2011
Mikhail Ignatov,Attacking Midfield,2000-05-04,19,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Lorenzo Melgarejo,Left Winger,1990-08-10,28,Paraguay,Spartak Moscow,Premier Liga,2011/2012,2011
Aleksandr Tashaev,Right Winger,1994-06-23,24,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Aleksandr Lomovitskiy,Right Winger,1998-01-27,21,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Maksim Glushenkov,Right Winger,1999-07-28,19,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Georgi Melkadze,Second Striker,1997-04-04,22,Russia,Spartak Moscow,Premier Liga,2011/2012,2011
Zé Luís,Centre-Forward,1991-01-24,28,Cape Verde,Spartak Moscow,Premier Liga,2011/2012,2011
Luiz Adriano,Centre-Forward,1987-04-12,32,Brazil,Spartak Moscow,Premier Liga,2011/2012,2011
Stanislav Kritsyuk,Goalkeeper,1990-12-01,28,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Matvey Safonov,Goalkeeper,1999-02-25,20,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Andrey Sinitsyn,Goalkeeper,1988-06-23,30,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Uros Spajic,Centre-Back,1993-02-13,26,Serbia,FK Krasnodar,Premier Liga,2011/2012,2011
Aleksandr Martynovich,Centre-Back,1987-08-26,31,Belarus,FK Krasnodar,Premier Liga,2011/2012,2011
Jon Gudni Fjóluson,Centre-Back,1989-04-10,30,Iceland,FK Krasnodar,Premier Liga,2011/2012,2011
Cristian Ramírez,Left-Back,1994-08-12,24,Ecuador,FK Krasnodar,Premier Liga,2011/2012,2011
Dmitri Skopintsev,Left-Back,1997-03-02,22,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Sergey Petrov,Right-Back,1991-01-02,28,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Nikolay Markov,Right-Back,1985-04-20,34,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Charles Kaboré,Defensive Midfield,1988-02-09,31,Burkina Faso,FK Krasnodar,Premier Liga,2011/2012,2011
Artem Golubev,Defensive Midfield,1999-01-21,20,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Yuri Gazinskiy,Central Midfield,1989-07-20,29,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Kristoffer Olsson,Central Midfield,1995-06-30,23,Sweden,FK Krasnodar,Premier Liga,2011/2012,2011
Pavel Mamaev,Central Midfield,1988-09-17,30,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Daniil Utkin,Central Midfield,1999-10-12,19,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Dmitri Stotskiy,Right Midfield,1989-12-01,29,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Mauricio Pereyra,Attacking Midfield,1990-03-15,29,Uruguay,FK Krasnodar,Premier Liga,2011/2012,2011
Viktor Claesson,Left Winger,1992-01-02,27,Sweden,FK Krasnodar,Premier Liga,2011/2012,2011
Wanderson,Right Winger,1994-10-07,24,Brazil,FK Krasnodar,Premier Liga,2011/2012,2011
Shapi Suleymanov,Right Winger,1999-12-16,19,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Ivan Ignatjev,Centre-Forward,1999-01-06,20,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Ari,Centre-Forward,1985-12-11,33,Russia,FK Krasnodar,Premier Liga,2011/2012,2011
Evgeni Gorodov,Goalkeeper,1985-12-13,33,Russia,Akhmat Grozny,Premier Liga,2011/2012,2011
Vitali Gudiev,Goalkeeper,1995-04-22,24,Russia,Akhmat Grozny,Premier Liga,2011/2012,2011
Aleksandr Sheplyakov,Goalkeeper,1996-08-13,22,Russia,Akhmat Grozny,Premier Liga,2011/2012,2011
Wílker Ángel,Centre-Back,1993-03-18,26,Venezuela,Akhmat Grozny,Premier Liga,2011/2012,2011
Andrey Semenov,Centre-Back,1989-03-24,30,Russia,Akhmat Grozny,Premier Liga,2011/2012,2011
Zoran Nizic,Centre-Back,1989-10-11,29,Croatia,Akhmat Grozny,Premier Liga,2011/2012,2011
Zaurbek Pliev,Centre-Back,1991-09-27,27,Russia,Akhmat Grozny,Premier Liga,2011/2012,2011
Rodolfo,Centre-Back,1982-10-23,36,Brazil,Akhmat Grozny,Premier Liga,2011/2012,2011
Milad Mohammadi,Left-Back,1993-09-29,25,Iran,Akhmat Grozny,Premier Liga,2011/2012,2011
Rizvan Utsiev,Right-Back,1988-02-07,31,Russia,Akhmat Grozny,Premier Liga,2011/2012,2011
Magomed Musalov,Right-Back,1994-02-09,25,Russia,Akhmat Grozny,Premier Liga,2011/2012,2011
Anton Shvets,Defensive Midfield,1993-04-26,26,Russia,Akhmat Grozny,Premier Liga,2011/2012,2011
Lechii Sadulaev,Defensive Midfield,2000-01-08,19,Russia,Akhmat Grozny,Premier Liga,2011/2012,2011
Ismael Silva,Central Midfield,1994-12-01,24,Brazil,Akhmat Grozny,Premier Liga,2011/2012,2011
Damian Szymanski,Central Midfield,1995-06-16,23,Poland,Akhmat Grozny,Premier Liga,2011/2012,2011
Mikhail Gashchenkov,Central Midfield,1992-06-19,26,Russia,Akhmat Grozny,Premier Liga,2011/2012,2011
Evgeni Kharin,Left Midfield,1995-06-11,24,Russia,Akhmat Grozny,Premier Liga,2011/2012,2011
Oleg Ivanov,Attacking Midfield,1986-08-04,32,Russia,Akhmat Grozny,Premier Liga,2011/2012,2011
