shirt_number,position,player_name,date_of_birth,age,nationality,club_name,league_name,season,year
1,Goalkeeper,"Jan 14, 1982 (29)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
31,Goalkeeper,"Jan 18, 1989 (22)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
NA,Goalkeeper,"Sep 14, 1989 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
13,Goalkeeper,"Nov 8, 1975 (35)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
3,Centre-Back,"Feb 2, 1987 (24)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
5,Centre-Back,"Apr 13, 1978 (33)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
24,Centre-Back,"Nov 14, 1989 (21)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
26,Centre-Back,"Mar 27, 1992 (19)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
32,Centre-Back,"Jan 15, 1991 (20)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
NA,Centre-Back,"Mar 28, 1992 (19)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
22,Left-Back,"Sep 11, 1979 (31)",NA,NA,France,FC Barcelona,LaLiga,2011/2012,2011
21,Left-Back,"Oct 26, 1984 (26)",NA,NA,Brazil,FC Barcelona,LaLiga,2011/2012,2011
19,Left-Back,"Aug 27, 1981 (29)",NA,NA,Brazil,FC Barcelona,LaLiga,2011/2012,2011
2,Right-Back,"May 6, 1983 (28)",NA,NA,Brazil,FC Barcelona,LaLiga,2011/2012,2011
NA,Right-Back,"Feb 2, 1991 (20)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
30,Right-Back,"Feb 7, 1992 (19)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
35,Right-Back,"Apr 14, 1991 (20)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
16,Defensive Midfield,"Jul 16, 1988 (22)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
14,Defensive Midfield,"Jun 8, 1984 (27)",NA,NA,Argentina,FC Barcelona,LaLiga,2011/2012,2011
8,Central Midfield,"May 11, 1984 (27)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
4,Central Midfield,"May 4, 1987 (24)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
6,Central Midfield,"Jan 25, 1980 (31)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
15,Central Midfield,"Jan 16, 1980 (31)",NA,NA,Mali,FC Barcelona,LaLiga,2011/2012,2011
11,Central Midfield,"Apr 11, 1991 (20)",NA,NA,Spain,FC Barcelona,LaLiga,2011/2012,2011
