player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Salvatore Sirigu,Goalkeeper,1987-01-12,24,Italy,Paris Saint-Germain,Ligue 1,2011/2012,2011
Nicolas Douchez,Goalkeeper,1980-04-22,31,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Alphonse Areola,Goalkeeper,1993-02-27,18,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Ronan Le Crom,Goalkeeper,1974-07-13,36,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Mamadou Sakho,Centre-Back,1990-02-13,21,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Alex,Centre-Back,1982-06-17,29,Brazil,Paris Saint-Germain,Ligue 1,2011/2012,2011
Diego Lugano,Centre-Back,1980-11-02,30,Uruguay,Paris Saint-Germain,Ligue 1,2011/2012,2011
Sylvain Armand,Centre-Back,1980-08-01,30,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Milan Bisevac,Centre-Back,1983-08-31,27,Serbia,Paris Saint-Germain,Ligue 1,2011/2012,2011
Zoumana Camara,Centre-Back,1979-04-03,32,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Loïck Landre,Centre-Back,1992-05-05,19,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Maxwell,Left-Back,1981-08-27,29,Brazil,Paris Saint-Germain,Ligue 1,2011/2012,2011
Siaka Tiéné,Left-Back,1982-02-22,29,Cote d'Ivoire,Paris Saint-Germain,Ligue 1,2011/2012,2011
Christophe Jallet,Right-Back,1983-10-31,27,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Ceará,Right-Back,1980-06-18,31,Brazil,Paris Saint-Germain,Ligue 1,2011/2012,2011
Alassane També,Right-Back,1992-01-26,19,Mali,Paris Saint-Germain,Ligue 1,2011/2012,2011
Thiago Motta,Defensive Midfield,1982-08-28,28,Italy,Paris Saint-Germain,Ligue 1,2011/2012,2011
Mohamed Sissoko,Defensive Midfield,1985-01-22,26,Mali,Paris Saint-Germain,Ligue 1,2011/2012,2011
Clément Chantôme,Defensive Midfield,1987-09-11,23,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Mathieu Bodmer,Defensive Midfield,1982-11-22,28,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Granddi N'Goyi,Defensive Midfield,1988-05-17,23,DR Congo,Paris Saint-Germain,Ligue 1,2011/2012,2011
Ousmane Baldé,Defensive Midfield,1989-12-30,21,Guinea,Paris Saint-Germain,Ligue 1,2011/2012,2011
Blaise Matuidi,Central Midfield,1987-04-09,24,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Javier Pastore,Attacking Midfield,1989-06-20,22,Argentina,Paris Saint-Germain,Ligue 1,2011/2012,2011
Nenê,Attacking Midfield,1981-07-19,29,Brazil,Paris Saint-Germain,Ligue 1,2011/2012,2011
Neeskens Kebano,Attacking Midfield,1992-03-10,19,DR Congo,Paris Saint-Germain,Ligue 1,2011/2012,2011
Jérémy Ménez,Second Striker,1987-05-07,24,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Kévin Gameiro,Centre-Forward,1987-05-09,24,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Guillaume Hoarau,Centre-Forward,1984-03-05,27,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Mevlüt Erdinc,Centre-Forward,1987-02-25,24,Turkey,Paris Saint-Germain,Ligue 1,2011/2012,2011
Péguy Luyindula,Centre-Forward,1979-05-25,32,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Jean-Eudes Maurice,Centre-Forward,1986-06-21,25,Haiti,Paris Saint-Germain,Ligue 1,2011/2012,2011
Loris Arnaud,Centre-Forward,1987-04-16,24,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Jean-Christophe Bahebeck,Centre-Forward,1993-05-01,18,France,Paris Saint-Germain,Ligue 1,2011/2012,2011
Kalifa Coulibaly,Centre-Forward,1991-08-21,19,Mali,Paris Saint-Germain,Ligue 1,2011/2012,2011
