player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Manuel Neuer,Goalkeeper,1986-03-27,25,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Hans Jörg Butt,Goalkeeper,1974-05-28,37,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Rouven Sattelmaier,Goalkeeper,1987-08-07,23,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Maximilian Riedmüller,Goalkeeper,1988-01-04,23,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Jérôme Boateng,Centre-Back,1988-09-03,22,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Holger Badstuber,Centre-Back,1989-03-13,22,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Breno,Centre-Back,1989-10-13,21,Brazil,Bayern Munich,Bundesliga,2011/2012,2011
Daniel Van Buyten,Centre-Back,1978-02-07,33,Belgium,Bayern Munich,Bundesliga,2011/2012,2011
Danijel Pranjic,Left-Back,1981-12-02,29,Croatia,Bayern Munich,Bundesliga,2011/2012,2011
David Alaba,Left-Back,1992-06-24,19,Austria,Bayern Munich,Bundesliga,2011/2012,2011
Diego Contento,Left-Back,1990-05-01,21,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Philipp Lahm,Right-Back,1983-11-11,27,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Rafinha,Right-Back,1985-09-07,25,Brazil,Bayern Munich,Bundesliga,2011/2012,2011
Luiz Gustavo,Defensive Midfield,1987-07-23,23,Brazil,Bayern Munich,Bundesliga,2011/2012,2011
Anatoliy Tymoshchuk,Defensive Midfield,1979-03-30,32,Ukraine,Bayern Munich,Bundesliga,2011/2012,2011
Emre Can,Defensive Midfield,1994-01-12,17,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Bastian Schweinsteiger,Central Midfield,1984-08-01,26,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Toni Kroos,Central Midfield,1990-01-04,21,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Franck Ribéry,Left Winger,1983-04-07,28,France,Bayern Munich,Bundesliga,2011/2012,2011
Takashi Usami,Left Winger,1992-05-06,19,Japan,Bayern Munich,Bundesliga,2011/2012,2011
Arjen Robben,Right Winger,1984-01-23,27,Netherlands,Bayern Munich,Bundesliga,2011/2012,2011
Thomas Müller,Second Striker,1989-09-13,21,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Mario Gómez,Centre-Forward,1985-07-10,25,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Ivica Olic,Centre-Forward,1979-09-14,31,Croatia,Bayern Munich,Bundesliga,2011/2012,2011
Nils Petersen,Centre-Forward,1988-12-06,22,Germany,Bayern Munich,Bundesliga,2011/2012,2011
Roman Weidenfeller,Goalkeeper,1980-08-06,30,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Mitchell Langerak,Goalkeeper,1988-08-22,22,Australia,Borussia Dortmund,Bundesliga,2011/2012,2011
Johannes Focher,Goalkeeper,1990-01-20,21,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Neven Subotic,Centre-Back,1988-12-10,22,Serbia,Borussia Dortmund,Bundesliga,2011/2012,2011
Mats Hummels,Centre-Back,1988-12-16,22,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Sven Bender,Centre-Back,1989-04-27,22,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Felipe Santana,Centre-Back,1986-03-17,25,Brazil,Borussia Dortmund,Bundesliga,2011/2012,2011
Marc Hornschuh,Centre-Back,1991-03-02,20,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Marcel Schmelzer,Left-Back,1988-01-22,23,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Chris Löwe,Left-Back,1989-04-16,22,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Kevin Großkreutz,Right-Back,1988-07-19,22,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Lukasz Piszczek,Right-Back,1985-06-03,26,Poland,Borussia Dortmund,Bundesliga,2011/2012,2011
Patrick Owomoyela,Right-Back,1979-11-05,31,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Sebastian Kehl,Defensive Midfield,1980-02-13,31,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Julian Koch,Defensive Midfield,1990-11-11,20,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Damien Le Tallec,Defensive Midfield,1990-04-19,21,France,Borussia Dortmund,Bundesliga,2011/2012,2011
Ilkay Gündogan,Central Midfield,1990-10-24,20,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Moritz Leitner,Central Midfield,1992-12-08,18,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Florian Kringe,Central Midfield,1982-08-18,28,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Mario Vrancic,Central Midfield,1989-05-23,22,Bosnia-Herzegovina,Borussia Dortmund,Bundesliga,2011/2012,2011
Marvin Bakalorz,Central Midfield,1989-09-13,21,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Mario Götze,Attacking Midfield,1992-06-03,19,Germany,Borussia Dortmund,Bundesliga,2011/2012,2011
Shinji Kagawa,Attacking Midfield,1989-03-17,22,Japan,Borussia Dortmund,Bundesliga,2011/2012,2011
Antônio da Silva,Attacking Midfield,1978-06-13,33,Brazil,Borussia Dortmund,Bundesliga,2011/2012,2011
Ivan Perisic,Left Winger,1989-02-02,22,Croatia,Borussia Dortmund,Bundesliga,2011/2012,2011
Jakub Blaszczykowski,Right Winger,1985-12-14,25,Poland,Borussia Dortmund,Bundesliga,2011/2012,2011
Mohamed Zidan,Second Striker,1981-12-11,29,Egypt,Borussia Dortmund,Bundesliga,2011/2012,2011
Lucas Barrios,Centre-Forward,1984-11-13,26,Paraguay,Borussia Dortmund,Bundesliga,2011/2012,2011
Robert Lewandowski,Centre-Forward,1988-08-21,22,Poland,Borussia Dortmund,Bundesliga,2011/2012,2011
Terrence Boyd,Centre-Forward,1991-02-16,20,United States,Borussia Dortmund,Bundesliga,2011/2012,2011
René Adler,Goalkeeper,1985-01-15,26,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
David Yelldell,Goalkeeper,1981-10-01,29,United States,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Bernd Leno,Goalkeeper,1992-03-04,19,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Fabian Giefer,Goalkeeper,1990-05-17,21,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Vedran Corluka,Centre-Back,1986-02-05,25,Croatia,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Daniel Schwaab,Centre-Back,1988-08-23,22,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Ömer Toprak,Centre-Back,1989-07-21,21,Turkey,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Manuel Friedrich,Centre-Back,1979-09-13,31,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Michal Kadlec,Left-Back,1984-12-13,26,Czech Republic,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Bastian Oczipka,Left-Back,1989-01-12,22,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Danny da Costa,Right-Back,1993-07-13,17,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Stefan Reinartz,Defensive Midfield,1989-01-01,22,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Simon Rolfes,Defensive Midfield,1982-01-21,29,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Lars Bender,Defensive Midfield,1989-04-27,22,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Hanno Balitsch,Defensive Midfield,1981-01-02,30,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Renato Augusto,Central Midfield,1988-02-08,23,Brazil,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Gonzalo Castro,Central Midfield,1987-06-11,24,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
Michael Ballack,Central Midfield,1976-09-26,34,Germany,Bayer 04 Leverkusen,Bundesliga,2011/2012,2011
