player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Helton,Goalkeeper,1978-05-18,33,Brazil,FC Porto,Liga NOS,2011/2012,2011
Rafael Bracali,Goalkeeper,1981-05-05,30,Brazil,FC Porto,Liga NOS,2011/2012,2011
Kadú,Goalkeeper,1994-11-30,16,Angola,FC Porto,Liga NOS,2011/2012,2011
Rolando,Centre-Back,1985-08-31,25,Portugal,FC Porto,Liga NOS,2011/2012,2011
Nicolás Otamendi,Centre-Back,1988-02-12,23,Argentina,FC Porto,Liga NOS,2011/2012,2011
Cristian Sapunaru,Centre-Back,1984-04-05,27,Romania,FC Porto,Liga NOS,2011/2012,2011
Eliaquim Mangala,Centre-Back,1991-02-13,20,France,FC Porto,Liga NOS,2011/2012,2011
Maicon,Centre-Back,1988-09-14,22,Brazil,FC Porto,Liga NOS,2011/2012,2011
Henrique Sereno,Centre-Back,1985-05-18,26,Portugal,FC Porto,Liga NOS,2011/2012,2011
Tiago Ferreira,Centre-Back,1993-07-10,17,Portugal,FC Porto,Liga NOS,2011/2012,2011
Álvaro Pereira,Left-Back,1985-11-28,25,Uruguay,FC Porto,Liga NOS,2011/2012,2011
Alex Sandro,Left-Back,1991-01-26,20,Brazil,FC Porto,Liga NOS,2011/2012,2011
Emídio Rafael,Left-Back,1986-01-24,25,Portugal,FC Porto,Liga NOS,2011/2012,2011
Jorge Fucile,Right-Back,1984-11-19,26,Uruguay,FC Porto,Liga NOS,2011/2012,2011
Danilo,Right-Back,1991-07-15,19,Brazil,FC Porto,Liga NOS,2011/2012,2011
Thibaut Vion,Right-Back,1993-12-11,17,France,FC Porto,Liga NOS,2011/2012,2011
Fernando,Defensive Midfield,1987-07-25,23,Brazil,FC Porto,Liga NOS,2011/2012,2011
Josef,Defensive Midfield,1989-02-11,22,Brazil,FC Porto,Liga NOS,2011/2012,2011
Mikel Agu,Defensive Midfield,1993-05-27,18,Nigeria,FC Porto,Liga NOS,2011/2012,2011
Tomás Podstawski,Defensive Midfield,1995-01-30,16,Portugal,FC Porto,Liga NOS,2011/2012,2011
João Moutinho,Central Midfield,1986-09-08,24,Portugal,FC Porto,Liga NOS,2011/2012,2011
Lucho González,Central Midfield,1981-01-19,30,Argentina,FC Porto,Liga NOS,2011/2012,2011
Steven Defour,Central Midfield,1988-04-15,23,Belgium,FC Porto,Liga NOS,2011/2012,2011
Fredy Guarín,Central Midfield,1986-06-30,25,Colombia,FC Porto,Liga NOS,2011/2012,2011
Cristian Rodríguez,Central Midfield,1985-09-30,25,Uruguay,FC Porto,Liga NOS,2011/2012,2011
Fernando Belluschi,Attacking Midfield,1983-09-10,27,Argentina,FC Porto,Liga NOS,2011/2012,2011
James Rodríguez,Attacking Midfield,1991-07-12,19,Colombia,FC Porto,Liga NOS,2011/2012,2011
Rúben Micael,Attacking Midfield,1986-08-19,24,Portugal,FC Porto,Liga NOS,2011/2012,2011
Silvestre Varela,Left Winger,1985-02-02,26,Portugal,FC Porto,Liga NOS,2011/2012,2011
Hulk,Right Winger,1986-07-25,24,Brazil,FC Porto,Liga NOS,2011/2012,2011
Djalma,Right Winger,1987-05-30,24,Angola,FC Porto,Liga NOS,2011/2012,2011
Juan Iturbe,Right Winger,1993-06-04,18,Paraguay,FC Porto,Liga NOS,2011/2012,2011
Falcao,Centre-Forward,1986-02-10,25,Colombia,FC Porto,Liga NOS,2011/2012,2011
Marc Janko,Centre-Forward,1983-06-25,28,Austria,FC Porto,Liga NOS,2011/2012,2011
Walter,Centre-Forward,1989-07-22,21,Brazil,FC Porto,Liga NOS,2011/2012,2011
Kléber,Centre-Forward,1990-05-02,21,Brazil,FC Porto,Liga NOS,2011/2012,2011
Eduardo,Goalkeeper,1982-09-19,28,Portugal,SL Benfica,Liga NOS,2011/2012,2011
Artur Moraes,Goalkeeper,1981-01-25,30,Brazil,SL Benfica,Liga NOS,2011/2012,2011
Mika,Goalkeeper,1991-03-08,20,Portugal,SL Benfica,Liga NOS,2011/2012,2011
Bruno Varela,Goalkeeper,1994-11-04,16,Portugal,SL Benfica,Liga NOS,2011/2012,2011
Ezequiel Garay,Centre-Back,1986-10-10,24,Argentina,SL Benfica,Liga NOS,2011/2012,2011
Luisão,Centre-Back,1981-02-13,30,Brazil,SL Benfica,Liga NOS,2011/2012,2011
Jardel,Centre-Back,1986-03-29,25,Brazil,SL Benfica,Liga NOS,2011/2012,2011
Miguel Vítor,Centre-Back,1989-06-30,22,Portugal,SL Benfica,Liga NOS,2011/2012,2011
Fábio Faria,Centre-Back,1989-04-24,22,Portugal,SL Benfica,Liga NOS,2011/2012,2011
Joan Capdevila,Left-Back,1978-02-03,33,Spain,SL Benfica,Liga NOS,2011/2012,2011
Émerson Conceição,Left-Back,1986-02-23,25,Brazil,SL Benfica,Liga NOS,2011/2012,2011
Luís Martins,Left-Back,1992-06-10,19,Portugal,SL Benfica,Liga NOS,2011/2012,2011
Maxi Pereira,Right-Back,1984-06-08,27,Uruguay,SL Benfica,Liga NOS,2011/2012,2011
André Almeida,Right-Back,1990-09-10,20,Portugal,SL Benfica,Liga NOS,2011/2012,2011
Axel Witsel,Defensive Midfield,1989-01-12,22,Belgium,SL Benfica,Liga NOS,2011/2012,2011
Javi García,Defensive Midfield,1987-02-08,24,Spain,SL Benfica,Liga NOS,2011/2012,2011
Nemanja Matic,Defensive Midfield,1988-08-01,22,Serbia,SL Benfica,Liga NOS,2011/2012,2011
Rúben Pinto,Defensive Midfield,1992-04-24,19,Portugal,SL Benfica,Liga NOS,2011/2012,2011
Rúben Amorim,Central Midfield,1985-01-27,26,Portugal,SL Benfica,Liga NOS,2011/2012,2011
Enzo Pérez,Central Midfield,1986-02-22,25,Argentina,SL Benfica,Liga NOS,2011/2012,2011
David Simão,Central Midfield,1990-05-15,21,Portugal,SL Benfica,Liga NOS,2011/2012,2011
