player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Wojciech Szczesny,Goalkeeper,1990-04-18,30,Poland,Juventus FC,Serie A,2020/2021,2020
Stefano Gori,Goalkeeper,1996-03-09,24,Italy,Juventus FC,Serie A,2020/2021,2020
Gianluigi Buffon,Goalkeeper,1978-01-28,42,Italy,Juventus FC,Serie A,2020/2021,2020
Carlo Pinsoglio,Goalkeeper,1990-03-16,30,Italy,Juventus FC,Serie A,2020/2021,2020
Matthijs de Ligt,Centre-Back,1999-08-12,21,Netherlands,Juventus FC,Serie A,2020/2021,2020
Merih Demiral,Centre-Back,1998-03-05,22,Turkey,Juventus FC,Serie A,2020/2021,2020
Leonardo Bonucci,Centre-Back,1987-05-01,33,Italy,Juventus FC,Serie A,2020/2021,2020
Giorgio Chiellini,Centre-Back,1984-08-14,36,Italy,Juventus FC,Serie A,2020/2021,2020
Alex Sandro,Left-Back,1991-01-26,29,Brazil,Juventus FC,Serie A,2020/2021,2020
Gianluca Frabotta,Left-Back,1999-06-24,21,Italy,Juventus FC,Serie A,2020/2021,2020
Danilo,Right-Back,1991-07-15,29,Brazil,Juventus FC,Serie A,2020/2021,2020
Juan Cuadrado,Right-Back,1988-05-26,32,Colombia,Juventus FC,Serie A,2020/2021,2020
Arthur,Central Midfield,1996-08-12,24,Brazil,Juventus FC,Serie A,2020/2021,2020
Rodrigo Bentancur,Central Midfield,1997-06-25,23,Uruguay,Juventus FC,Serie A,2020/2021,2020
Adrien Rabiot,Central Midfield,1995-04-03,25,France,Juventus FC,Serie A,2020/2021,2020
Aaron Ramsey,Central Midfield,1990-12-26,29,Wales,Juventus FC,Serie A,2020/2021,2020
Weston McKennie,Central Midfield,1998-08-28,22,United States,Juventus FC,Serie A,2020/2021,2020
Sami Khedira,Central Midfield,1987-04-04,33,Germany,Juventus FC,Serie A,2020/2021,2020
Cristiano Ronaldo,Left Winger,1985-02-05,35,Portugal,Juventus FC,Serie A,2020/2021,2020
Federico Chiesa,Right Winger,1997-10-25,23,Italy,Juventus FC,Serie A,2020/2021,2020
Dejan Kulusevski,Right Winger,2000-04-25,20,Sweden,Juventus FC,Serie A,2020/2021,2020
Federico Bernardeschi,Right Winger,1994-02-16,26,Italy,Juventus FC,Serie A,2020/2021,2020
Paulo Dybala,Second Striker,1993-11-15,26,Argentina,Juventus FC,Serie A,2020/2021,2020
Álvaro Morata,Centre-Forward,1992-10-23,28,Spain,Juventus FC,Serie A,2020/2021,2020
Ionut Radu,Goalkeeper,1997-05-28,23,Romania,Inter Milan,Serie A,2020/2021,2020
Samir Handanovic,Goalkeeper,1984-07-14,36,Slovenia,Inter Milan,Serie A,2020/2021,2020
Daniele Padelli,Goalkeeper,1985-10-25,35,Italy,Inter Milan,Serie A,2020/2021,2020
Filip Stankovic,Goalkeeper,2002-02-25,18,Serbia,Inter Milan,Serie A,2020/2021,2020
Stefan de Vrij,Centre-Back,1992-02-05,28,Netherlands,Inter Milan,Serie A,2020/2021,2020
Milan Skriniar,Centre-Back,1995-02-11,25,Slovakia,Inter Milan,Serie A,2020/2021,2020
Alessandro Bastoni,Centre-Back,1999-04-13,21,Italy,Inter Milan,Serie A,2020/2021,2020
Andrea Ranocchia,Centre-Back,1988-02-16,32,Italy,Inter Milan,Serie A,2020/2021,2020
Aleksandar Kolarov,Left-Back,1985-11-10,34,Serbia,Inter Milan,Serie A,2020/2021,2020
Danilo D'Ambrosio,Right-Back,1988-09-09,32,Italy,Inter Milan,Serie A,2020/2021,2020
Matteo Darmian,Right-Back,1989-12-02,30,Italy,Inter Milan,Serie A,2020/2021,2020
Marcelo Brozovic,Defensive Midfield,1992-11-16,27,Croatia,Inter Milan,Serie A,2020/2021,2020
Nicolò Barella,Central Midfield,1997-02-07,23,Italy,Inter Milan,Serie A,2020/2021,2020
Stefano Sensi,Central Midfield,1995-08-05,25,Italy,Inter Milan,Serie A,2020/2021,2020
Matías Vecino,Central Midfield,1991-08-24,29,Uruguay,Inter Milan,Serie A,2020/2021,2020
Roberto Gagliardini,Central Midfield,1994-04-07,26,Italy,Inter Milan,Serie A,2020/2021,2020
Arturo Vidal,Central Midfield,1987-05-22,33,Chile,Inter Milan,Serie A,2020/2021,2020
Achraf Hakimi,Right Midfield,1998-11-04,22,Morocco,Inter Milan,Serie A,2020/2021,2020
Ashley Young,Left Midfield,1985-07-09,35,England,Inter Milan,Serie A,2020/2021,2020
