player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
André Onana,Goalkeeper,1996-04-02,24,Cameroon,Ajax Amsterdam,Eredivisie,2020/2021,2020
Kjell Scherpen,Goalkeeper,2000-01-23,20,Netherlands,Ajax Amsterdam,Eredivisie,2020/2021,2020
Dominik Kotarski,Goalkeeper,2000-02-10,20,Croatia,Ajax Amsterdam,Eredivisie,2020/2021,2020
Maarten Stekelenburg,Goalkeeper,1982-09-22,38,Netherlands,Ajax Amsterdam,Eredivisie,2020/2021,2020
Daley Blind,Centre-Back,1990-03-09,30,Netherlands,Ajax Amsterdam,Eredivisie,2020/2021,2020
Lisandro Martínez,Centre-Back,1998-01-18,22,Argentina,Ajax Amsterdam,Eredivisie,2020/2021,2020
Perr Schuurs,Centre-Back,1999-11-26,20,Netherlands,Ajax Amsterdam,Eredivisie,2020/2021,2020
Jurrien Timber,Centre-Back,2001-06-17,19,Netherlands,Ajax Amsterdam,Eredivisie,2020/2021,2020
Nicolás Tagliafico,Left-Back,1992-08-31,28,Argentina,Ajax Amsterdam,Eredivisie,2020/2021,2020
Noussair Mazraoui,Right-Back,1997-11-14,22,Morocco,Ajax Amsterdam,Eredivisie,2020/2021,2020
Sean Klaiber,Right-Back,1994-07-31,26,Netherlands,Ajax Amsterdam,Eredivisie,2020/2021,2020
Edson Álvarez,Defensive Midfield,1997-10-24,23,Mexico,Ajax Amsterdam,Eredivisie,2020/2021,2020
Davy Klaassen,Central Midfield,1993-02-21,27,Netherlands,Ajax Amsterdam,Eredivisie,2020/2021,2020
Ryan Gravenberch,Central Midfield,2002-05-16,18,Netherlands,Ajax Amsterdam,Eredivisie,2020/2021,2020
Mohammed Kudus,Attacking Midfield,2000-08-02,20,Ghana,Ajax Amsterdam,Eredivisie,2020/2021,2020
Jurgen Ekkelenkamp,Attacking Midfield,2000-04-05,20,Netherlands,Ajax Amsterdam,Eredivisie,2020/2021,2020
Zakaria Labyad,Attacking Midfield,1993-03-09,27,Morocco,Ajax Amsterdam,Eredivisie,2020/2021,2020
Dusan Tadic,Left Winger,1988-11-20,31,Serbia,Ajax Amsterdam,Eredivisie,2020/2021,2020
Quincy Promes,Left Winger,1992-01-04,28,Netherlands,Ajax Amsterdam,Eredivisie,2020/2021,2020
Hassane Bandé,Left Winger,1998-10-30,22,Burkina Faso,Ajax Amsterdam,Eredivisie,2020/2021,2020
David Neres,Right Winger,1997-03-03,23,Brazil,Ajax Amsterdam,Eredivisie,2020/2021,2020
Antony,Right Winger,2000-02-24,20,Brazil,Ajax Amsterdam,Eredivisie,2020/2021,2020
Lassina Traoré,Centre-Forward,2001-01-12,19,Burkina Faso,Ajax Amsterdam,Eredivisie,2020/2021,2020
Klaas-Jan Huntelaar,Centre-Forward,1983-08-12,37,Netherlands,Ajax Amsterdam,Eredivisie,2020/2021,2020
Yvon Mvogo,Goalkeeper,1994-06-06,26,Switzerland,PSV Eindhoven,Eredivisie,2020/2021,2020
Lars Unnerstall,Goalkeeper,1990-07-20,30,Germany,PSV Eindhoven,Eredivisie,2020/2021,2020
Vincent Müller,Goalkeeper,2000-08-23,20,Germany,PSV Eindhoven,Eredivisie,2020/2021,2020
Maxime Delanghe,Goalkeeper,2001-05-23,19,Belgium,PSV Eindhoven,Eredivisie,2020/2021,2020
Timo Baumgartl,Centre-Back,1996-03-04,24,Germany,PSV Eindhoven,Eredivisie,2020/2021,2020
Nick Viergever,Centre-Back,1989-08-03,31,Netherlands,PSV Eindhoven,Eredivisie,2020/2021,2020
Olivier Boscagli,Centre-Back,1997-11-18,22,France,PSV Eindhoven,Eredivisie,2020/2021,2020
