shirt_number,position,name,date_of_birth,age,nationality,club_name,league_name
31,Keeper,Ederson,1993-08-17,24,Brazil,Man City,Premier League
1,Keeper,Claudio Bravo,1983-04-13,34,Chile,Man City,Premier League
5,Centre-Back,John Stones,1994-05-28,23,England,Man City,Premier League
30,Centre-Back,Nicolás Otamendi,1988-02-12,29,Argentina,Man City,Premier League
15,Centre-Back,Eliaquim Mangala,1991-02-13,26,France,Man City,Premier League
4,Centre-Back,Vincent Kompany,1986-04-10,31,Belgium,Man City,Premier League
22,Left-Back,Benjamin Mendy,1994-07-17,23,France,Man City,Premier League
2,Right-Back,Kyle Walker,1990-05-28,27,England,Man City,Premier League
3,Right-Back,Danilo,1991-07-15,26,Brazil,Man City,Premier League
25,Defensive Midfield,Fernandinho,1985-05-04,32,Brazil,Man City,Premier League
8,Central Midfield,Ilkay Gündogan,1990-10-24,27,Germany,Man City,Premier League
18,Central Midfield,Fabian Delph,1989-11-21,28,England,Man City,Premier League
42,Central Midfield,Yaya Touré,1983-05-13,34,Cote d'Ivoire,Man City,Premier League
17,Attacking Midfield,Kevin De Bruyne,1991-06-28,26,Belgium,Man City,Premier League
21,Attacking Midfield,David Silva,1986-01-08,32,Spain,Man City,Premier League
35,Attacking Midfield,Oleksandr Zinchenko,1996-12-15,21,Ukraine,Man City,Premier League
19,Left Wing,Leroy Sané,1996-01-11,21,Germany,Man City,Premier League
7,Right Wing,Raheem Sterling,1994-12-08,23,England,Man City,Premier League
20,Right Wing,Bernardo Silva,1994-08-10,23,Portugal,Man City,Premier League
10,Centre-Forward,Sergio Agüero,1988-06-02,29,Argentina,Man City,Premier League
33,Centre-Forward,Gabriel Jesus,1997-04-03,20,Brazil,Man City,Premier League
13,Keeper,Thibaut Courtois,1992-05-11,25,Belgium,Chelsea,Premier League
1,Keeper,Willy Caballero,1981-09-28,36,Argentina,Chelsea,Premier League
37,Keeper,Eduardo,1982-09-19,35,Portugal,Chelsea,Premier League
NA,Keeper,Matej Delac,1992-08-20,25,Croatia,Chelsea,Premier League
2,Centre-Back,Antonio Rüdiger,1993-03-03,24,Germany,Chelsea,Premier League
27,Centre-Back,Andreas Christensen,1996-04-10,21,Denmark,Chelsea,Premier League
30,Centre-Back,David Luiz,1987-04-22,30,Brazil,Chelsea,Premier League
24,Centre-Back,Gary Cahill,1985-12-19,32,England,Chelsea,Premier League
3,Left-Back,Marcos Alonso,1990-12-28,27,Spain,Chelsea,Premier League
NA,Left-Back,Abdul Rahman Baba,1994-07-02,23,Ghana,Chelsea,Premier League
16,Left-Back,Kenedy,1996-02-08,21,Brazil,Chelsea,Premier League
28,Right-Back,César Azpilicueta,1989-08-28,28,Spain,Chelsea,Premier League
21,Right-Back,Davide Zappacosta,1992-06-11,25,Italy,Chelsea,Premier League
NA,Right-Back,Wallace Oliveira,1994-05-01,23,Brazil,Chelsea,Premier League
7,Defensive Midfield,N'Golo Kanté,1991-03-29,26,France,Chelsea,Premier League
14,Defensive Midfield,Tiemoué Bakayoko,1994-08-17,23,France,Chelsea,Premier League
4,Central Midfield,Cesc Fàbregas,1987-05-04,30,Spain,Chelsea,Premier League
6,Central Midfield,Danny Drinkwater,1990-03-05,27,England,Chelsea,Premier League
8,Attacking Midfield,Ross Barkley,1993-12-05,24,England,Chelsea,Premier League
17,Attacking Midfield,Charly Musonda Jr.,1996-10-15,21,Belgium,Chelsea,Premier League
10,Left Wing,Eden Hazard,1991-01-07,27,Belgium,Chelsea,Premier League
11,Left Wing,Pedro,1987-07-28,30,Spain,Chelsea,Premier League
22,Right Wing,Willian,1988-08-09,29,Brazil,Chelsea,Premier League
15,Right Wing,Victor Moses,1990-12-12,27,Nigeria,Chelsea,Premier League
9,Centre-Forward,Álvaro Morata,1992-10-23,25,Spain,Chelsea,Premier League
23,Centre-Forward,Michy Batshuayi,1993-10-02,24,Belgium,Chelsea,Premier League
1,Keeper,David de Gea,1990-11-07,27,Spain,Man Utd,Premier League
20,Keeper,Sergio Romero,1987-02-22,30,Argentina,Man Utd,Premier League
40,Keeper,Joel Pereira,1996-06-28,21,Portugal,Man Utd,Premier League
3,Centre-Back,Eric Bailly,1994-04-12,23,Cote d'Ivoire,Man Utd,Premier League
2,Centre-Back,Victor Lindelöf,1994-07-17,23,Sweden,Man Utd,Premier League
4,Centre-Back,Phil Jones,1992-02-21,25,England,Man Utd,Premier League
5,Centre-Back,Marcos Rojo,1990-03-20,27,Argentina,Man Utd,Premier League
12,Centre-Back,Chris Smalling,1989-11-22,28,England,Man Utd,Premier League
17,Left-Back,Daley Blind,1990-03-09,27,Netherlands,Man Utd,Premier League
23,Left-Back,Luke Shaw,1995-07-12,22,England,Man Utd,Premier League
36,Right-Back,Matteo Darmian,1989-12-02,28,Italy,Man Utd,Premier League
25,Right-Back,Antonio Valencia,1985-08-04,32,Ecuador,Man Utd,Premier League
31,Defensive Midfield,Nemanja Matic,1988-08-01,29,Serbia,Man Utd,Premier League
16,Defensive Midfield,Michael Carrick,1981-07-28,36,England,Man Utd,Premier League
6,Central Midfield,Paul Pogba,1993-03-15,24,France,Man Utd,Premier League
21,Central Midfield,Ander Herrera,1989-08-14,28,Spain,Man Utd,Premier League
27,Central Midfield,Marouane Fellaini,1987-11-22,30,Belgium,Man Utd,Premier League
18,Left Midfield,Ashley Young,1985-07-09,32,England,Man Utd,Premier League
22,Attacking Midfield,Henrikh Mkhitaryan,1989-01-21,28,Armenia,Man Utd,Premier League
8,Attacking Midfield,Juan Mata,1988-04-28,29,Spain,Man Utd,Premier League
39,Attacking Midfield,Scott McTominay,1996-12-08,21,Scotland,Man Utd,Premier League
11,Left Wing,Anthony Martial,1995-12-05,22,France,Man Utd,Premier League
14,Left Wing,Jesse Lingard,1992-12-15,25,England,Man Utd,Premier League
9,Centre-Forward,Romelu Lukaku,1993-05-13,24,Belgium,Man Utd,Premier League
19,Centre-Forward,Marcus Rashford,1997-10-31,20,England,Man Utd,Premier League
10,Centre-Forward,Zlatan Ibrahimovic,1981-10-03,36,Sweden,Man Utd,Premier League
1,Keeper,Hugo Lloris,1986-12-26,31,France,Spurs,Premier League
13,Keeper,Michel Vorm,1983-10-20,34,Netherlands,Spurs,Premier League
22,Keeper,Paulo Gazzaniga,1992-01-02,26,Argentina,Spurs,Premier League
4,Centre-Back,Toby Alderweireld,1989-03-02,28,Belgium,Spurs,Premier League
6,Centre-Back,Davinson Sánchez,1996-06-12,21,Colombia,Spurs,Premier League
5,Centre-Back,Jan Vertonghen,1987-04-24,30,Belgium,Spurs,Premier League
21,Centre-Back,Juan Foyth,1998-01-12,19,Argentina,Spurs,Premier League
3,Left-Back,Danny Rose,1990-07-02,27,England,Spurs,Premier League
33,Left-Back,Ben Davies,1993-04-24,24,Wales,Spurs,Premier League
24,Right-Back,Serge Aurier,1992-12-24,25,Cote d'Ivoire,Spurs,Premier League
2,Right-Back,Kieran Trippier,1990-09-19,27,England,Spurs,Premier League
37,Right-Back,Kyle Walker-Peters,1997-04-13,20,England,Spurs,Premier League
15,Defensive Midfield,Eric Dier,1994-01-15,23,England,Spurs,Premier League
12,Defensive Midfield,Victor Wanyama,1991-06-25,26,Kenya,Spurs,Premier League
17,Central Midfield,Moussa Sissoko,1989-08-16,28,France,Spurs,Premier League
19,Central Midfield,Mousa Dembélé,1987-07-16,30,Belgium,Spurs,Premier League
29,Central Midfield,Harry Winks,1996-02-02,21,England,Spurs,Premier League
20,Attacking Midfield,Dele Alli,1996-04-11,21,England,Spurs,Premier League
23,Attacking Midfield,Christian Eriksen,1992-02-14,25,Denmark,Spurs,Premier League
7,Left Wing,Heung-Min Son,1992-07-08,25,"Korea, South",Spurs,Premier League
11,Right Wing,Érik Lamela,1992-03-04,25,Argentina,Spurs,Premier League
10,Centre-Forward,Harry Kane,1993-07-28,24,England,Spurs,Premier League
18,Centre-Forward,Fernando Llorente,1985-02-26,32,Spain,Spurs,Premier League
22,Keeper,Simon Mignolet,1988-03-06,29,Belgium,Liverpool,Premier League
1,Keeper,Loris Karius,1993-06-22,24,Germany,Liverpool,Premier League
52,Keeper,Danny Ward,1993-06-22,24,Wales,Liverpool,Premier League
34,Keeper,Ádám Bogdán,1987-09-27,30,Hungary,Liverpool,Premier League
4,Centre-Back,Virgil van Dijk,1991-07-08,26,Netherlands,Liverpool,Premier League
32,Centre-Back,Joel Matip,1991-08-08,26,Cameroon,Liverpool,Premier League
12,Centre-Back,Joe Gomez,1997-05-23,20,England,Liverpool,Premier League
6,Centre-Back,Dejan Lovren,1989-07-05,28,Croatia,Liverpool,Premier League
17,Centre-Back,Ragnar Klavan,1985-10-30,32,Estonia,Liverpool,Premier League
18,Left-Back,Alberto Moreno,1992-07-05,25,Spain,Liverpool,Premier League
26,Left-Back,Andrew Robertson,1994-03-11,23,Scotland,Liverpool,Premier League
2,Right-Back,Nathaniel Clyne,1991-04-05,26,England,Liverpool,Premier League
66,Right-Back,Trent Alexander-Arnold,1998-10-07,19,England,Liverpool,Premier League
38,Right-Back,Jon Flanagan,1993-01-01,25,England,Liverpool,Premier League
23,Defensive Midfield,Emre Can,1994-01-12,23,Germany,Liverpool,Premier League
5,Central Midfield,Georginio Wijnaldum,1990-11-11,27,Netherlands,Liverpool,Premier League
14,Central Midfield,Jordan Henderson,1990-06-17,27,England,Liverpool,Premier League
7,Central Midfield,James Milner,1986-01-04,32,England,Liverpool,Premier League
16,Central Midfield,Marko Grujic,1996-04-13,21,Serbia,Liverpool,Premier League
21,Right Midfield,Alex Oxlade-Chamberlain,1993-08-15,24,England,Liverpool,Premier League
20,Attacking Midfield,Adam Lallana,1988-05-10,29,England,Liverpool,Premier League
19,Left Wing,Sadio Mané,1992-04-10,25,Senegal,Liverpool,Premier League
58,Left Wing,Ben Woodburn,1999-10-15,18,Wales,Liverpool,Premier League
11,Right Wing,Mohamed Salah,1992-06-15,25,Egypt,Liverpool,Premier League
50,Right Wing,Lazar Markovic,1994-03-02,23,Serbia,Liverpool,Premier League
9,Secondary Striker,Roberto Firmino,1991-10-02,26,Brazil,Liverpool,Premier League
15,Centre-Forward,Daniel Sturridge,1989-09-01,28,England,Liverpool,Premier League
28,Centre-Forward,Danny Ings,1992-07-23,25,England,Liverpool,Premier League
29,Centre-Forward,Dominic Solanke,1997-09-14,20,England,Liverpool,Premier League
33,Keeper,Petr Cech,1982-05-20,35,Czech Republic,Arsenal,Premier League
13,Keeper,David Ospina,1988-08-31,29,Colombia,Arsenal,Premier League
54,Keeper,Matt Macey,1994-09-09,23,England,Arsenal,Premier League
20,Centre-Back,Shkodran Mustafi,1992-04-17,25,Germany,Arsenal,Premier League
6,Centre-Back,Laurent Koscielny,1985-09-10,32,France,Arsenal,Premier League
16,Centre-Back,Rob Holding,1995-09-20,22,England,Arsenal,Premier League
4,Centre-Back,Per Mertesacker,1984-09-29,33,Germany,Arsenal,Premier League
27,Centre-Back,Konstantinos Mavropanos,1997-12-11,20,Greece,Arsenal,Premier League
31,Left-Back,Sead Kolasinac,1993-06-20,24,Bosnia-Herzegovina,Arsenal,Premier League
18,Left-Back,Nacho Monreal,1986-02-26,31,Spain,Arsenal,Premier League
24,Right-Back,Héctor Bellerín,1995-03-19,22,Spain,Arsenal,Premier League
21,Right-Back,Calum Chambers,1995-01-20,22,England,Arsenal,Premier League
2,Right-Back,Mathieu Debuchy,1985-07-28,32,France,Arsenal,Premier League
29,Defensive Midfield,Granit Xhaka,1992-09-27,25,Switzerland,Arsenal,Premier League
34,Defensive Midfield,Francis Coquelin,1991-05-13,26,France,Arsenal,Premier League
35,Defensive Midfield,Mohamed Elneny,1992-07-11,25,Egypt,Arsenal,Premier League
8,Central Midfield,Aaron Ramsey,1990-12-26,27,Wales,Arsenal,Premier League
10,Central Midfield,Jack Wilshere,1992-01-01,26,England,Arsenal,Premier League
19,Central Midfield,Santi Cazorla,1984-12-13,33,Spain,Arsenal,Premier League
30,Right Midfield,Ainsley Maitland-Niles,1997-08-29,20,England,Arsenal,Premier League
11,Attacking Midfield,Mesut Özil,1988-10-15,29,Germany,Arsenal,Premier League
7,Left Wing,Alexis Sánchez,1988-12-19,29,Chile,Arsenal,Premier League
17,Left Wing,Alex Iwobi,1996-05-03,21,Nigeria,Arsenal,Premier League
14,Right Wing,Theo Walcott,1989-03-16,28,England,Arsenal,Premier League
9,Centre-Forward,Alexandre Lacazette,1991-05-28,26,France,Arsenal,Premier League
12,Centre-Forward,Olivier Giroud,1986-09-30,31,France,Arsenal,Premier League
23,Centre-Forward,Danny Welbeck,1990-11-26,27,England,Arsenal,Premier League
32,Centre-Forward,Chuba Akpom,1995-10-09,22,England,Arsenal,Premier League
1,Keeper,Jordan Pickford,1994-03-07,23,England,Everton,Premier League
33,Keeper,Joel Robles,1990-06-17,27,Spain,Everton,Premier League
22,Keeper,Maarten Stekelenburg,1982-09-22,35,Netherlands,Everton,Premier League
4,Centre-Back,Michael Keane,1993-01-11,24,England,Everton,Premier League
25,Centre-Back,Ramiro Funes Mori,1991-03-05,26,Argentina,Everton,Premier League
5,Centre-Back,Ashley Williams,1984-08-23,33,Wales,Everton,Premier League
30,Centre-Back,Mason Holgate,1996-10-22,21,England,Everton,Premier League
6,Centre-Back,Phil Jagielka,1982-08-17,35,England,Everton,Premier League
3,Left-Back,Leighton Baines,1984-12-11,33,England,Everton,Premier League
36,Left-Back,Luke Garbutt,1993-05-21,24,England,Everton,Premier League
23,Right-Back,Seamus Coleman,1988-10-11,29,Ireland,Everton,Premier League
43,Right-Back,Jonjoe Kenny,1997-03-15,20,England,Everton,Premier League
15,Right-Back,Cuco Martina,1989-09-25,28,Curacao,Everton,Premier League
2,Defensive Midfield,Morgan Schneiderlin,1989-11-08,28,France,Everton,Premier League
21,Defensive Midfield,Muhamed Besic,1992-09-10,25,Bosnia-Herzegovina,Everton,Premier League
17,Central Midfield,Idrissa Gueye,1989-09-26,28,Senegal,Everton,Premier League
26,Central Midfield,Tom Davies,1998-06-30,19,England,Everton,Premier League
16,Central Midfield,James McCarthy,1990-11-12,27,Ireland,Everton,Premier League
NA,Central Midfield,Conor Grant,1995-04-18,22,England,Everton,Premier League
18,Attacking Midfield,Gylfi Sigurdsson,1989-09-08,28,Iceland,Everton,Premier League
20,Attacking Midfield,Davy Klaassen,1993-02-21,24,Netherlands,Everton,Premier League
27,Attacking Midfield,Nikola Vlasic,1997-10-04,20,Croatia,Everton,Premier League
7,Left Wing,Yannick Bolasie,1989-05-24,28,DR Congo,Everton,Premier League
31,Left Wing,Ademola Lookman,1997-10-20,20,England,Everton,Premier League
12,Right Wing,Aaron Lennon,1987-04-16,30,England,Everton,Premier League
10,Secondary Striker,Wayne Rooney,1985-10-24,32,England,Everton,Premier League
NA,Secondary Striker,Shani Tarashaj,1995-02-07,22,Switzerland,Everton,Premier League
14,Centre-Forward,Cenk Tosun,1991-06-07,26,Turkey,Everton,Premier League
29,Centre-Forward,Dominic Calvert-Lewin,1997-03-16,20,England,Everton,Premier League
9,Centre-Forward,Sandro Ramírez,1995-07-09,22,Spain,Everton,Premier League
19,Centre-Forward,Oumar Niasse,1990-04-18,27,Senegal,Everton,Premier League
1,Keeper,Kasper Schmeichel,1986-11-05,31,Denmark,Leicester,Premier League
17,Keeper,Eldin Jakupovic,1984-10-02,33,Switzerland,Leicester,Premier League
12,Keeper,Ben Hamer,1987-11-20,30,England,Leicester,Premier League
15,Centre-Back,Harry Maguire,1993-03-05,24,England,Leicester,Premier League
16,Centre-Back,Aleksandar Dragovic,1991-03-06,26,Austria,Leicester,Premier League
6,Centre-Back,Robert Huth,1984-08-18,33,Germany,Leicester,Premier League
5,Centre-Back,Wes Morgan,1984-01-21,33,Jamaica,Leicester,Premier League
29,Centre-Back,Yohan Benalouane,1987-03-28,30,Tunisia,Leicester,Premier League
28,Left-Back,Christian Fuchs,1986-04-07,31,Austria,Leicester,Premier League
3,Left-Back,Ben Chilwell,1996-12-21,21,England,Leicester,Premier League
2,Right-Back,Danny Simpson,1987-01-04,31,England,Leicester,Premier League
25,Defensive Midfield,Wilfred Ndidi,1996-12-16,21,Nigeria,Leicester,Premier League
21,Defensive Midfield,Vicente Iborra,1988-01-16,29,Spain,Leicester,Premier League
18,Defensive Midfield,Daniel Amartey,1994-12-21,23,Ghana,Leicester,Premier League
14,Central Midfield,Adrien Silva,1989-03-15,28,Portugal,Leicester,Premier League
10,Central Midfield,Andy King,1988-10-29,29,Wales,Leicester,Premier League
22,Central Midfield,Matty James,1991-07-22,26,England,Leicester,Premier League
11,Left Midfield,Marc Albrighton,1989-11-18,28,England,Leicester,Premier League
7,Left Wing,Demarai Gray,1996-06-28,21,England,Leicester,Premier League
26,Right Wing,Riyad Mahrez,1991-02-21,26,Algeria,Leicester,Premier League
19,Centre-Forward,Islam Slimani,1988-06-18,29,Algeria,Leicester,Premier League
9,Centre-Forward,Jamie Vardy,1987-01-11,30,England,Leicester,Premier League
8,Centre-Forward,Kelechi Iheanacho,1996-10-03,21,Nigeria,Leicester,Premier League
13,Centre-Forward,Ahmed Musa,1992-10-14,25,Nigeria,Leicester,Premier League
20,Centre-Forward,Shinji Okazaki,1986-04-16,31,Japan,Leicester,Premier League
23,Centre-Forward,Leonardo Ulloa,1986-07-26,31,Argentina,Leicester,Premier League
28,Centre-Forward,Fousseni Diabaté,1995-10-18,22,Mali,Leicester,Premier League
44,Keeper,Fraser Forster,1988-03-17,29,England,Southampton,Premier League
13,Keeper,Alex McCarthy,1989-12-03,28,England,Southampton,Premier League
28,Keeper,Stuart Taylor,1980-11-28,37,England,Southampton,Premier League
62,Keeper,Jack Rose,1995-01-31,22,England,Southampton,Premier League
6,Centre-Back,Wesley Hoedt,1994-03-06,23,Netherlands,Southampton,Premier League
3,Centre-Back,Maya Yoshida,1988-08-24,29,Japan,Southampton,Premier League
5,Centre-Back,Jack Stephens,1994-01-27,23,England,Southampton,Premier League
35,Centre-Back,Jan Bednarek,1996-04-12,21,Poland,Southampton,Premier League
25,Centre-Back,Florin Gardos,1988-10-29,29,Romania,Southampton,Premier League
21,Left-Back,Ryan Bertrand,1989-08-05,28,England,Southampton,Premier League
33,Left-Back,Matt Targett,1995-09-18,22,England,Southampton,Premier League
2,Right-Back,Cédric Soares,1991-08-31,26,Portugal,Southampton,Premier League
26,Right-Back,Jérémy Pied,1989-02-23,28,France,Southampton,Premier League
18,Defensive Midfield,Mario Lemina,1993-09-01,24,Gabon,Southampton,Premier League
14,Defensive Midfield,Oriol Romeu,1991-09-24,26,Spain,Southampton,Premier League
16,Central Midfield,James Ward-Prowse,1994-11-01,23,England,Southampton,Premier League
23,Central Midfield,Pierre-Emile Höjbjerg,1995-08-05,22,Denmark,Southampton,Premier League
8,Central Midfield,Steven Davis,1985-01-01,33,Northern Ireland,Southampton,Premier League
38,Left Midfield,Sam McQueen,1995-02-06,22,England,Southampton,Premier League
19,Attacking Midfield,Sofiane Boufal,1993-09-17,24,Morocco,Southampton,Premier League
22,Left Wing,Nathan Redmond,1994-03-06,23,England,Southampton,Premier League
11,Left Wing,Dusan Tadic,1988-11-20,29,Serbia,Southampton,Premier League
39,Right Wing,Josh Sims,1997-03-28,20,England,Southampton,Premier League
20,Centre-Forward,Manolo Gabbiadini,1991-11-26,26,Italy,Southampton,Premier League
10,Centre-Forward,Charlie Austin,1989-07-05,28,England,Southampton,Premier League
7,Centre-Forward,Shane Long,1987-01-22,30,Ireland,Southampton,Premier League
25,Keeper,Joe Hart,1987-04-19,30,England,West Ham,Premier League
13,Keeper,Adrián,1987-01-03,31,Spain,West Ham,Premier League
21,Centre-Back,Angelo Ogbonna,1988-05-23,29,Italy,West Ham,Premier League
2,Centre-Back,Winston Reid,1988-07-03,29,New Zealand,West Ham,Premier League
NA,Centre-Back,Reece Oxford,1998-12-16,19,England,West Ham,Premier League
4,Centre-Back,José Fonte,1983-12-22,34,Portugal,West Ham,Premier League
41,Centre-Back,Declan Rice,1999-01-14,18,Ireland,West Ham,Premier League
19,Centre-Back,James Collins,1983-08-23,34,Wales,West Ham,Premier League
NA,Centre-Back,Reece Burke,1996-09-02,21,England,West Ham,Premier League
3,Left-Back,Aaron Cresswell,1989-12-15,28,England,West Ham,Premier League
26,Left-Back,Arthur Masuaku,1993-11-07,24,DR Congo,West Ham,Premier League
5,Right-Back,Pablo Zabaleta,1985-01-16,32,Argentina,West Ham,Premier League
22,Right-Back,Sam Byram,1993-09-16,24,England,West Ham,Premier League
8,Defensive Midfield,Cheikhou Kouyaté,1989-12-21,28,Senegal,West Ham,Premier League
14,Central Midfield,Pedro Obiang,1992-03-27,25,Spain,West Ham,Premier League
16,Central Midfield,Mark Noble,1987-05-08,30,England,West Ham,Premier League
31,Central Midfield,Edimilson Fernandes,1996-04-15,21,Switzerland,West Ham,Premier League
NA,Central Midfield,Josh Cullen,1996-04-07,21,Ireland,West Ham,Premier League
23,Left Midfield,Sead Haksabanovic,1999-05-04,18,Montenegro,West Ham,Premier League
10,Attacking Midfield,Manuel Lanzini,1993-02-15,24,Argentina,West Ham,Premier League
7,Left Wing,Marko Arnautovic,1989-04-19,28,Austria,West Ham,Premier League
20,Left Wing,André Ayew,1989-12-17,28,Ghana,West Ham,Premier League
30,Right Wing,Michail Antonio,1990-03-28,27,England,West Ham,Premier League
17,Centre-Forward,Chicharito,1988-06-01,29,Mexico,West Ham,Premier League
9,Centre-Forward,Andy Carroll,1989-01-06,29,England,West Ham,Premier League
15,Centre-Forward,Diafra Sakho,1989-12-24,28,Senegal,West Ham,Premier League
13,Keeper,Wayne Hennessey,1987-01-24,30,Wales,Crystal Palace,Premier League
1,Keeper,Julián Speroni,1979-05-18,38,Argentina,Crystal Palace,Premier League
12,Centre-Back,Mamadou Sakho,1990-02-13,27,France,Crystal Palace,Premier League
5,Centre-Back,James Tomkins,1989-03-29,28,England,Crystal Palace,Premier League
6,Centre-Back,Scott Dann,1987-02-14,30,England,Crystal Palace,Premier League
44,Centre-Back,Jairo Riedewald,1996-09-09,21,Netherlands,Crystal Palace,Premier League
27,Centre-Back,Damien Delaney,1981-07-20,36,Ireland,Crystal Palace,Premier League
3,Left-Back,Patrick van Aanholt,1990-08-29,27,Curacao,Crystal Palace,Premier League
15,Left-Back,Jeffrey Schlupp,1992-12-23,25,Ghana,Crystal Palace,Premier League
23,Left-Back,Pape Souaré,1990-06-06,27,Senegal,Crystal Palace,Premier League
24,Right-Back,Timothy Fosu-Mensah,1998-01-02,20,Netherlands,Crystal Palace,Premier League
2,Right-Back,Joel Ward,1989-10-29,28,England,Crystal Palace,Premier League
34,Right-Back,Martin Kelly,1990-04-27,27,England,Crystal Palace,Premier League
4,Defensive Midfield,Luka Milivojevic,1991-04-07,26,Serbia,Crystal Palace,Premier League
7,Central Midfield,Yohan Cabaye,1986-01-14,31,France,Crystal Palace,Premier League
8,Central Midfield,Ruben Loftus-Cheek,1996-01-23,21,England,Crystal Palace,Premier League
18,Central Midfield,James McArthur,1987-10-07,30,Scotland,Crystal Palace,Premier League
22,Central Midfield,Jordon Mutch,1991-12-02,26,England,Crystal Palace,Premier League
42,Attacking Midfield,Jason Puncheon,1986-06-26,31,England,Crystal Palace,Premier League
26,Left Wing,Bakary Sako,1988-04-26,29,Mali,Crystal Palace,Premier League
25,Left Wing,Sullay Kaikai,1995-08-26,22,England,Crystal Palace,Premier League
11,Right Wing,Wilfried Zaha,1992-11-10,25,Cote d'Ivoire,Crystal Palace,Premier League
10,Right Wing,Andros Townsend,1991-07-16,26,England,Crystal Palace,Premier League
14,Right Wing,Chung-Yong Lee,1988-07-02,29,"Korea, South",Crystal Palace,Premier League
17,Centre-Forward,Christian Benteke,1990-12-03,27,Belgium,Crystal Palace,Premier League
21,Centre-Forward,Connor Wickham,1993-03-31,24,England,Crystal Palace,Premier League
19,Centre-Forward,Freddie Ladapo,1993-02-01,24,Nigeria,Crystal Palace,Premier League
1,Keeper,Jack Butland,1993-03-10,24,England,Stoke City,Premier League
33,Keeper,Lee Grant,1983-01-27,34,England,Stoke City,Premier League
29,Keeper,Jakob Haugaard,1992-05-01,25,Denmark,Stoke City,Premier League
6,Centre-Back,Kurt Zouma,1994-10-27,23,France,Stoke City,Premier League
5,Centre-Back,Kevin Wimmer,1992-11-15,25,Austria,Stoke City,Premier League
15,Centre-Back,Bruno Martins Indi,1992-02-08,25,Netherlands,Stoke City,Premier League
17,Centre-Back,Ryan Shawcross,1987-10-04,30,England,Stoke City,Premier League
3,Left-Back,Erik Pieters,1988-08-07,29,Netherlands,Stoke City,Premier League
12,Left-Back,Josh Tymon,1999-05-22,18,England,Stoke City,Premier League
8,Right-Back,Glen Johnson,1984-08-23,33,England,Stoke City,Premier League
2,Right-Back,Moritz Bauer,1992-01-25,25,Austria,Stoke City,Premier League
42,Right-Back,Tom Edwards,1999-01-22,18,England,Stoke City,Premier League
20,Defensive Midfield,Geoff Cameron,1985-07-11,32,United States,Stoke City,Premier League
4,Central Midfield,Joe Allen,1990-03-14,27,Wales,Stoke City,Premier League
16,Central Midfield,Charlie Adam,1985-12-10,32,Scotland,Stoke City,Premier League
24,Central Midfield,Darren Fletcher,1984-02-01,33,Scotland,Stoke City,Premier League
14,Left Midfield,Ibrahim Afellay,1986-04-02,31,Netherlands,Stoke City,Premier League
7,Attacking Midfield,Stephen Ireland,1986-08-22,31,Ireland,Stoke City,Premier League
10,Left Wing,Eric Maxim Choupo-Moting,1989-03-23,28,Cameroon,Stoke City,Premier League
11,Left Wing,Jesé,1993-02-26,24,Spain,Stoke City,Premier League
32,Left Wing,Ramadan Sobhi,1997-01-23,20,Egypt,Stoke City,Premier League
22,Right Wing,Xherdan Shaqiri,1991-10-10,26,Switzerland,Stoke City,Premier League
9,Centre-Forward,Saido Berahino,1993-08-04,24,England,Stoke City,Premier League
18,Centre-Forward,Mame Diouf,1987-12-16,30,Senegal,Stoke City,Premier League
25,Centre-Forward,Peter Crouch,1981-01-30,36,England,Stoke City,Premier League
30,Keeper,Orestis Karnezis,1985-07-11,32,Greece,Watford,Premier League
1,Keeper,Heurelho Gomes,1981-02-15,36,Brazil,Watford,Premier League
35,Keeper,Daniel Bachmann,1994-07-09,23,Austria,Watford,Premier League
27,Centre-Back,Christian Kabasele,1991-02-24,26,Belgium,Watford,Premier League
5,Centre-Back,Sebastian Prödl,1987-06-21,30,Austria,Watford,Premier League
15,Centre-Back,Craig Cathcart,1989-02-06,28,Northern Ireland,Watford,Premier League
3,Centre-Back,Miguel Britos,1985-07-17,32,Uruguay,Watford,Premier League
4,Centre-Back,Younès Kaboul,1986-01-04,32,France,Watford,Premier League
6,Centre-Back,Adrian Mariappa,1986-10-03,31,Jamaica,Watford,Premier League
13,Centre-Back,Molla Wagué,1991-02-21,26,Mali,Watford,Premier League
31,Centre-Back,Tommie Hoban,1994-01-24,23,Ireland,Watford,Premier League
22,Left-Back,Marvin Zeegelaar,1990-08-12,27,Netherlands,Watford,Premier League
25,Left-Back,José Holebas,1984-06-27,33,Greece,Watford,Premier League
2,Right-Back,Daryl Janmaat,1989-07-22,28,Netherlands,Watford,Premier League
21,Right-Back,Kiko Femenía,1991-02-02,26,Spain,Watford,Premier League
26,Right-Back,Brice Dja Djédjé,1990-12-23,27,Cote d'Ivoire,Watford,Premier League
29,Defensive Midfield,Étienne Capoue,1988-07-11,29,France,Watford,Premier League
14,Defensive Midfield,Nathaniel Chalobah,1994-12-12,23,England,Watford,Premier League
16,Central Midfield,Abdoulaye Doucouré,1993-01-01,25,France,Watford,Premier League
19,Central Midfield,Will Hughes,1995-04-17,22,England,Watford,Premier League
8,Central Midfield,Tom Cleverley,1989-08-12,28,England,Watford,Premier League
23,Central Midfield,Ben Watson,1985-07-09,32,England,Watford,Premier League
37,Attacking Midfield,Roberto Pereyra,1991-01-07,27,Argentina,Watford,Premier League
