player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Manuel Neuer,Goalkeeper,1986-03-27,33,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Sven Ulreich,Goalkeeper,1988-08-03,30,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Christian Früchtl,Goalkeeper,2000-01-28,19,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Ron-Thorben Hoffmann,Goalkeeper,1999-04-04,20,Germany,Bayern Munich,Bundesliga,2019/2020,2019
David Alaba,Centre-Back,1992-06-24,27,Austria,Bayern Munich,Bundesliga,2019/2020,2019
Niklas Süle,Centre-Back,1995-09-03,23,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Jérôme Boateng,Centre-Back,1988-09-03,30,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Lars Lukas Mai,Centre-Back,2000-03-31,19,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Chris Richards,Centre-Back,2000-03-28,19,United States,Bayern Munich,Bundesliga,2019/2020,2019
Bright Arrey-Mbi,Centre-Back,2003-03-26,16,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Lucas Hernández,Left-Back,1996-02-14,23,France,Bayern Munich,Bundesliga,2019/2020,2019
Alphonso Davies,Left-Back,2000-11-02,18,Canada,Bayern Munich,Bundesliga,2019/2020,2019
Benjamin Pavard,Right-Back,1996-03-28,23,France,Bayern Munich,Bundesliga,2019/2020,2019
Álvaro Odriozola,Right-Back,1995-12-14,23,Spain,Bayern Munich,Bundesliga,2019/2020,2019
Joshua Kimmich,Defensive Midfield,1995-02-08,24,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Javi Martínez,Defensive Midfield,1988-09-02,30,Spain,Bayern Munich,Bundesliga,2019/2020,2019
Paul Will,Defensive Midfield,1999-03-01,20,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Thiago,Central Midfield,1991-04-11,28,Spain,Bayern Munich,Bundesliga,2019/2020,2019
Leon Goretzka,Central Midfield,1995-02-06,24,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Corentin Tolisso,Central Midfield,1994-08-03,24,France,Bayern Munich,Bundesliga,2019/2020,2019
Renato Sanches,Central Midfield,1997-08-18,21,Portugal,Bayern Munich,Bundesliga,2019/2020,2019
Michaël Cuisance,Central Midfield,1999-08-16,19,France,Bayern Munich,Bundesliga,2019/2020,2019
Ryan Johansson,Central Midfield,2001-02-15,18,Luxembourg,Bayern Munich,Bundesliga,2019/2020,2019
Philippe Coutinho,Attacking Midfield,1992-06-12,27,Brazil,Bayern Munich,Bundesliga,2019/2020,2019
Sarpreet Singh,Attacking Midfield,1999-02-20,20,New Zealand,Bayern Munich,Bundesliga,2019/2020,2019
Jamal Musiala,Attacking Midfield,2003-02-26,16,England,Bayern Munich,Bundesliga,2019/2020,2019
Kingsley Coman,Left Winger,1996-06-13,23,France,Bayern Munich,Bundesliga,2019/2020,2019
Ivan Perisic,Left Winger,1989-02-02,30,Croatia,Bayern Munich,Bundesliga,2019/2020,2019
Oliver Batista Meier,Left Winger,2001-02-16,18,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Serge Gnabry,Right Winger,1995-07-14,23,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Leon Dajaku,Right Winger,2001-04-12,18,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Woo-yeong Jeong,Right Winger,1999-09-20,19,"Korea, South",Bayern Munich,Bundesliga,2019/2020,2019
Thomas Müller,Second Striker,1989-09-13,29,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Robert Lewandowski,Centre-Forward,1988-08-21,30,Poland,Bayern Munich,Bundesliga,2019/2020,2019
Joshua Zirkzee,Centre-Forward,2001-05-22,18,Netherlands,Bayern Munich,Bundesliga,2019/2020,2019
Fiete Arp,Centre-Forward,2000-01-06,19,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Kwasi Okyere Wriedt,Centre-Forward,1994-07-10,24,Ghana,Bayern Munich,Bundesliga,2019/2020,2019
Malik Tillman,Centre-Forward,2002-05-28,17,Germany,Bayern Munich,Bundesliga,2019/2020,2019
Roman Bürki,Goalkeeper,1990-11-14,28,Switzerland,Borussia Dortmund,Bundesliga,2019/2020,2019
Marwin Hitz,Goalkeeper,1987-09-18,31,Switzerland,Borussia Dortmund,Bundesliga,2019/2020,2019
Luca Unbehaun,Goalkeeper,2001-02-27,18,Germany,Borussia Dortmund,Bundesliga,2019/2020,2019
