player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Neto,Goalkeeper,1989-07-19,25,Brazil,Juventus FC,Serie A,2015/2016,2015
Gianluigi Buffon,Goalkeeper,1978-01-28,37,Italy,Juventus FC,Serie A,2015/2016,2015
Emil Audero,Goalkeeper,1997-01-18,18,Italy,Juventus FC,Serie A,2015/2016,2015
Rubinho,Goalkeeper,1982-08-04,32,Brazil,Juventus FC,Serie A,2015/2016,2015
Leonardo Bonucci,Centre-Back,1987-05-01,28,Italy,Juventus FC,Serie A,2015/2016,2015
Giorgio Chiellini,Centre-Back,1984-08-14,30,Italy,Juventus FC,Serie A,2015/2016,2015
Martín Cáceres,Centre-Back,1987-04-07,28,Uruguay,Juventus FC,Serie A,2015/2016,2015
Daniele Rugani,Centre-Back,1994-07-29,20,Italy,Juventus FC,Serie A,2015/2016,2015
Andrea Barzagli,Centre-Back,1981-05-08,34,Italy,Juventus FC,Serie A,2015/2016,2015
Filippo Romagna,Centre-Back,1997-05-26,18,Italy,Juventus FC,Serie A,2015/2016,2015
Giulio Parodi,Centre-Back,1997-09-30,17,Italy,Juventus FC,Serie A,2015/2016,2015
Kwadwo Asamoah,Left-Back,1988-12-09,26,Ghana,Juventus FC,Serie A,2015/2016,2015
Alex Sandro,Left-Back,1991-01-26,24,Brazil,Juventus FC,Serie A,2015/2016,2015
Patrice Evra,Left-Back,1981-05-15,34,France,Juventus FC,Serie A,2015/2016,2015
Stephan Lichtsteiner,Right-Back,1984-01-16,31,Switzerland,Juventus FC,Serie A,2015/2016,2015
Mauricio Isla,Right-Back,1988-06-12,27,Chile,Juventus FC,Serie A,2015/2016,2015
Mario Lemina,Defensive Midfield,1993-09-01,21,Gabon,Juventus FC,Serie A,2015/2016,2015
Paul Pogba,Central Midfield,1993-03-15,22,France,Juventus FC,Serie A,2015/2016,2015
Claudio Marchisio,Central Midfield,1986-01-19,29,Italy,Juventus FC,Serie A,2015/2016,2015
Sami Khedira,Central Midfield,1987-04-04,28,Germany,Juventus FC,Serie A,2015/2016,2015
Stefano Sturaro,Central Midfield,1993-03-09,22,Italy,Juventus FC,Serie A,2015/2016,2015
Andrés Tello,Central Midfield,1996-09-06,18,Colombia,Juventus FC,Serie A,2015/2016,2015
Mattia Vitale,Central Midfield,1997-10-01,17,Italy,Juventus FC,Serie A,2015/2016,2015
Francesco Cassata,Central Midfield,1997-07-16,17,Italy,Juventus FC,Serie A,2015/2016,2015
Roberto Pereyra,Left Midfield,1991-01-07,24,Argentina,Juventus FC,Serie A,2015/2016,2015
Simone Padoin,Left Midfield,1984-03-18,31,Italy,Juventus FC,Serie A,2015/2016,2015
Hernanes,Attacking Midfield,1985-05-29,30,Brazil,Juventus FC,Serie A,2015/2016,2015
Kingsley Coman,Left Winger,1996-06-13,19,France,Juventus FC,Serie A,2015/2016,2015
Juan Cuadrado,Right Winger,1988-05-26,27,Colombia,Juventus FC,Serie A,2015/2016,2015
Paulo Dybala,Second Striker,1993-11-15,21,Argentina,Juventus FC,Serie A,2015/2016,2015
Mario Mandzukic,Centre-Forward,1986-05-21,29,Croatia,Juventus FC,Serie A,2015/2016,2015
Álvaro Morata,Centre-Forward,1992-10-23,22,Spain,Juventus FC,Serie A,2015/2016,2015
Fernando Llorente,Centre-Forward,1985-02-26,30,Spain,Juventus FC,Serie A,2015/2016,2015
Simone Zaza,Centre-Forward,1991-06-25,24,Italy,Juventus FC,Serie A,2015/2016,2015
Andrea Favilli,Centre-Forward,1997-05-17,18,Italy,Juventus FC,Serie A,2015/2016,2015
Guido Vadalá,Centre-Forward,1997-02-08,18,Argentina,Juventus FC,Serie A,2015/2016,2015
Wojciech Szczesny,Goalkeeper,1990-04-18,25,Poland,AS Roma,Serie A,2015/2016,2015
Morgan De Sanctis,Goalkeeper,1977-03-26,38,Italy,AS Roma,Serie A,2015/2016,2015
Bogdan Lobont,Goalkeeper,1978-01-18,37,Romania,AS Roma,Serie A,2015/2016,2015
Ionut Pop,Goalkeeper,1997-08-01,17,Romania,AS Roma,Serie A,2015/2016,2015
Lorenzo Crisanto,Goalkeeper,1998-04-20,17,Italy,AS Roma,Serie A,2015/2016,2015
Konstantinos Manolas,Centre-Back,1991-06-14,24,Greece,AS Roma,Serie A,2015/2016,2015
Leandro Castán,Centre-Back,1986-11-05,28,Brazil,AS Roma,Serie A,2015/2016,2015
Antonio Rüdiger,Centre-Back,1993-03-03,22,Germany,AS Roma,Serie A,2015/2016,2015
Ervin Zukanovic,Centre-Back,1987-02-11,28,Bosnia-Herzegovina,AS Roma,Serie A,2015/2016,2015
Norbert Gyömbér,Centre-Back,1992-07-03,22,Slovakia,AS Roma,Serie A,2015/2016,2015
Elio Capradossi,Centre-Back,1996-03-11,19,Italy,AS Roma,Serie A,2015/2016,2015
Riccardo Marchizza,Centre-Back,1998-03-26,17,Italy,AS Roma,Serie A,2015/2016,2015
Lucas Digne,Left-Back,1993-07-20,21,France,AS Roma,Serie A,2015/2016,2015
Ashley Cole,Left-Back,1980-12-20,34,England,AS Roma,Serie A,2015/2016,2015
Emerson,Left-Back,1994-08-03,20,Italy,AS Roma,Serie A,2015/2016,2015
Silvio Anocic,Left-Back,1997-09-10,17,Croatia,AS Roma,Serie A,2015/2016,2015
Alessandro Florenzi,Right-Back,1991-03-11,24,Italy,AS Roma,Serie A,2015/2016,2015
Vasilios Torosidis,Right-Back,1985-06-10,30,Greece,AS Roma,Serie A,2015/2016,2015
Maicon,Right-Back,1981-07-26,33,Brazil,AS Roma,Serie A,2015/2016,2015
Abdullahi Nura,Right-Back,1997-08-17,17,Nigeria,AS Roma,Serie A,2015/2016,2015
Eros De Santis,Right-Back,1997-10-30,17,Italy,AS Roma,Serie A,2015/2016,2015
Miralem Pjanic,Defensive Midfield,1990-04-02,25,Bosnia-Herzegovina,AS Roma,Serie A,2015/2016,2015
Daniele De Rossi,Defensive Midfield,1983-07-24,31,Italy,AS Roma,Serie A,2015/2016,2015
William Vainqueur,Defensive Midfield,1988-11-19,26,France,AS Roma,Serie A,2015/2016,2015
Leandro Paredes,Defensive Midfield,1994-06-29,21,Argentina,AS Roma,Serie A,2015/2016,2015
Lorenzo Vasco,Defensive Midfield,1997-06-19,18,Italy,AS Roma,Serie A,2015/2016,2015
Kevin Strootman,Central Midfield,1990-02-13,25,Netherlands,AS Roma,Serie A,2015/2016,2015
Seydou Keita,Central Midfield,1980-01-16,35,Mali,AS Roma,Serie A,2015/2016,2015
Christian D'Urso,Central Midfield,1997-07-26,17,Italy,AS Roma,Serie A,2015/2016,2015
José Machín,Central Midfield,1996-08-14,18,Equatorial Guinea,AS Roma,Serie A,2015/2016,2015
Emanuele Ndoj,Central Midfield,1996-11-20,18,Albania,AS Roma,Serie A,2015/2016,2015
Radja Nainggolan,Attacking Midfield,1988-05-04,27,Belgium,AS Roma,Serie A,2015/2016,2015
Adem Ljajic,Attacking Midfield,1991-09-29,23,Serbia,AS Roma,Serie A,2015/2016,2015
Salih Ucan,Attacking Midfield,1994-01-06,21,Turkey,AS Roma,Serie A,2015/2016,2015
Lorenzo Di Livio,Attacking Midfield,1997-01-11,18,Italy,AS Roma,Serie A,2015/2016,2015
Gervinho,Left Winger,1987-05-27,28,Cote d'Ivoire,AS Roma,Serie A,2015/2016,2015
Stephan El Shaarawy,Left Winger,1992-10-27,22,Italy,AS Roma,Serie A,2015/2016,2015
Diego Perotti,Left Winger,1988-07-26,26,Argentina,AS Roma,Serie A,2015/2016,2015
Juan Iturbe,Right Winger,1993-06-04,22,Paraguay,AS Roma,Serie A,2015/2016,2015
Mohamed Salah,Right Winger,1992-06-15,23,Egypt,AS Roma,Serie A,2015/2016,2015
Iago Falque,Right Winger,1990-01-04,25,Spain,AS Roma,Serie A,2015/2016,2015
Víctor Ibarbo,Second Striker,1990-05-19,25,Colombia,AS Roma,Serie A,2015/2016,2015
Edin Dzeko,Centre-Forward,1986-03-17,29,Bosnia-Herzegovina,AS Roma,Serie A,2015/2016,2015
Ezequiel Ponce,Centre-Forward,1997-03-29,18,Argentina,AS Roma,Serie A,2015/2016,2015
Francesco Totti,Centre-Forward,1976-09-27,38,Italy,AS Roma,Serie A,2015/2016,2015
Umar Sadiq,Centre-Forward,1997-02-02,18,Nigeria,AS Roma,Serie A,2015/2016,2015
Edoardo Soleri,Centre-Forward,1997-10-19,17,Italy,AS Roma,Serie A,2015/2016,2015
Marco Tumminello,Centre-Forward,1998-11-06,16,Italy,AS Roma,Serie A,2015/2016,2015
Samir Handanovic,Goalkeeper,1984-07-14,30,Slovenia,Inter Milan,Serie A,2015/2016,2015
Juan Pablo Carrizo,Goalkeeper,1984-05-06,31,Argentina,Inter Milan,Serie A,2015/2016,2015
Tommaso Berni,Goalkeeper,1983-03-06,32,Italy,Inter Milan,Serie A,2015/2016,2015
Ionut Radu,Goalkeeper,1997-05-28,18,Romania,Inter Milan,Serie A,2015/2016,2015
Miranda,Centre-Back,1984-09-07,30,Brazil,Inter Milan,Serie A,2015/2016,2015
Juan Jesus,Centre-Back,1991-06-10,24,Brazil,Inter Milan,Serie A,2015/2016,2015
Andrea Ranocchia,Centre-Back,1988-02-16,27,Italy,Inter Milan,Serie A,2015/2016,2015
Jeison Murillo,Centre-Back,1992-05-27,23,Colombia,Inter Milan,Serie A,2015/2016,2015
Marco Andreolli,Centre-Back,1986-06-10,29,Italy,Inter Milan,Serie A,2015/2016,2015
Nemanja Vidic‎,Centre-Back,1981-10-21,33,Serbia,Inter Milan,Serie A,2015/2016,2015
