shirt_number,position,player_name,date_of_birth,age,nationality,club_name,league_name,season,year
1,Goalkeeper,"Dec 15, 1986 (28)",NA,NA,Costa Rica,Real Madrid,LaLiga,2015/2016,2015
13,Goalkeeper,"Oct 2, 1986 (28)",NA,NA,Spain,Real Madrid,LaLiga,2015/2016,2015
31,Goalkeeper,"Oct 12, 1993 (21)",NA,NA,Spain,Real Madrid,LaLiga,2015/2016,2015
42,Goalkeeper,"Oct 21, 1995 (19)",NA,NA,Belgium,Real Madrid,LaLiga,2015/2016,2015
4,Centre-Back,"Mar 30, 1986 (29)",NA,NA,Spain,Real Madrid,LaLiga,2015/2016,2015
2,Centre-Back,"Apr 25, 1993 (22)",NA,NA,France,Real Madrid,LaLiga,2015/2016,2015
3,Centre-Back,"Feb 26, 1983 (32)",NA,NA,Portugal,Real Madrid,LaLiga,2015/2016,2015
6,Centre-Back,"Jan 18, 1990 (25)",NA,NA,Spain,Real Madrid,LaLiga,2015/2016,2015
32,Centre-Back,"Jul 11, 1996 (18)",NA,NA,Austria,Real Madrid,LaLiga,2015/2016,2015
12,Left-Back,"May 12, 1988 (27)",NA,NA,Brazil,Real Madrid,LaLiga,2015/2016,2015
15,Right-Back,"Jan 11, 1992 (23)",NA,NA,Spain,Real Madrid,LaLiga,2015/2016,2015
23,Right-Back,"Jul 15, 1991 (23)",NA,NA,Brazil,Real Madrid,LaLiga,2015/2016,2015
17,Right-Back,"Jan 17, 1983 (32)",NA,NA,Spain,Real Madrid,LaLiga,2015/2016,2015
34,Right-Back,"Jul 20, 1996 (18)",NA,NA,Spain,Real Madrid,LaLiga,2015/2016,2015
14,Defensive Midfield,"Feb 23, 1992 (23)",NA,NA,Brazil,Real Madrid,LaLiga,2015/2016,2015
28,Defensive Midfield,"Jan 30, 1995 (20)",NA,NA,Spain,Real Madrid,LaLiga,2015/2016,2015
19,Central Midfield,"Sep 9, 1985 (29)",NA,NA,Croatia,Real Madrid,LaLiga,2015/2016,2015
