player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Manuel Neuer,Goalkeeper,1986-03-27,29,Germany,Bayern Munich,Bundesliga,2015/2016,2015
Sven Ulreich,Goalkeeper,1988-08-03,26,Germany,Bayern Munich,Bundesliga,2015/2016,2015
Tom Starke,Goalkeeper,1981-03-18,34,Germany,Bayern Munich,Bundesliga,2015/2016,2015
Ivan Lucic,Goalkeeper,1995-03-23,20,Austria,Bayern Munich,Bundesliga,2015/2016,2015
Jérôme Boateng,Centre-Back,1988-09-03,26,Germany,Bayern Munich,Bundesliga,2015/2016,2015
Medhi Benatia,Centre-Back,1987-04-17,28,Morocco,Bayern Munich,Bundesliga,2015/2016,2015
Dante,Centre-Back,1983-10-18,31,Brazil,Bayern Munich,Bundesliga,2015/2016,2015
Holger Badstuber,Centre-Back,1989-03-13,26,Germany,Bayern Munich,Bundesliga,2015/2016,2015
Serdar Tasci,Centre-Back,1987-04-24,28,Germany,Bayern Munich,Bundesliga,2015/2016,2015
David Alaba,Left-Back,1992-06-24,23,Austria,Bayern Munich,Bundesliga,2015/2016,2015
Juan Bernat,Left-Back,1993-03-01,22,Spain,Bayern Munich,Bundesliga,2015/2016,2015
Phillipp Steinhart,Left-Back,1992-07-07,22,Germany,Bayern Munich,Bundesliga,2015/2016,2015
Philipp Lahm,Right-Back,1983-11-11,31,Germany,Bayern Munich,Bundesliga,2015/2016,2015
Rafinha,Right-Back,1985-09-07,29,Brazil,Bayern Munich,Bundesliga,2015/2016,2015
Joshua Kimmich,Right-Back,1995-02-08,20,Germany,Bayern Munich,Bundesliga,2015/2016,2015
Javi Martínez,Defensive Midfield,1988-09-02,26,Spain,Bayern Munich,Bundesliga,2015/2016,2015
Xabi Alonso,Defensive Midfield,1981-11-25,33,Spain,Bayern Munich,Bundesliga,2015/2016,2015
Jan Kirchhoff,Defensive Midfield,1990-10-01,24,Germany,Bayern Munich,Bundesliga,2015/2016,2015
