player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Artur Moraes,Goalkeeper,1981-01-25,32,Brazil,SL Benfica,Liga NOS,2013/2014,2013
Jan Oblak,Goalkeeper,1993-01-07,20,Slovenia,SL Benfica,Liga NOS,2013/2014,2013
Paulo Lopes,Goalkeeper,1978-06-29,35,Portugal,SL Benfica,Liga NOS,2013/2014,2013
Bruno Varela,Goalkeeper,1994-11-04,18,Portugal,SL Benfica,Liga NOS,2013/2014,2013
Ezequiel Garay,Centre-Back,1986-10-10,26,Argentina,SL Benfica,Liga NOS,2013/2014,2013
Luisão,Centre-Back,1981-02-13,32,Brazil,SL Benfica,Liga NOS,2013/2014,2013
Jardel,Centre-Back,1986-03-29,27,Brazil,SL Benfica,Liga NOS,2013/2014,2013
Steven Vitória,Centre-Back,1987-01-11,26,Canada,SL Benfica,Liga NOS,2013/2014,2013
Stefan Mitrovic,Centre-Back,1990-05-22,23,Serbia,SL Benfica,Liga NOS,2013/2014,2013
Victor Lindelöf,Centre-Back,1994-07-17,18,Sweden,SL Benfica,Liga NOS,2013/2014,2013
Guilherme Siqueira,Left-Back,1986-04-28,27,Brazil,SL Benfica,Liga NOS,2013/2014,2013
Bruno Cortez,Left-Back,1987-03-11,26,Brazil,SL Benfica,Liga NOS,2013/2014,2013
Maxi Pereira,Right-Back,1984-06-08,29,Uruguay,SL Benfica,Liga NOS,2013/2014,2013
Sílvio,Right-Back,1987-09-28,25,Portugal,SL Benfica,Liga NOS,2013/2014,2013
André Almeida,Right-Back,1990-09-10,22,Portugal,SL Benfica,Liga NOS,2013/2014,2013
João Cancelo,Right-Back,1994-05-27,19,Portugal,SL Benfica,Liga NOS,2013/2014,2013
Nemanja Matic,Defensive Midfield,1988-08-01,24,Serbia,SL Benfica,Liga NOS,2013/2014,2013
Ljubomir Fejsa,Defensive Midfield,1988-08-14,24,Serbia,SL Benfica,Liga NOS,2013/2014,2013
Rúben Pinto,Defensive Midfield,1992-04-24,21,Portugal,SL Benfica,Liga NOS,2013/2014,2013
Enzo Pérez,Central Midfield,1986-02-22,27,Argentina,SL Benfica,Liga NOS,2013/2014,2013
Rúben Amorim,Central Midfield,1985-01-27,28,Portugal,SL Benfica,Liga NOS,2013/2014,2013
André Gomes,Central Midfield,1993-07-30,19,Portugal,SL Benfica,Liga NOS,2013/2014,2013
Miralem Sulejmani,Left Midfield,1988-12-05,24,Serbia,SL Benfica,Liga NOS,2013/2014,2013
Nico Gaitán,Left Winger,1988-02-23,25,Argentina,SL Benfica,Liga NOS,2013/2014,2013
Ola John,Left Winger,1992-05-19,21,Netherlands,SL Benfica,Liga NOS,2013/2014,2013
Filip Djuricic,Left Winger,1992-01-30,21,Serbia,SL Benfica,Liga NOS,2013/2014,2013
Harramiz,Left Winger,1990-08-03,22,Sao Tome and Principe,SL Benfica,Liga NOS,2013/2014,2013
Eduardo Salvio,Right Winger,1990-07-13,22,Argentina,SL Benfica,Liga NOS,2013/2014,2013
Lazar Markovic,Right Winger,1994-03-02,19,Serbia,SL Benfica,Liga NOS,2013/2014,2013
Ivan Cavaleiro,Right Winger,1993-10-18,19,Portugal,SL Benfica,Liga NOS,2013/2014,2013
Hélder Costa,Right Winger,1994-01-12,19,Portugal,SL Benfica,Liga NOS,2013/2014,2013
Bernardo Silva,Right Winger,1994-08-10,18,Portugal,SL Benfica,Liga NOS,2013/2014,2013
Óscar Cardozo,Centre-Forward,1983-05-20,30,Paraguay,SL Benfica,Liga NOS,2013/2014,2013
Lima,Centre-Forward,1983-05-11,30,Brazil,SL Benfica,Liga NOS,2013/2014,2013
Rodrigo,Centre-Forward,1991-03-06,22,Spain,SL Benfica,Liga NOS,2013/2014,2013
Rogelio Funes Mori,Centre-Forward,1991-03-05,22,Argentina,SL Benfica,Liga NOS,2013/2014,2013
Rui Fonte,Centre-Forward,1990-04-23,23,Portugal,SL Benfica,Liga NOS,2013/2014,2013
Lolo Plá,Centre-Forward,1993-04-07,20,Spain,SL Benfica,Liga NOS,2013/2014,2013
Helton,Goalkeeper,1978-05-18,35,Brazil,FC Porto,Liga NOS,2013/2014,2013
Fabiano,Goalkeeper,1988-02-29,25,Brazil,FC Porto,Liga NOS,2013/2014,2013
Sinan Bolat,Goalkeeper,1988-09-03,24,Turkey,FC Porto,Liga NOS,2013/2014,2013
Kadú,Goalkeeper,1994-11-30,18,Angola,FC Porto,Liga NOS,2013/2014,2013
Nicolás Otamendi,Centre-Back,1988-02-12,25,Argentina,FC Porto,Liga NOS,2013/2014,2013
Maicon,Centre-Back,1988-09-14,24,Brazil,FC Porto,Liga NOS,2013/2014,2013
Eliaquim Mangala,Centre-Back,1991-02-13,22,France,FC Porto,Liga NOS,2013/2014,2013
Diego Reyes,Centre-Back,1992-09-19,20,Mexico,FC Porto,Liga NOS,2013/2014,2013
Rolando,Centre-Back,1985-08-31,27,Portugal,FC Porto,Liga NOS,2013/2014,2013
Abdoulaye Ba,Centre-Back,1991-01-01,22,Senegal,FC Porto,Liga NOS,2013/2014,2013
Alex Sandro,Left-Back,1991-01-26,22,Brazil,FC Porto,Liga NOS,2013/2014,2013
Danilo,Right-Back,1991-07-15,21,Brazil,FC Porto,Liga NOS,2013/2014,2013
Jorge Fucile,Right-Back,1984-11-19,28,Uruguay,FC Porto,Liga NOS,2013/2014,2013
Ricardo Pereira,Right-Back,1993-10-06,19,Portugal,FC Porto,Liga NOS,2013/2014,2013
Víctor García,Right-Back,1994-06-11,19,Venezuela,FC Porto,Liga NOS,2013/2014,2013
Fernando,Defensive Midfield,1987-07-25,25,Brazil,FC Porto,Liga NOS,2013/2014,2013
Mikel Agu,Defensive Midfield,1993-05-27,20,Nigeria,FC Porto,Liga NOS,2013/2014,2013
Steven Defour,Central Midfield,1988-04-15,25,Belgium,FC Porto,Liga NOS,2013/2014,2013
Marat Izmailov,Central Midfield,1982-09-21,30,Russia,FC Porto,Liga NOS,2013/2014,2013
Héctor Herrera,Central Midfield,1990-04-19,23,Mexico,FC Porto,Liga NOS,2013/2014,2013
