player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Manuel Neuer,Goalkeeper,1986-03-27,27,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Tom Starke,Goalkeeper,1981-03-18,32,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Lukas Raeder,Goalkeeper,1993-12-30,19,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Leopold Zingerle,Goalkeeper,1994-04-10,19,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Raif Husic,Goalkeeper,1996-02-05,17,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Jérôme Boateng,Centre-Back,1988-09-03,24,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Dante,Centre-Back,1983-10-18,29,Brazil,Bayern Munich,Bundesliga,2013/2014,2013
Holger Badstuber,Centre-Back,1989-03-13,24,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Daniel Van Buyten,Centre-Back,1978-02-07,35,Belgium,Bayern Munich,Bundesliga,2013/2014,2013
David Alaba,Left-Back,1992-06-24,21,Austria,Bayern Munich,Bundesliga,2013/2014,2013
Diego Contento,Left-Back,1990-05-01,23,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Ylli Sallahi,Left-Back,1994-04-06,19,Austria,Bayern Munich,Bundesliga,2013/2014,2013
Philipp Lahm,Right-Back,1983-11-11,29,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Rafinha,Right-Back,1985-09-07,27,Brazil,Bayern Munich,Bundesliga,2013/2014,2013
Mitchell Weiser,Right-Back,1994-04-21,19,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Benno Schmitz,Right-Back,1994-11-17,18,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Javi Martínez,Defensive Midfield,1988-09-02,24,Spain,Bayern Munich,Bundesliga,2013/2014,2013
Luiz Gustavo,Defensive Midfield,1987-07-23,25,Brazil,Bayern Munich,Bundesliga,2013/2014,2013
Jan Kirchhoff,Defensive Midfield,1990-10-01,22,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Bastian Schweinsteiger,Central Midfield,1984-08-01,28,Germany,Bayern Munich,Bundesliga,2013/2014,2013
Toni Kroos,Central Midfield,1990-01-04,23,Germany,Bayern Munich,Bundesliga,2013/2014,2013
