player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Wojciech Szczesny,Goalkeeper,1990-04-18,29,Poland,Juventus FC,Serie A,2018/2019,2018
Mattia Perin,Goalkeeper,1992-11-10,26,Italy,Juventus FC,Serie A,2018/2019,2018
Carlo Pinsoglio,Goalkeeper,1990-03-16,29,Italy,Juventus FC,Serie A,2018/2019,2018
Leonardo Bonucci,Centre-Back,1987-05-01,32,Italy,Juventus FC,Serie A,2018/2019,2018
Daniele Rugani,Centre-Back,1994-07-29,24,Italy,Juventus FC,Serie A,2018/2019,2018
Giorgio Chiellini,Centre-Back,1984-08-14,34,Italy,Juventus FC,Serie A,2018/2019,2018
Martín Cáceres,Centre-Back,1987-04-07,32,Uruguay,Juventus FC,Serie A,2018/2019,2018
Andrea Barzagli,Centre-Back,1981-05-08,38,Italy,Juventus FC,Serie A,2018/2019,2018
Alex Sandro,Left-Back,1991-01-26,28,Brazil,Juventus FC,Serie A,2018/2019,2018
Leonardo Spinazzola,Left-Back,1993-03-25,26,Italy,Juventus FC,Serie A,2018/2019,2018
João Cancelo,Right-Back,1994-05-27,25,Portugal,Juventus FC,Serie A,2018/2019,2018
Mattia De Sciglio,Right-Back,1992-10-20,26,Italy,Juventus FC,Serie A,2018/2019,2018
Miralem Pjanic,Defensive Midfield,1990-04-02,29,Bosnia-Herzegovina,Juventus FC,Serie A,2018/2019,2018
Emre Can,Defensive Midfield,1994-01-12,25,Germany,Juventus FC,Serie A,2018/2019,2018
Rodrigo Bentancur,Central Midfield,1997-06-25,21,Uruguay,Juventus FC,Serie A,2018/2019,2018
Blaise Matuidi,Central Midfield,1987-04-09,32,France,Juventus FC,Serie A,2018/2019,2018
Sami Khedira,Central Midfield,1987-04-04,32,Germany,Juventus FC,Serie A,2018/2019,2018
Cristiano Ronaldo,Left Winger,1985-02-05,34,Portugal,Juventus FC,Serie A,2018/2019,2018
Federico Bernardeschi,Right Winger,1994-02-16,25,Italy,Juventus FC,Serie A,2018/2019,2018
Douglas Costa,Right Winger,1990-09-14,28,Brazil,Juventus FC,Serie A,2018/2019,2018
Juan Cuadrado,Right Winger,1988-05-26,31,Colombia,Juventus FC,Serie A,2018/2019,2018
Paulo Dybala,Second Striker,1993-11-15,25,Argentina,Juventus FC,Serie A,2018/2019,2018
Moise Kean,Centre-Forward,2000-02-28,19,Italy,Juventus FC,Serie A,2018/2019,2018
Mario Mandzukic,Centre-Forward,1986-05-21,33,Croatia,Juventus FC,Serie A,2018/2019,2018
Alex Meret,Goalkeeper,1997-03-22,22,Italy,SSC Napoli,Serie A,2018/2019,2018
David Ospina,Goalkeeper,1988-08-31,30,Colombia,SSC Napoli,Serie A,2018/2019,2018
Orestis Karnezis,Goalkeeper,1985-07-11,33,Greece,SSC Napoli,Serie A,2018/2019,2018
Kalidou Koulibaly,Centre-Back,1991-06-20,27,Senegal,SSC Napoli,Serie A,2018/2019,2018
Nikola Maksimovic,Centre-Back,1991-11-25,27,Serbia,SSC Napoli,Serie A,2018/2019,2018
Raúl Albiol,Centre-Back,1985-09-04,33,Spain,SSC Napoli,Serie A,2018/2019,2018
Vlad Chiriches,Centre-Back,1989-11-14,29,Romania,SSC Napoli,Serie A,2018/2019,2018
Sebastiano Luperto,Centre-Back,1996-09-06,22,Italy,SSC Napoli,Serie A,2018/2019,2018
Faouzi Ghoulam,Left-Back,1991-02-01,28,Algeria,SSC Napoli,Serie A,2018/2019,2018
Mário Rui,Left-Back,1991-05-27,28,Portugal,SSC Napoli,Serie A,2018/2019,2018
Elseid Hysaj,Right-Back,1994-02-02,25,Albania,SSC Napoli,Serie A,2018/2019,2018
Kévin Malcuit,Right-Back,1991-07-31,27,France,SSC Napoli,Serie A,2018/2019,2018
Amadou Diawara,Defensive Midfield,1997-07-17,21,Guinea,SSC Napoli,Serie A,2018/2019,2018
Allan,Central Midfield,1991-01-08,28,Brazil,SSC Napoli,Serie A,2018/2019,2018
Fabián Ruiz,Central Midfield,1996-04-03,23,Spain,SSC Napoli,Serie A,2018/2019,2018
Piotr Zielinski,Central Midfield,1994-05-20,25,Poland,SSC Napoli,Serie A,2018/2019,2018
Lorenzo Insigne,Left Winger,1991-06-04,28,Italy,SSC Napoli,Serie A,2018/2019,2018
Amin Younes,Left Winger,1993-08-06,25,Germany,SSC Napoli,Serie A,2018/2019,2018
Simone Verdi,Right Winger,1992-07-12,26,Italy,SSC Napoli,Serie A,2018/2019,2018
José Callejón,Right Winger,1987-02-11,32,Spain,SSC Napoli,Serie A,2018/2019,2018
Adam Ounas,Right Winger,1996-11-11,22,Algeria,SSC Napoli,Serie A,2018/2019,2018
Arkadiusz Milik,Centre-Forward,1994-02-28,25,Poland,SSC Napoli,Serie A,2018/2019,2018
Dries Mertens,Centre-Forward,1987-05-06,32,Belgium,SSC Napoli,Serie A,2018/2019,2018
Samir Handanovic,Goalkeeper,1984-07-14,34,Slovenia,Inter Milan,Serie A,2018/2019,2018
Raffaele Di Gennaro,Goalkeeper,1993-10-03,25,Italy,Inter Milan,Serie A,2018/2019,2018
Daniele Padelli,Goalkeeper,1985-10-25,33,Italy,Inter Milan,Serie A,2018/2019,2018
Tommaso Berni,Goalkeeper,1983-03-06,36,Italy,Inter Milan,Serie A,2018/2019,2018
Milan Skriniar,Centre-Back,1995-02-11,24,Slovakia,Inter Milan,Serie A,2018/2019,2018
Stefan de Vrij,Centre-Back,1992-02-05,27,Netherlands,Inter Milan,Serie A,2018/2019,2018
Miranda,Centre-Back,1984-09-07,34,Brazil,Inter Milan,Serie A,2018/2019,2018
Andrea Ranocchia,Centre-Back,1988-02-16,31,Italy,Inter Milan,Serie A,2018/2019,2018
Kwadwo Asamoah,Left-Back,1988-12-09,30,Ghana,Inter Milan,Serie A,2018/2019,2018
Dalbert,Left-Back,1993-09-08,25,Brazil,Inter Milan,Serie A,2018/2019,2018
Sime Vrsaljko,Right-Back,1992-01-10,27,Croatia,Inter Milan,Serie A,2018/2019,2018
Danilo D'Ambrosio,Right-Back,1988-09-09,30,Italy,Inter Milan,Serie A,2018/2019,2018
Cédric Soares,Right-Back,1991-08-31,27,Portugal,Inter Milan,Serie A,2018/2019,2018
Marcelo Brozovic,Defensive Midfield,1992-11-16,26,Croatia,Inter Milan,Serie A,2018/2019,2018
Matías Vecino,Central Midfield,1991-08-24,27,Uruguay,Inter Milan,Serie A,2018/2019,2018
João Mário,Central Midfield,1993-01-19,26,Portugal,Inter Milan,Serie A,2018/2019,2018
Roberto Gagliardini,Central Midfield,1994-04-07,25,Italy,Inter Milan,Serie A,2018/2019,2018
Borja Valero,Central Midfield,1985-01-12,34,Spain,Inter Milan,Serie A,2018/2019,2018
Radja Nainggolan,Attacking Midfield,1988-05-04,31,Belgium,Inter Milan,Serie A,2018/2019,2018
Ivan Perisic,Left Winger,1989-02-02,30,Croatia,Inter Milan,Serie A,2018/2019,2018
Keita Baldé,Left Winger,1995-03-08,24,Senegal,Inter Milan,Serie A,2018/2019,2018
Matteo Politano,Right Winger,1993-08-03,25,Italy,Inter Milan,Serie A,2018/2019,2018
Antonio Candreva,Right Winger,1987-02-28,32,Italy,Inter Milan,Serie A,2018/2019,2018
Mauro Icardi,Centre-Forward,1993-02-19,26,Argentina,Inter Milan,Serie A,2018/2019,2018
Lautaro Martínez,Centre-Forward,1997-08-22,21,Argentina,Inter Milan,Serie A,2018/2019,2018
Gianluigi Donnarumma,Goalkeeper,1999-02-25,20,Italy,AC Milan,Serie A,2018/2019,2018
