player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
André Onana,Goalkeeper,1996-04-02,23,Cameroon,Ajax Amsterdam,Eredivisie,2018/2019,2018
Bruno Varela,Goalkeeper,1994-11-04,24,Portugal,Ajax Amsterdam,Eredivisie,2018/2019,2018
Konstantinos Lamprou,Goalkeeper,1991-09-18,27,Greece,Ajax Amsterdam,Eredivisie,2018/2019,2018
Matthijs de Ligt,Centre-Back,1999-08-12,19,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Daley Blind,Centre-Back,1990-03-09,29,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Lisandro Magallán,Centre-Back,1993-09-27,25,Argentina,Ajax Amsterdam,Eredivisie,2018/2019,2018
Perr Schuurs,Centre-Back,1999-11-26,19,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Nicolás Tagliafico,Left-Back,1992-08-31,26,Argentina,Ajax Amsterdam,Eredivisie,2018/2019,2018
Daley Sinkgraven,Left-Back,1995-07-04,23,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Noussair Mazraoui,Right-Back,1997-11-14,21,Morocco,Ajax Amsterdam,Eredivisie,2018/2019,2018
Joël Veltman,Right-Back,1992-01-15,27,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Rasmus Kristensen,Right-Back,1997-07-11,21,Denmark,Ajax Amsterdam,Eredivisie,2018/2019,2018
Carel Eiting,Defensive Midfield,1998-02-11,21,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Lasse Schöne,Defensive Midfield,1986-05-27,33,Denmark,Ajax Amsterdam,Eredivisie,2018/2019,2018
Frenkie de Jong,Central Midfield,1997-05-12,22,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Ryan Gravenberch,Central Midfield,2002-05-16,17,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Jurgen Ekkelenkamp,Central Midfield,2000-04-05,19,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Dani de Wit,Central Midfield,1998-01-28,21,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Donny van de Beek,Attacking Midfield,1997-04-18,22,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Zakaria Labyad,Attacking Midfield,1993-03-09,26,Morocco,Ajax Amsterdam,Eredivisie,2018/2019,2018
Noa Lang,Attacking Midfield,1999-06-17,19,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Dusan Tadic,Left Winger,1988-11-20,30,Serbia,Ajax Amsterdam,Eredivisie,2018/2019,2018
Hassane Bandé,Left Winger,1998-10-30,20,Burkina Faso,Ajax Amsterdam,Eredivisie,2018/2019,2018
David Neres,Right Winger,1997-03-03,22,Brazil,Ajax Amsterdam,Eredivisie,2018/2019,2018
Hakim Ziyech,Right Winger,1993-03-19,26,Morocco,Ajax Amsterdam,Eredivisie,2018/2019,2018
Vaclav Cerny,Right Winger,1997-10-17,21,Czech Republic,Ajax Amsterdam,Eredivisie,2018/2019,2018
Kasper Dolberg,Centre-Forward,1997-10-06,21,Denmark,Ajax Amsterdam,Eredivisie,2018/2019,2018
Klaas-Jan Huntelaar,Centre-Forward,1983-08-12,35,Netherlands,Ajax Amsterdam,Eredivisie,2018/2019,2018
Jeroen Zoet,Goalkeeper,1991-01-06,28,Netherlands,PSV Eindhoven,Eredivisie,2018/2019,2018
Eloy Room,Goalkeeper,1989-02-06,30,Curacao,PSV Eindhoven,Eredivisie,2018/2019,2018
Yanick van Osch,Goalkeeper,1997-03-24,22,Netherlands,PSV Eindhoven,Eredivisie,2018/2019,2018
Nick Viergever,Centre-Back,1989-08-03,29,Netherlands,PSV Eindhoven,Eredivisie,2018/2019,2018
Daniel Schwaab,Centre-Back,1988-08-23,30,Germany,PSV Eindhoven,Eredivisie,2018/2019,2018
Trent Sainsbury,Centre-Back,1992-01-05,27,Australia,PSV Eindhoven,Eredivisie,2018/2019,2018
Armando Obispo,Centre-Back,1999-03-05,20,Netherlands,PSV Eindhoven,Eredivisie,2018/2019,2018
Angeliño,Left-Back,1997-01-04,22,Spain,PSV Eindhoven,Eredivisie,2018/2019,2018
Aziz Behich,Left-Back,1990-12-16,28,Australia,PSV Eindhoven,Eredivisie,2018/2019,2018
Denzel Dumfries,Right-Back,1996-04-18,23,Netherlands,PSV Eindhoven,Eredivisie,2018/2019,2018
Jordan Teze,Right-Back,1999-09-30,19,Netherlands,PSV Eindhoven,Eredivisie,2018/2019,2018
Jorrit Hendrix,Defensive Midfield,1995-02-06,24,Netherlands,PSV Eindhoven,Eredivisie,2018/2019,2018
Pablo Rosario,Central Midfield,1997-01-07,22,Netherlands,PSV Eindhoven,Eredivisie,2018/2019,2018
Érick Gutiérrez,Central Midfield,1995-06-15,23,Mexico,PSV Eindhoven,Eredivisie,2018/2019,2018
Michal Sadilek,Central Midfield,1999-05-31,20,Czech Republic,PSV Eindhoven,Eredivisie,2018/2019,2018
Ryan Thomas,Central Midfield,1994-12-20,24,New Zealand,PSV Eindhoven,Eredivisie,2018/2019,2018
