player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Odysseas Vlachodimos,Goalkeeper,1994-04-26,25,Greece,SL Benfica,Liga NOS,2018/2019,2018
Mile Svilar,Goalkeeper,1999-08-27,19,Belgium,SL Benfica,Liga NOS,2018/2019,2018
Ivan Zlobin,Goalkeeper,1997-03-07,22,Russia,SL Benfica,Liga NOS,2018/2019,2018
Rúben Dias,Centre-Back,1997-05-14,22,Portugal,SL Benfica,Liga NOS,2018/2019,2018
Ferro,Centre-Back,1997-03-26,22,Portugal,SL Benfica,Liga NOS,2018/2019,2018
Germán Conti,Centre-Back,1994-06-03,25,Argentina,SL Benfica,Liga NOS,2018/2019,2018
Jardel,Centre-Back,1986-03-29,33,Brazil,SL Benfica,Liga NOS,2018/2019,2018
Alejandro Grimaldo,Left-Back,1995-09-20,23,Spain,SL Benfica,Liga NOS,2018/2019,2018
Yuri Ribeiro,Left-Back,1997-01-24,22,Portugal,SL Benfica,Liga NOS,2018/2019,2018
André Almeida,Right-Back,1990-09-10,28,Portugal,SL Benfica,Liga NOS,2018/2019,2018
Sébastien Corchia,Right-Back,1990-11-01,28,France,SL Benfica,Liga NOS,2018/2019,2018
Tyronne Ebuehi,Right-Back,1995-12-16,23,Nigeria,SL Benfica,Liga NOS,2018/2019,2018
Florentino,Defensive Midfield,1999-08-19,19,Portugal,SL Benfica,Liga NOS,2018/2019,2018
Andreas Samaris,Defensive Midfield,1989-06-13,30,Greece,SL Benfica,Liga NOS,2018/2019,2018
Ljubomir Fejsa,Defensive Midfield,1988-08-14,30,Serbia,SL Benfica,Liga NOS,2018/2019,2018
Gedson Fernandes,Central Midfield,1999-01-09,20,Portugal,SL Benfica,Liga NOS,2018/2019,2018
Gabriel,Central Midfield,1993-09-18,25,Brazil,SL Benfica,Liga NOS,2018/2019,2018
Pizzi,Right Midfield,1989-10-06,29,Portugal,SL Benfica,Liga NOS,2018/2019,2018
Andrija Zivkovic,Right Midfield,1996-07-11,22,Serbia,SL Benfica,Liga NOS,2018/2019,2018
Rafa Silva,Left Midfield,1993-05-17,26,Portugal,SL Benfica,Liga NOS,2018/2019,2018
Franco Cervi,Left Midfield,1994-05-26,25,Argentina,SL Benfica,Liga NOS,2018/2019,2018
Filip Krovinovic,Attacking Midfield,1995-08-29,23,Croatia,SL Benfica,Liga NOS,2018/2019,2018
Adel Taarabt,Attacking Midfield,1989-05-24,30,Morocco,SL Benfica,Liga NOS,2018/2019,2018
Jota,Left Winger,1999-03-30,20,Portugal,SL Benfica,Liga NOS,2018/2019,2018
Eduardo Salvio,Right Winger,1990-07-13,28,Argentina,SL Benfica,Liga NOS,2018/2019,2018
João Félix,Second Striker,1999-11-10,19,Portugal,SL Benfica,Liga NOS,2018/2019,2018
Jonas,Second Striker,1984-04-01,35,Brazil,SL Benfica,Liga NOS,2018/2019,2018
Haris Seferovic,Centre-Forward,1992-02-22,27,Switzerland,SL Benfica,Liga NOS,2018/2019,2018
Diogo Costa,Goalkeeper,1999-09-19,19,Portugal,FC Porto,Liga NOS,2018/2019,2018
Iker Casillas,Goalkeeper,1981-05-20,38,Spain,FC Porto,Liga NOS,2018/2019,2018
Vaná Alves,Goalkeeper,1991-04-25,28,Brazil,FC Porto,Liga NOS,2018/2019,2018
