player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Oliver Kahn,Goalkeeper,1969-06-15,38,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Michael Rensing,Goalkeeper,1984-05-14,23,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Thomas Kraft,Goalkeeper,1988-07-22,18,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Bernd Dreher,Goalkeeper,1966-11-02,40,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Lúcio,Centre-Back,1978-05-08,29,Brazil,Bayern Munich,Bundesliga,2007/2008,2007
Daniel Van Buyten,Centre-Back,1978-02-07,29,Belgium,Bayern Munich,Bundesliga,2007/2008,2007
Valérien Ismaël,Centre-Back,1975-09-28,31,France,Bayern Munich,Bundesliga,2007/2008,2007
Martín Demichelis,Centre-Back,1980-12-20,26,Argentina,Bayern Munich,Bundesliga,2007/2008,2007
Mats Hummels,Centre-Back,1988-12-16,18,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Breno,Centre-Back,1989-10-13,17,Brazil,Bayern Munich,Bundesliga,2007/2008,2007
Marcell Jansen,Left-Back,1985-11-04,21,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Willy Sagnol,Right-Back,1977-03-18,30,France,Bayern Munich,Bundesliga,2007/2008,2007
Philipp Lahm,Right-Back,1983-11-11,23,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Christian Lell,Right-Back,1984-08-29,22,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Stefano Celozzi,Right-Back,1988-11-02,18,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Mark van Bommel,Defensive Midfield,1977-04-22,30,Netherlands,Bayern Munich,Bundesliga,2007/2008,2007
Andreas Ottl,Defensive Midfield,1985-03-01,22,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Stephan Fürstner,Defensive Midfield,1987-09-11,19,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Bastian Schweinsteiger,Central Midfield,1984-08-01,22,Germany,Bayern Munich,Bundesliga,2007/2008,2007
José Sosa,Central Midfield,1985-06-19,22,Argentina,Bayern Munich,Bundesliga,2007/2008,2007
Julio dos Santos,Central Midfield,1983-05-07,24,Paraguay,Bayern Munich,Bundesliga,2007/2008,2007
Toni Kroos,Central Midfield,1990-01-04,17,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Hamit Altintop,Right Midfield,1982-12-08,24,Turkey,Bayern Munich,Bundesliga,2007/2008,2007
Zé Roberto,Left Midfield,1974-07-06,32,Brazil,Bayern Munich,Bundesliga,2007/2008,2007
Franck Ribéry,Left Winger,1983-04-07,24,France,Bayern Munich,Bundesliga,2007/2008,2007
Lukas Podolski,Second Striker,1985-06-04,22,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Jan Schlaudraff,Second Striker,1983-07-18,23,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Luca Toni,Centre-Forward,1977-05-26,30,Italy,Bayern Munich,Bundesliga,2007/2008,2007
Miroslav Klose,Centre-Forward,1978-06-09,29,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Roque Santa Cruz,Centre-Forward,1981-08-16,25,Paraguay,Bayern Munich,Bundesliga,2007/2008,2007
Sandro Wagner,Centre-Forward,1987-11-29,19,Germany,Bayern Munich,Bundesliga,2007/2008,2007
Tim Wiese,Goalkeeper,1981-12-17,25,Germany,SV Werder Bremen,Bundesliga,2007/2008,2007
Christian Vander,Goalkeeper,1980-10-24,26,Germany,SV Werder Bremen,Bundesliga,2007/2008,2007
Nico Pellatz,Goalkeeper,1986-07-08,20,Germany,SV Werder Bremen,Bundesliga,2007/2008,2007
Sebastian Mielitz,Goalkeeper,1989-07-18,17,Germany,SV Werder Bremen,Bundesliga,2007/2008,2007
Per Mertesacker,Centre-Back,1984-09-29,22,Germany,SV Werder Bremen,Bundesliga,2007/2008,2007
Naldo,Centre-Back,1982-09-10,24,Brazil,SV Werder Bremen,Bundesliga,2007/2008,2007
