player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Tomasz Kuszczak,Goalkeeper,1982-03-20,24,Poland,West Bromwich Albion,Championship,2006/2007,2006
Luke Steele,Goalkeeper,1984-09-24,21,England,West Bromwich Albion,Championship,2006/2007,2006
Russell Hoult,Goalkeeper,1972-11-22,33,England,West Bromwich Albion,Championship,2006/2007,2006
Dean Kiely,Goalkeeper,1970-10-10,35,Ireland,West Bromwich Albion,Championship,2006/2007,2006
Pascal Zuberbühler,Goalkeeper,1971-01-08,35,Switzerland,West Bromwich Albion,Championship,2006/2007,2006
Luke Daniels,Goalkeeper,1988-01-05,18,England,West Bromwich Albion,Championship,2006/2007,2006
Martin Albrechtsen,Centre-Back,1980-03-31,26,Denmark,West Bromwich Albion,Championship,2006/2007,2006
Chris Perry,Centre-Back,1973-04-26,33,England,West Bromwich Albion,Championship,2006/2007,2006
Curtis Davies,Centre-Back,1985-03-15,21,England,West Bromwich Albion,Championship,2006/2007,2006
Neil Clement,Centre-Back,1978-10-03,27,England,West Bromwich Albion,Championship,2006/2007,2006
Paul Robinson,Centre-Back,1978-12-14,27,England,West Bromwich Albion,Championship,2006/2007,2006
Thomas Gaardsöe,Centre-Back,1979-01-23,27,Denmark,West Bromwich Albion,Championship,2006/2007,2006
Paul McShane,Centre-Back,1986-01-06,20,Ireland,West Bromwich Albion,Championship,2006/2007,2006
Sam Sodje,Centre-Back,1979-05-25,27,Nigeria,West Bromwich Albion,Championship,2006/2007,2006
Jeff Forsyth,Centre-Back,1987-10-14,18,England,West Bromwich Albion,Championship,2006/2007,2006
Jared Hodgkiss,Right-Back,1986-11-15,19,England,West Bromwich Albion,Championship,2006/2007,2006
Junichi Inamoto,Defensive Midfield,1979-09-18,26,Japan,West Bromwich Albion,Championship,2006/2007,2006
Jonathan Greening,Central Midfield,1979-01-02,27,England,West Bromwich Albion,Championship,2006/2007,2006
Zoltán Gera,Central Midfield,1979-04-22,27,Hungary,West Bromwich Albion,Championship,2006/2007,2006
Richard Chaplow,Central Midfield,1985-02-02,21,England,West Bromwich Albion,Championship,2006/2007,2006
Darren Carter,Central Midfield,1983-12-18,22,England,West Bromwich Albion,Championship,2006/2007,2006
Nigel Quashie,Central Midfield,1978-07-20,27,Scotland,West Bromwich Albion,Championship,2006/2007,2006
Ronnie Wallwork,Central Midfield,1977-09-10,28,England,West Bromwich Albion,Championship,2006/2007,2006
Rob Davies,Central Midfield,1987-03-24,19,Wales,West Bromwich Albion,Championship,2006/2007,2006
Steve Watson,Right Midfield,1974-04-01,32,England,West Bromwich Albion,Championship,2006/2007,2006
David Worrall,Right Midfield,1990-06-12,16,England,West Bromwich Albion,Championship,2006/2007,2006
Jason Koumas,Attacking Midfield,1979-09-25,26,Wales,West Bromwich Albion,Championship,2006/2007,2006
Robert Koren,Attacking Midfield,1980-09-20,25,Slovenia,West Bromwich Albion,Championship,2006/2007,2006
Diomansy Kamara,Right Winger,1980-11-08,25,Senegal,West Bromwich Albion,Championship,2006/2007,2006
John Hartson,Centre-Forward,1975-04-05,31,Wales,West Bromwich Albion,Championship,2006/2007,2006
Nathan Ellington,Centre-Forward,1981-07-02,24,England,West Bromwich Albion,Championship,2006/2007,2006
Kevin Phillips,Centre-Forward,1973-07-25,32,England,West Bromwich Albion,Championship,2006/2007,2006
Sherjill MacDonald,Centre-Forward,1984-11-20,21,Netherlands,West Bromwich Albion,Championship,2006/2007,2006
Rob Elvins,Centre-Forward,1986-09-17,19,England,West Bromwich Albion,Championship,2006/2007,2006
Stuart Nicholson,Centre-Forward,1987-02-03,19,England,West Bromwich Albion,Championship,2006/2007,2006
Maik Taylor,Goalkeeper,1971-09-04,34,Northern Ireland,Birmingham City,Championship,2006/2007,2006
Colin Doyle,Goalkeeper,1985-06-12,21,Ireland,Birmingham City,Championship,2006/2007,2006
Adam Legzdins,Goalkeeper,1986-11-28,19,England,Birmingham City,Championship,2006/2007,2006
Matthew Upson,Centre-Back,1979-04-18,27,England,Birmingham City,Championship,2006/2007,2006
Bruno N'Gotty,Centre-Back,1971-06-10,35,France,Birmingham City,Championship,2006/2007,2006
Radhi Jaidi,Centre-Back,1975-08-30,30,Tunisia,Birmingham City,Championship,2006/2007,2006
Olivier Tébily,Centre-Back,1975-12-19,30,Cote d'Ivoire,Birmingham City,Championship,2006/2007,2006
Martin Taylor,Centre-Back,1979-11-09,26,England,Birmingham City,Championship,2006/2007,2006
Mat Sadler,Centre-Back,1985-02-26,21,England,Birmingham City,Championship,2006/2007,2006
Sam Oji,Centre-Back,1985-10-09,20,England,Birmingham City,Championship,2006/2007,2006
Marcos Painter,Left-Back,1986-08-17,19,England,Birmingham City,Championship,2006/2007,2006
Stephen Kelly,Right-Back,1983-09-06,22,Ireland,Birmingham City,Championship,2006/2007,2006
Mathew Birley,Midfielder,1986-07-26,19,England,Birmingham City,Championship,2006/2007,2006
Mehdi Nafti,Defensive Midfield,1978-11-28,27,Tunisia,Birmingham City,Championship,2006/2007,2006
Neil Kilkenny,Defensive Midfield,1985-12-19,20,Australia,Birmingham City,Championship,2006/2007,2006
Damien Johnson,Central Midfield,1978-11-18,27,Northern Ireland,Birmingham City,Championship,2006/2007,2006
Sebastian Larsson,Central Midfield,1985-06-06,21,Sweden,Birmingham City,Championship,2006/2007,2006
Fabrice Muamba,Central Midfield,1988-04-06,18,England,Birmingham City,Championship,2006/2007,2006
Neil Danns,Central Midfield,1982-11-23,23,Guyana,Birmingham City,Championship,2006/2007,2006
Stephen Clemence,Right Midfield,1978-03-31,28,England,Birmingham City,Championship,2006/2007,2006
Peter Till,Right Midfield,1985-09-07,20,England,Birmingham City,Championship,2006/2007,2006
Paddy Kavanagh,Right Midfield,1985-12-29,20,Ireland,Birmingham City,Championship,2006/2007,2006
David Dunn,Attacking Midfield,1979-12-27,26,England,Birmingham City,Championship,2006/2007,2006
Gary McSheffrey,Left Winger,1982-08-13,23,England,Birmingham City,Championship,2006/2007,2006
Sone Aluko,Second Striker,1989-02-19,17,Nigeria,Birmingham City,Championship,2006/2007,2006
Mikael Forssell,Centre-Forward,1981-03-15,25,Finland,Birmingham City,Championship,2006/2007,2006
Cameron Jerome,Centre-Forward,1986-08-14,19,England,Birmingham City,Championship,2006/2007,2006
Andy Cole,Centre-Forward,1971-10-15,34,England,Birmingham City,Championship,2006/2007,2006
Julian Gray,Centre-Forward,1979-09-21,26,England,Birmingham City,Championship,2006/2007,2006
DJ Campbell,Centre-Forward,1981-11-12,24,England,Birmingham City,Championship,2006/2007,2006
Rowan Vine,Centre-Forward,1982-09-21,23,England,Birmingham City,Championship,2006/2007,2006
Nicklas Bendtner,Centre-Forward,1988-01-16,18,Denmark,Birmingham City,Championship,2006/2007,2006
Stephen Bywater,Goalkeeper,1981-06-07,25,England,Derby County,Championship,2006/2007,2006
Lee Camp,Goalkeeper,1984-08-22,21,Northern Ireland,Derby County,Championship,2006/2007,2006
Lee Grant,Goalkeeper,1983-01-27,23,England,Derby County,Championship,2006/2007,2006
Steven Cann,Goalkeeper,1988-01-20,18,Wales,Derby County,Championship,2006/2007,2006
Bob Malcolm,Centre-Back,1980-11-12,25,Scotland,Derby County,Championship,2006/2007,2006
Darren Moore,Centre-Back,1974-04-22,32,Jamaica,Derby County,Championship,2006/2007,2006
Michael Johnson,Centre-Back,1973-07-04,32,Jamaica,Derby County,Championship,2006/2007,2006
Jay McEveley,Centre-Back,1985-02-11,21,Scotland,Derby County,Championship,2006/2007,2006
Lewin Nyatanga,Centre-Back,1988-08-18,17,Wales,Derby County,Championship,2006/2007,2006
Dean Leacock,Centre-Back,1984-06-10,22,England,Derby County,Championship,2006/2007,2006
Theo Streete,Centre-Back,1987-11-23,18,England,Derby County,Championship,2006/2007,2006
Mohammed Camara,Left-Back,1975-06-25,31,Guinea,Derby County,Championship,2006/2007,2006
Paul Boertien,Left-Back,1979-01-21,27,England,Derby County,Championship,2006/2007,2006
James Meredith,Left-Back,1988-04-04,18,Australia,Derby County,Championship,2006/2007,2006
Tyrone Mears,Right-Back,1983-02-18,23,England,Derby County,Championship,2006/2007,2006
Marc Edworthy,Right-Back,1972-12-24,33,England,Derby County,Championship,2006/2007,2006
Richard Jackson,Right-Back,1980-04-18,26,England,Derby County,Championship,2006/2007,2006
Adam Bolder,Midfielder,1980-10-25,25,England,Derby County,Championship,2006/2007,2006
Darren Currie,Midfielder,1974-11-29,31,England,Derby County,Championship,2006/2007,2006
Matt Oakley,Defensive Midfield,1977-08-17,28,England,Derby County,Championship,2006/2007,2006
Paul Thirlwell,Defensive Midfield,1979-02-13,27,England,Derby County,Championship,2006/2007,2006
Nathan Doyle,Defensive Midfield,1987-01-12,19,England,Derby County,Championship,2006/2007,2006
Seth Johnson,Central Midfield,1979-03-12,27,England,Derby County,Championship,2006/2007,2006
Morten Bisgaard,Central Midfield,1975-06-25,31,Denmark,Derby County,Championship,2006/2007,2006
Stephen Pearson,Central Midfield,1982-10-02,23,Scotland,Derby County,Championship,2006/2007,2006
David Jones,Central Midfield,1984-11-04,21,England,Derby County,Championship,2006/2007,2006
Lionel Ainsworth,Right Midfield,1987-10-01,18,England,Derby County,Championship,2006/2007,2006
Iñigo Idiakez,Attacking Midfield,1973-11-08,32,Spain,Derby County,Championship,2006/2007,2006
Ryan Smith,Left Winger,1986-11-10,19,England,Derby County,Championship,2006/2007,2006
Lee Holmes,Left Winger,1987-04-02,19,England,Derby County,Championship,2006/2007,2006
Gary Teale,Right Winger,1978-07-21,27,Scotland,Derby County,Championship,2006/2007,2006
